HN-188	Planeur>3
   1.0000000    0.0000000
   0.9990100    0.0001800
   0.9960600    0.0007700
   0.9911400    0.0018100
   0.9842900    0.0033200
   0.9755300    0.0052600
   0.9648900    0.0075500
   0.9524100    0.0101200
   0.9381500    0.0128900
   0.9221600    0.0158800
   0.9045100    0.0190800
   0.8852600    0.0224900
   0.8644800    0.0260600
   0.8422700    0.0297500
   0.8187100    0.0335300
   0.7938900    0.0373500
   0.7679100    0.0411700
   0.7408800    0.0449600
   0.7128900    0.0486800
   0.6840600    0.0522800
   0.6545100    0.0557200
   0.6243500    0.0589900
   0.5936900    0.0620300
   0.5626700    0.0648000
   0.5314000    0.0672800
   0.5000000    0.0694400
   0.4686100    0.0712400
   0.4373300    0.0726500
   0.4063100    0.0736700
   0.3756600    0.0742700
   0.3454900    0.0744400
   0.3159400    0.0741500
   0.2871100    0.0734000
   0.2591200    0.0721800
   0.2320900    0.0704900
   0.2061100    0.0683300
   0.1812900    0.0657200
   0.1577300    0.0626400
   0.1355200    0.0591400
   0.1147400    0.0552300
   0.0954900    0.0509300
   0.0778400    0.0462800
   0.0618500    0.0413300
   0.0475900    0.0361200
   0.0351100    0.0307100
   0.0244700    0.0251300
   0.0157100    0.0195300
   0.0088600    0.0140200
   0.0038900    0.0088800
   0.0009000    0.0040300
   0.0000000    0.0000000
   0.0009900   -0.0031900
   0.0038900   -0.0066400
   0.0088100   -0.0098600
   0.0156700   -0.0130500
   0.0244700   -0.0161600
   0.0351100   -0.0189700
   0.0475900   -0.0214900
   0.0618500   -0.0237200
   0.0778400   -0.0256500
   0.0954900   -0.0272700
   0.1147400   -0.0286000
   0.1355200   -0.0296300
   0.1577300   -0.0303800
   0.1812900   -0.0308600
   0.2061100   -0.0310700
   0.2320900   -0.0310400
   0.2591200   -0.0307800
   0.2871100   -0.0303000
   0.3159400   -0.0296200
   0.3454900   -0.0287500
   0.3756600   -0.0277100
   0.4063100   -0.0265000
   0.4373300   -0.0251600
   0.4686100   -0.0236900
   0.5000000   -0.0221000
   0.5314000   -0.0203900
   0.5626700   -0.0185500
   0.5936900   -0.0165900
   0.6243500   -0.0145400
   0.6545100   -0.0124700
   0.6840600   -0.0104400
   0.7128900   -0.0085000
   0.7408800   -0.0066700
   0.7679100   -0.0049800
   0.7938900   -0.0034700
   0.8187100   -0.0021300
   0.8422700   -0.0009900
   0.8644800   -0.0000500
   0.8852600    0.0006900
   0.9045100    0.0012300
   0.9221600    0.0015600
   0.9381500    0.0017200
   0.9524100    0.0017100
   0.9648900    0.0015600
   0.9755300    0.0013000
   0.9842900    0.0009700
   0.9911400    0.0006200
   0.9960600    0.0003100
   0.9990100    0.0000800
   1.0000000    0.0000000
