HN-216TA F3B  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0001400
   0.9960400    0.0006000
   0.9911100    0.0014000
   0.9842900    0.0025700
   0.9755300    0.0040900
   0.9648900    0.0058800
   0.9524100    0.0078800
   0.9381500    0.0100400
   0.9221600    0.0123700
   0.9045100    0.0148700
   0.8852600    0.0175200
   0.8644800    0.0203100
   0.8422700    0.0231900
   0.8187100    0.0261300
   0.7938900    0.0291100
   0.7679100    0.0320900
   0.7408800    0.0350500
   0.7128900    0.0379400
   0.6840600    0.0407500
   0.6545100    0.0434300
   0.6243500    0.0459900
   0.5936900    0.0483600
   0.5626700    0.0505300
   0.5314000    0.0524900
   0.5000000    0.0542000
   0.4686100    0.0556300
   0.4373300    0.0567700
   0.4063100    0.0576100
   0.3756600    0.0581100
   0.3454900    0.0582900
   0.3159400    0.0581000
   0.2871100    0.0575700
   0.2591200    0.0566500
   0.2320900    0.0553800
   0.2061100    0.0537300
   0.1812900    0.0517200
   0.1577300    0.0493500
   0.1355200    0.0466500
   0.1147400    0.0436100
   0.0954900    0.0402500
   0.0778400    0.0366200
   0.0618500    0.0327400
   0.0475900    0.0286400
   0.0351100    0.0243600
   0.0244700    0.0199400
   0.0157100    0.0155100
   0.0088600    0.0111500
   0.0039400    0.0069400
   0.0009500    0.0031600
   0.0000000    0.0000000
   0.0010500   -0.0026000
   0.0039400   -0.0053700
   0.0088600   -0.0081000
   0.0157100   -0.0106600
   0.0244700   -0.0131000
   0.0351100   -0.0153700
   0.0475900   -0.0174000
   0.0618500   -0.0192000
   0.0778400   -0.0207500
   0.0954900   -0.0220700
   0.1147400   -0.0231600
   0.1355200   -0.0240100
   0.1577300   -0.0246400
   0.1812900   -0.0250700
   0.2061100   -0.0252800
   0.2320900   -0.0253200
   0.2591200   -0.0251600
   0.2871100   -0.0248600
   0.3159400   -0.0243900
   0.3454900   -0.0237800
   0.3756600   -0.0230400
   0.4063100   -0.0221700
   0.4373300   -0.0211900
   0.4686100   -0.0201100
   0.5000000   -0.0189200
   0.5314000   -0.0176200
   0.5626700   -0.0161800
   0.5936900   -0.0146200
   0.6243500   -0.0129400
   0.6545100   -0.0112300
   0.6840600   -0.0095400
   0.7128900   -0.0079100
   0.7408800   -0.0063700
   0.7679100   -0.0049400
   0.7938900   -0.0036400
   0.8187100   -0.0025000
   0.8422700   -0.0015100
   0.8644800   -0.0006800
   0.8852600   -0.0000100
   0.9045100    0.0004900
   0.9221600    0.0008300
   0.9381500    0.0010200
   0.9524100    0.0010800
   0.9648900    0.0010300
   0.9755300    0.0008800
   0.9842900    0.0006800
   0.9911400    0.0004400
   0.9960600    0.0002200
   0.9990100    0.0000600
   1.0000000    0.0000000
