E174  (Dicke 8
   1.0000000    0.0000000
   0.9967974    0.0004224
   0.9873496    0.0017600
   0.9720866    0.0041139
   0.9514086    0.0074250
   0.9256861    0.0115542
   0.8952497    0.0164123
   0.8605295    0.0219602
   0.8220260    0.0281192
   0.7802997    0.0347606
   0.7359214    0.0417457
   0.6895117    0.0488959
   0.6416914    0.0560026
   0.5930914    0.0628073
   0.5443530    0.0689613
   0.4959174    0.0740456
   0.4480953    0.0777707
   0.4011674    0.0799772
   0.3554040    0.0805659
   0.3110553    0.0795071
   0.2683211    0.0769316
   0.2275309    0.0730602
   0.1890946    0.0680841
   0.1534220    0.0621542
   0.1208428    0.0554014
   0.0916970    0.0479668
   0.0662342    0.0400108
   0.0446841    0.0317042
   0.0271963    0.0232575
   0.0139003    0.0149011
   0.0048053    0.0069551
   0.0000000    0.0000000
   0.0003728   -0.0051716
   0.0064952   -0.0090585
   0.0181287   -0.0122817
   0.0351025   -0.0146214
   0.0573467   -0.0160678
   0.0847213   -0.0166513
   0.1169964   -0.0165024
   0.1538822   -0.0157021
   0.1949687   -0.0144012
   0.2398361   -0.0127009
   0.2879544   -0.0107325
   0.3387537   -0.0086276
   0.3916538   -0.0064775
   0.4459848   -0.0043839
   0.5010965   -0.0024285
   0.5562887   -0.0006830
   0.6109013    0.0008110
   0.6642339    0.0020117
   0.7156264    0.0028975
   0.7644385    0.0034569
   0.8100398    0.0037083
   0.8518600    0.0036603
   0.8893587    0.0033516
   0.9220357    0.0028311
   0.9494605    0.0021677
   0.9712427    0.0014505
   0.9871020    0.0007589
   0.9967579    0.0002122
   1.0000000    0.0000000
