HN-484	 Norbert Habbe F3F
   1.0000000    0.0000000
   0.9990100    0.0001200
   0.9960600    0.0005200
   0.9911400    0.0012400
   0.9842900    0.0022800
   0.9755300    0.0036200
   0.9648900    0.0052100
   0.9524100    0.0070000
   0.9381500    0.0089300
   0.9221600    0.0110200
   0.9045100    0.0132700
   0.8852600    0.0156700
   0.8644800    0.0181900
   0.8422700    0.0207900
   0.8187100    0.0234600
   0.7938900    0.0261700
   0.7679100    0.0288900
   0.7408800    0.0315900
   0.7128900    0.0342400
   0.6840600    0.0368200
   0.6545100    0.0392900
   0.6243500    0.0416400
   0.5936900    0.0438300
   0.5626700    0.0458300
   0.5314000    0.0476300
   0.5000000    0.0492000
   0.4686100    0.0505200
   0.4373300    0.0515700
   0.4063100    0.0523500
   0.3756600    0.0528200
   0.3454900    0.0529900
   0.3159400    0.0528300
   0.2871100    0.0523500
   0.2591200    0.0515300
   0.2320900    0.0503800
   0.2061100    0.0488900
   0.1812900    0.0470700
   0.1577300    0.0449300
   0.1355200    0.0424700
   0.1147400    0.0397100
   0.0954900    0.0366700
   0.0778400    0.0333700
   0.0618500    0.0298400
   0.0475900    0.0261200
   0.0351100    0.0222300
   0.0244700    0.0182200
   0.0157100    0.0141800
   0.0088600    0.0102000
   0.0039400    0.0063800
   0.0009900    0.0028400
   0.0000000    0.0000000
   0.0009900   -0.0024600
   0.0039400   -0.0050100
   0.0088600   -0.0075600
   0.0157100   -0.0099900
   0.0244700   -0.0123200
   0.0351100   -0.0145000
   0.0475900   -0.0164500
   0.0618500   -0.0182100
   0.0778400   -0.0197400
   0.0954900   -0.0210500
   0.1147400   -0.0221400
   0.1355200   -0.0230000
   0.1577300   -0.0236600
   0.1812900   -0.0241200
   0.2061100   -0.0243700
   0.2320900   -0.0244500
   0.2591200   -0.0243400
   0.2871100   -0.0240800
   0.3159400   -0.0236500
   0.3454900   -0.0230900
   0.3756600   -0.0223800
   0.4063100   -0.0215600
   0.4373300   -0.0206200
   0.4686100   -0.0195700
   0.5000000   -0.0184300
   0.5314000   -0.0171800
   0.5626700   -0.0158200
   0.5936900   -0.0143400
   0.6243500   -0.0127800
   0.6545100   -0.0111800
   0.6840600   -0.0096100
   0.7128900   -0.0080900
   0.7408800   -0.0066300
   0.7679100   -0.0052900
   0.7938900   -0.0040500
   0.8187100   -0.0029500
   0.8422700   -0.0019900
   0.8644800   -0.0011700
   0.8852600   -0.0005000
   0.9045100    0.0000300
   0.9221600    0.0004000
   0.9381500    0.0006400
   0.9524100    0.0007500
   0.9648900    0.0007600
   0.9755300    0.0006800
   0.9842900    0.0005400
   0.9911400    0.0003600
   0.9960600    0.0001800
   0.9990100    0.0000500
   1.0000000    0.0000000
