11GPV  Flapped scale sailplane (c)m_scherrer
   1.0000000    0.0003740
   0.9932015    0.0014473
   0.9801324    0.0035194
   0.9641256    0.0060604
   0.9475728    0.0087028
   0.9307530    0.0114083
   0.9137873    0.0141589
   0.8968855    0.0169335
   0.8800228    0.0197490
   0.8631762    0.0226176
   0.8463335    0.0255431
   0.8294539    0.0285247
   0.8124953    0.0315493
   0.7955368    0.0345709
   0.7786312    0.0375565
   0.7617365    0.0405040
   0.7448489    0.0434086
   0.7279792    0.0462662
   0.7111285    0.0490657
   0.6942908    0.0518022
   0.6774390    0.0544778
   0.6605681    0.0570963
   0.6437003    0.0596549
   0.6268584    0.0621454
   0.6100664    0.0645509
   0.5933214    0.0668513
   0.5765913    0.0690408
   0.5598721    0.0711142
   0.5431629    0.0730657
   0.5264726    0.0748881
   0.5098082    0.0765685
   0.4931537    0.0781008
   0.4764871    0.0794842
   0.4598044    0.0807206
   0.4431237    0.0818110
   0.4264688    0.0827454
   0.4098388    0.0835117
   0.3931918    0.0841101
   0.3764996    0.0845485
   0.3597923    0.0848388
   0.3431120    0.0849762
   0.3264875    0.0849515
   0.3099529    0.0847448
   0.2935042    0.0843290
   0.2770704    0.0836922
   0.2606234    0.0828404
   0.2442153    0.0817805
   0.2278621    0.0805007
   0.2115527    0.0789957
   0.1953382    0.0772688
   0.1793516    0.0753036
   0.1636207    0.0730433
   0.1480857    0.0704379
   0.1327265    0.0674674
   0.1175880    0.0641257
   0.1027423    0.0603988
   0.0882753    0.0562667
   0.0742711    0.0517043
   0.0608166    0.0467075
   0.0482270    0.0414062
   0.0370213    0.0359740
   0.0275417    0.0305767
   0.0199624    0.0255203
   0.0142144    0.0210447
   0.0099689    0.0171613
   0.0068447    0.0137791
   0.0045238    0.0108215
   0.0027782    0.0082255
   0.0014787    0.0059122
   0.0005724    0.0038067
   0.0000712    0.0018510
   0.0000000    0.0000000
   0.0004209   -0.0018363
   0.0014238   -0.0036500
   0.0029918   -0.0053450
   0.0051068   -0.0069404
   0.0078099   -0.0085041
   0.0112400   -0.0101053
   0.0156571   -0.0117820
   0.0214742   -0.0135497
   0.0292672   -0.0154026
   0.0395663   -0.0172830
   0.0523706   -0.0190950
   0.0669290   -0.0206831
   0.0825086   -0.0219998
   0.0985684   -0.0230688
   0.1148923   -0.0238910
   0.1314794   -0.0245193
   0.1482505   -0.0250117
   0.1650847   -0.0253902
   0.1819490   -0.0256527
   0.1988764   -0.0258092
   0.2158768   -0.0258798
   0.2329313   -0.0258824
   0.2500138   -0.0258280
   0.2671183   -0.0257206
   0.2842369   -0.0255662
   0.3013505   -0.0253668
   0.3184461   -0.0251184
   0.3355227   -0.0248170
   0.3525804   -0.0244566
   0.3696161   -0.0240322
   0.3866229   -0.0235377
   0.4036157   -0.0229673
   0.4206186   -0.0223168
   0.4376685   -0.0215954
   0.4547875   -0.0208210
   0.4719454   -0.0200106
   0.4891144   -0.0191723
   0.5062824   -0.0183069
   0.5234424   -0.0174135
   0.5406035   -0.0164902
   0.5577785   -0.0155398
   0.5749726   -0.0145645
   0.5921897   -0.0135731
   0.6094298   -0.0125718
   0.6266819   -0.0115665
   0.6439260   -0.0105652
   0.6611541   -0.0095708
   0.6783681   -0.0085895
   0.6955682   -0.0076242
   0.7127463   -0.0066798
   0.7298933   -0.0057644
   0.7470083   -0.0048880
   0.7640913   -0.0040586
   0.7811422   -0.0032872
   0.7981671   -0.0025797
   0.8151850   -0.0019423
   0.8321698   -0.0013788
   0.8491186   -0.0009023
   0.8660843   -0.0005159
   0.8830369   -0.0002144
   0.9000095   -0.0000059
   0.9170681    0.0001335
   0.9341476    0.0002449
   0.9510631    0.0003554
   0.9672366    0.0004074
   0.9815829    0.0002594
   0.9933950   -0.0000879
   1.0000000   -0.0003740
