SC17 profil voltige  (c)Stephane Combet
   1.0000000    0.0000000
   0.9874100    0.0014597
   0.9586099    0.0043192
   0.9258299    0.0072885
   0.8917098    0.0103378
   0.8575797    0.0133372
   0.8233597    0.0163365
   0.7891696    0.0193258
   0.7549696    0.0222951
   0.7208095    0.0252344
   0.6866594    0.0281437
   0.6526994    0.0309531
   0.6186993    0.0336724
   0.5848193    0.0362617
   0.5509292    0.0387110
   0.5171392    0.0410103
   0.4834991    0.0430797
   0.4498691    0.0449290
   0.4163691    0.0465083
   0.3829590    0.0477777
   0.3497490    0.0486970
   0.3166290    0.0492063
   0.2836690    0.0492857
   0.2509890    0.0488450
   0.2185290    0.0478244
   0.1863891    0.0461637
   0.1547191    0.0437631
   0.1236692    0.0405325
   0.0937793    0.0363619
   0.0660494    0.0312013
   0.0429895    0.0255809
   0.0274596    0.0205905
   0.0179797    0.0167004
   0.0119497    0.0136002
   0.0078098    0.0109402
   0.0048398    0.0085101
   0.0027099    0.0062501
   0.0012399    0.0039700
   0.0004000    0.0020900
   0.0000000    0.0000000
   0.0002200   -0.0013800
   0.0009901   -0.0035100
   0.0022101   -0.0056300
   0.0041402   -0.0077599
   0.0068402   -0.0099399
   0.0104702   -0.0122898
   0.0156603   -0.0148997
   0.0234604   -0.0180695
   0.0359304   -0.0219493
   0.0559405   -0.0265289
   0.0822306   -0.0308584
   0.1117607   -0.0342578
   0.1430607   -0.0367671
   0.1751408   -0.0385365
   0.2077408   -0.0397058
   0.2406808   -0.0403452
   0.2738308   -0.0405845
   0.3069008   -0.0403739
   0.3403008   -0.0397932
   0.3737808   -0.0388925
   0.4073508   -0.0377219
   0.4409807   -0.0362812
   0.4746507   -0.0346105
   0.5084207   -0.0327198
   0.5423206   -0.0306592
   0.5762806   -0.0284585
   0.6102205   -0.0261378
   0.6443605   -0.0237071
   0.6784704   -0.0212364
   0.7126604   -0.0187057
   0.7468703   -0.0161851
   0.7810303   -0.0137144
   0.8152002   -0.0112837
   0.8491602   -0.0089430
   0.8831701   -0.0067123
   0.9168101   -0.0046417
   0.9498901   -0.0027210
   0.9760400   -0.0013705
   0.9879900   -0.0008202
   1.0000000    0.0000000
