HS 510  Hartmut Siegmann
   1.0000000    0.0000000
   0.9801400    0.0002100
   0.9589000    0.0007100
   0.9349300    0.0017000
   0.9068500    0.0034100
   0.8767100    0.0058100
   0.8431500    0.0090200
   0.8054800    0.0131000
   0.7607600    0.0184700
   0.7130700    0.0247300
   0.6637700    0.0315100
   0.6135500    0.0384500
   0.5629600    0.0451200
   0.5124700    0.0512200
   0.4625100    0.0564700
   0.4134600    0.0607100
   0.3657600    0.0637500
   0.3196900    0.0655300
   0.2756000    0.0659900
   0.2338300    0.0651400
   0.1947300    0.0630500
   0.1586000    0.0597600
   0.1257300    0.0553100
   0.0963700    0.0497900
   0.0707100    0.0433700
   0.0488900    0.0361700
   0.0310200    0.0284100
   0.0164400    0.0200800
   0.0068500    0.0125200
   0.0013700    0.0053100
   0.0000000    0.0000000
   0.0024200   -0.0048500
   0.0116400   -0.0095300
   0.0294500   -0.0133700
   0.0493200   -0.0154900
   0.0767100   -0.0174500
   0.1082200   -0.0190200
   0.1429100   -0.0202500
   0.1819400   -0.0212200
   0.2244800   -0.0218300
   0.2700800   -0.0220100
   0.3182900   -0.0218100
   0.3686400   -0.0212700
   0.4205500   -0.0204600
   0.4734500   -0.0194400
   0.5267500   -0.0182400
   0.5798300   -0.0169000
   0.6320900   -0.0154600
   0.6829200   -0.0139400
   0.7317300   -0.0123900
   0.7779200   -0.0108400
   0.8209500   -0.0093200
   0.8603000   -0.0078400
   0.8954700   -0.0063700
   0.9260300   -0.0048800
   0.9516300   -0.0034200
   0.9719200   -0.0020900
   0.9869900   -0.0010000
   1.0000000    0.0000000
