HL74-351     B.Horeni - J
   1.0000000    0.0000000
   0.9499248    0.0187997
   0.8998736    0.0315995
   0.7998032    0.0491992
   0.6997368    0.0657989
   0.5996864    0.0783987
   0.4996560    0.0859986
   0.3996496    0.0875986
   0.2996712    0.0821987
   0.2496880    0.0779988
   0.1997128    0.0717989
   0.1497496    0.0625990
   0.0997944    0.0513992
   0.0748268    0.0432993
   0.0498612    0.0346994
   0.0249056    0.0235996
   0.0124398    0.0150498
   0.0000000    0.0000000
   0.0125398   -0.0099498
   0.0250516   -0.0128998
   0.0500712   -0.0177997
   0.0750828   -0.0206997
   0.1000904   -0.0225996
   0.1501056   -0.0263996
   0.2001168   -0.0291995
   0.2501260   -0.0314995
   0.3001312   -0.0327995
   0.4001256   -0.0313995
   0.5001120   -0.0279996
   0.6000864   -0.0215997
   0.7000528   -0.0131998
   0.8000192   -0.0047999
   0.8999856    0.0035999
   0.9499968    0.0008000
   1.0000000    0.0000000
