HN 380	F3B - RCM 205 de 1998
   1.0000000    0.0000000
   0.9990130    0.0001700
   0.9960570    0.0007290
   0.9911440    0.0017140
   0.9842920    0.0031310
   0.9755280    0.0045950
   0.9648880    0.0070980
   0.9524140    0.0094930
   0.9381530    0.0120710
   0.9221640    0.0148440
   0.9045080    0.0178100
   0.8852570    0.0209550
   0.8644840    0.0242400
   0.8422740    0.0276260
   0.8187120    0.0310860
   0.7938930    0.0345750
   0.7679130    0.0380550
   0.7408770    0.0415010
   0.7128900    0.0448670
   0.6840620    0.0481200
   0.6545080    0.0512310
   0.6243450    0.0541710
   0.5936910    0.0568960
   0.5626670    0.0593810
   0.5313950    0.0615980
   0.5000000    0.0635210
   0.4686050    0.0651120
   0.4373330    0.0663600
   0.4063090    0.0672420
   0.3756550    0.0677380
   0.3454920    0.0678450
   0.3159380    0.0675290
   0.2871100    0.0668030
   0.2591230    0.0656430
   0.2320870    0.0640580
   0.2061070    0.0620520
   0.1812880    0.0596270
   0.1577260    0.0567880
   0.1355160    0.0535730
   0.1147430    0.0499810
   0.0954920    0.0460450
   0.0778360    0.0418040
   0.0618470    0.0372940
   0.0475860    0.0325570
   0.0351120    0.0276400
   0.0244720    0.0225850
   0.0157080    0.0175220
   0.0088560    0.0125480
   0.0039430    0.0078140
   0.0009870    0.0034730
   0.0000000    0.0000000
   0.0039430   -0.0057680
   0.0088560   -0.0085980
   0.0157080   -0.0112750
   0.0244720   -0.0138090
   0.0351120   -0.0161530
   0.0475860   -0.0182280
   0.0618470   -0.0200500
   0.0778360   -0.0215990
   0.0954920   -0.0228820
   0.1147430   -0.0239160
   0.1355160   -0.0246820
   0.1577260   -0.0252080
   0.1812880   -0.0255040
   0.2061070   -0.0255740
   0.2320870   -0.0254410
   0.2591230   -0.0251130
   0.2871100   -0.0246130
   0.3159380   -0.0239430
   0.3454920   -0.0231140
   0.3756550   -0.0221540
   0.4063090   -0.0210620
   0.4373330   -0.0198630
   0.4686050   -0.0185640
   0.5000000   -0.0171710
   0.5313950   -0.0156890
   0.5626670   -0.0140950
   0.5936910   -0.0124090
   0.6243450   -0.0106510
   0.6545080   -0.0088860
   0.6840620   -0.0071670
   0.7128900   -0.0055310
   0.7408770   -0.0040060
   0.7679130   -0.0026240
   0.7938930   -0.0014040
   0.8187120   -0.0003500
   0.8422740    0.0005300
   0.8644840    0.0012260
   0.8852570    0.0017360
   0.9045080    0.0020690
   0.9221640    0.0022260
   0.9381530    0.0022261
   0.9524140    0.0020800
   0.9648880    0.0018170
   0.9755280    0.0014620
   0.9842920    0.0010670
   0.9911440    0.0006680
   0.9960570    0.0003240
   0.9990130    0.0000860
   1.0000000    0.0000000
