avx-nitro  pour 60" f3f (c)JF Sarteur
   0.1819500    0.0566500
   0.1734200    0.0559500
   0.1649200    0.0551700
   0.1564700    0.0543200
   0.1480700    0.0534100
   0.1397200    0.0524100
   0.1314200    0.0513200
   0.1231800    0.0501500
   0.1150100    0.0488900
   0.1069300    0.0475300
   0.0989400    0.0460700
   0.0910400    0.0445000
   0.0832500    0.0428100
   0.0756100    0.0410200
   0.0681300    0.0391200
   0.0608700    0.0370900
   0.0538400    0.0349300
   0.0471000    0.0326800
   0.0407200    0.0303400
   0.0347900    0.0279400
   0.0294000    0.0255400
   0.0245900    0.0231800
   0.0204100    0.0209100
   0.0168300    0.0187800
   0.0138000    0.0168000
   0.0112600    0.0149800
   0.0091300    0.0132800
   0.0073300    0.0117100
   0.0058100    0.0102500
   0.0045200    0.0088900
   0.0034300    0.0076100
   0.0025100    0.0063900
   0.0017500    0.0052300
   0.0011400    0.0041100
   0.0006600    0.0030300
   0.0003100    0.0019800
   0.0000900    0.0009700
   0.0000000   -0.0000000
   0.0000400   -0.0009600
   0.0002200   -0.0019300
   0.0005600   -0.0029000
   0.0010700   -0.0038500
   0.0017600   -0.0047500
   0.0026300   -0.0055900
   0.0036800   -0.0063700
   0.0049100   -0.0070900
   0.0063200   -0.0077800
   0.0079500   -0.0084600
   0.0098300   -0.0091400
   0.0120100   -0.0098500
   0.0145600   -0.0105900
   0.0175700   -0.0113400
   0.0211700   -0.0121300
   0.0254600   -0.0129300
   0.0305400   -0.0137300
   0.0364500   -0.0145000
   0.0431300   -0.0152200
   0.0504000   -0.0158600
   0.0581200   -0.0164100
   0.0661500   -0.0168600
   0.0743700   -0.0172200
   0.0827200   -0.0174900
   0.0911900   -0.0176900
   0.0997500   -0.0178100
   0.1083500   -0.0178700
   0.1170200   -0.0178800
   0.1257300   -0.0178300
   0.1344700   -0.0177400
   0.1432500   -0.0176100
   0.1520600   -0.0174400
   0.1608800   -0.0172400
   0.1697300   -0.0170100
   0.1785900   -0.0167500
   0.1874900   -0.0164500
   0.1964100   -0.0161400
   0.2053500   -0.0158100
   0.2143100   -0.0154700
   0.2232800   -0.0151100
   0.2322700   -0.0147500
   0.2412600   -0.0143600
   0.2502700   -0.0139800
   0.2592800   -0.0136000
   0.2683000   -0.0131900
   0.2773300   -0.0128000
   0.2863500   -0.0123900
   0.2953900   -0.0119900
   0.3044200   -0.0115900
   0.3134700   -0.0111700
   0.3225100   -0.0107700
   0.3315500   -0.0103600
   0.3406000   -0.0099400
   0.3496400   -0.0095400
   0.3586900   -0.0091400
   0.3677200   -0.0087300
   0.3767500   -0.0083300
   0.3857800   -0.0079300
   0.3948100   -0.0075300
   0.4038400   -0.0071400
   0.4128700   -0.0067500
   0.4219000   -0.0063500
   0.4309300   -0.0059700
   0.4399700   -0.0055900
   0.4490100   -0.0052000
   0.4580400   -0.0048200
   0.4670700   -0.0044500
   0.4760900   -0.0040700
   0.4851000   -0.0037000
   0.4941100   -0.0033400
   0.5031400   -0.0029800
   0.5121500   -0.0026300
   0.5211700   -0.0022900
   0.5301900   -0.0019400
   0.5392100   -0.0016000
   0.5482300   -0.0012700
   0.5572400   -0.0009400
   0.5662400   -0.0006200
   0.5752400   -0.0003100
   0.5842400   -0.0000000
   0.5932500    0.0003000
   0.6022600    0.0005900
   0.6112600    0.0008800
   0.6202700    0.0011600
   0.6292800    0.0014300
   0.6383000    0.0017000
