Eppler EB380  soit E374+E387 d'après Modèle Mag n°381 de 1983
   1.0000000    0.0000000
   0.9500000    0.0069000
   0.9000000    0.0146000
   0.8000000    0.0309000
   0.7000000    0.0471000
   0.6000000    0.0614000
   0.5000000    0.0722000
   0.4000000    0.0780000
   0.3000000    0.0774000
   0.2500000    0.0743000
   0.2000000    0.0690000
   0.1500000    0.0611000
   0.1000000    0.0500000
   0.0750000    0.0429000
   0.0500000    0.0342000
   0.0250000    0.0228000
   0.0125000    0.0152000
   0.0000000    0.0000000
   0.0125000   -0.0101000
   0.0250000   -0.0134000
   0.0500000   -0.0173000
   0.0750000   -0.0196000
   0.1000000   -0.0210000
   0.1500000   -0.0225000
   0.2000000   -0.0228000
   0.2500000   -0.0224000
   0.3000000   -0.0217000
   0.4000000   -0.0193000
   0.5000000   -0.0164000
   0.6000000   -0.0131000
   0.7000000   -0.0098000
   0.8000000   -0.0065000
   0.9000000   -0.0032000
   0.9500000   -0.0016000
   1.0000000    0.0000000
