DS19 coords  (c)Joe Wurts
   1.0000000    0.0000000
   0.9932120    0.0010214
   0.9803071    0.0029916
   0.9650148    0.0052709
   0.9485814    0.0076483
   0.9317601    0.0100163
   0.9148127    0.0123442
   0.8978245    0.0146201
   0.8808202    0.0168410
   0.8638240    0.0190019
   0.8468379    0.0210997
   0.8299408    0.0231257
   0.8132768    0.0250618
   0.7974609    0.0269477
   0.7810858    0.0290111
   0.7641867    0.0310730
   0.7472156    0.0330839
   0.7301776    0.0350418
   0.7131366    0.0369396
   0.6960867    0.0387744
   0.6790248    0.0405482
   0.6619640    0.0422610
   0.6448962    0.0439109
   0.6278245    0.0454967
   0.6107498    0.0470184
   0.5936762    0.0484742
   0.5765967    0.0498640
   0.5595182    0.0511878
   0.5424447    0.0524416
   0.5253694    0.0536244
   0.5083000    0.0547352
   0.4912418    0.0557710
   0.4741916    0.0567268
   0.4571505    0.0576016
   0.4401244    0.0583914
   0.4231114    0.0590912
   0.4061096    0.0596981
   0.3891207    0.0602099
   0.3721510    0.0606228
   0.3552134    0.0609306
   0.3383178    0.0611256
   0.3214574    0.0611995
   0.3046460    0.0611425
   0.2878898    0.0609475
   0.2711847    0.0606016
   0.2545457    0.0600967
   0.2379839    0.0594198
   0.2214983    0.0585581
   0.2050998    0.0575004
   0.1888074    0.0562338
   0.1726383    0.0547422
   0.1566164    0.0530098
   0.1407597    0.0510166
   0.1251252    0.0487485
   0.1097510    0.0461806
   0.0947171    0.0432950
   0.0801214    0.0400747
   0.0661401    0.0365240
   0.0530510    0.0326800
   0.0412620    0.0286631
   0.0312421    0.0246886
   0.0232210    0.0209768
   0.0170527    0.0176486
   0.0123610    0.0147126
   0.0087731    0.0121156
   0.0060020    0.0097802
   0.0038587    0.0076364
   0.0022294    0.0056180
   0.0010610    0.0036770
   0.0003215    0.0017943
   0.0000000    0.0000000
   0.0000755   -0.0017570
   0.0005840   -0.0035416
   0.0015715   -0.0053058
   0.0030539   -0.0069816
   0.0050462   -0.0085430
   0.0075755   -0.0100029
   0.0107477   -0.0113843
   0.0147520   -0.0127470
   0.0199233   -0.0141397
   0.0267806   -0.0156230
   0.0358952   -0.0172005
   0.0476178   -0.0187907
   0.0614973   -0.0202652
   0.0767517   -0.0215285
   0.0927089   -0.0225622
   0.1090450   -0.0233756
   0.1256439   -0.0240088
   0.1423527   -0.0244798
   0.1591743   -0.0248038
   0.1760839   -0.0250037
   0.1930504   -0.0250867
   0.2100957   -0.0250724
   0.2271791   -0.0249721
   0.2442863   -0.0247878
   0.2614815   -0.0245355
   0.2786536   -0.0242272
   0.2958417   -0.0238518
   0.3131087   -0.0234264
   0.3303277   -0.0229590
   0.3475787   -0.0224366
   0.3648626   -0.0218742
   0.3821735   -0.0212818
   0.3994354   -0.0206523
   0.4167503   -0.0199839
   0.4340711   -0.0192894
   0.4513939   -0.0185670
   0.4687466   -0.0178205
   0.4860764   -0.0170540
   0.5034291   -0.0162605
   0.5208179   -0.0154530
   0.5381796   -0.0146355
   0.5555383   -0.0137980
   0.5729100   -0.0129445
   0.5902727   -0.0120880
   0.6076013   -0.0112255
   0.6249450   -0.0103490
   0.6423007   -0.0094705
   0.6596683   -0.0085840
   0.6770400   -0.0076955
   0.6944306   -0.0067970
   0.7118423   -0.0058995
   0.7292489   -0.0049999
   0.7466196   -0.0041044
   0.7639183   -0.0032210
   0.7809819   -0.0023677
   0.7974576   -0.0015300
   0.8137005   -0.0009724
   0.8306615   -0.0004562
   0.8478145    0.0000311
   0.8649545    0.0004644
   0.8820546    0.0008337
   0.8990727    0.0011219
   0.9160050    0.0013130
   0.9328123    0.0013890
   0.9493927    0.0013308
   0.9655113    0.0011173
   0.9804819    0.0007547
   0.9931826    0.0003003
   1.0000000    0.0000000
