HN-411	Planeur>3
   1.0000000    0.0000000
   0.9990100    0.0001800
   0.9960600    0.0007700
   0.9911400    0.0018100
   0.9842900    0.0033400
   0.9755300    0.0053100
   0.9648900    0.0076600
   0.9524100    0.0103000
   0.9381500    0.0131500
   0.9221600    0.0162300
   0.9045100    0.0195500
   0.8852600    0.0230700
   0.8644800    0.0267600
   0.8422700    0.0305900
   0.8187100    0.0345200
   0.7938900    0.0385000
   0.7679100    0.0425000
   0.7408800    0.0464700
   0.7128900    0.0503800
   0.6840600    0.0541700
   0.6545100    0.0578300
   0.6243500    0.0613000
   0.5936900    0.0645400
   0.5626700    0.0675300
   0.5313900    0.0702200
   0.5000000    0.0725700
   0.4686000    0.0745600
   0.4373300    0.0761500
   0.4063100    0.0773200
   0.3756600    0.0780400
   0.3454900    0.0783000
   0.3159400    0.0780600
   0.2871100    0.0773300
   0.2591200    0.0761000
   0.2320900    0.0743500
   0.2061100    0.0721100
   0.1812900    0.0693700
   0.1577300    0.0661300
   0.1355200    0.0624400
   0.1147400    0.0583000
   0.0954900    0.0537500
   0.0778400    0.0488300
   0.0618500    0.0435800
   0.0475900    0.0380600
   0.0351100    0.0323100
   0.0244700    0.0264000
   0.0157100    0.0204800
   0.0088600    0.0146500
   0.0039400    0.0089800
   0.0009900    0.0039200
   0.0000000    0.0000000
   0.0009900   -0.0032500
   0.0039400   -0.0069400
   0.0088600   -0.0105200
   0.0157100   -0.0140000
   0.0244700   -0.0173400
   0.0351100   -0.0204700
   0.0475900   -0.0233300
   0.0618500   -0.0258800
   0.0778400   -0.0281200
   0.0954900   -0.0300400
   0.1147400   -0.0316300
   0.1355200   -0.0328800
   0.1577300   -0.0338200
   0.1812900   -0.0344500
   0.2061100   -0.0347700
   0.2320900   -0.0348200
   0.2591200   -0.0345800
   0.2871100   -0.0340900
   0.3159400   -0.0333800
   0.3454900   -0.0324300
   0.3756600   -0.0313000
   0.4063100   -0.0299800
   0.4373300   -0.0285100
   0.4686000   -0.0268900
   0.5000000   -0.0251400
   0.5313900   -0.0232800
   0.5626700   -0.0212700
   0.5936900   -0.0191500
   0.6243500   -0.0169500
   0.6545100   -0.0147200
   0.6840600   -0.0125400
   0.7128900   -0.0104300
   0.7408800   -0.0084300
   0.7679100   -0.0065800
   0.7938900   -0.0048900
   0.8187100   -0.0033800
   0.8422700   -0.0020700
   0.8644800   -0.0009600
   0.8852600   -0.0000600
   0.9045100    0.0006200
   0.9221600    0.0010900
   0.9381500    0.0013700
   0.9524100    0.0014600
   0.9648900    0.0013900
   0.9755300    0.0012000
   0.9842900    0.0009200
   0.9911400    0.0006000
   0.9960600    0.0003000
   0.9990100    0.0000800
   1.0000000    0.0000000
