tt54 profil  cm0 positif
   1.0000000    0.0000000
   0.9965100    0.0001395
   0.9862399    0.0008082
   0.9696797    0.0023261
   0.9473194    0.0048132
   0.9196589    0.0082596
   0.8872384    0.0125953
   0.8505977    0.0177206
   0.8102969    0.0234753
   0.7668961    0.0296697
   0.7209453    0.0361337
   0.6730245    0.0426475
   0.6237036    0.0490311
   0.5735328    0.0550446
   0.5230521    0.0604880
   0.4727615    0.0651815
   0.4231710    0.0689650
   0.3747207    0.0716787
   0.3278705    0.0732226
   0.2830104    0.0734868
   0.2405206    0.0724313
   0.2007209    0.0700361
   0.1639114    0.0663113
   0.1303420    0.0613169
   0.1002128    0.0551730
   0.0737337    0.0480796
   0.0510948    0.0402166
   0.0324459    0.0318142
   0.0179370    0.0231223
   0.0076781    0.0144410
   0.0016892    0.0061002
   0.0001998    0.0017600
   0.0000000    0.0000000
   0.0001502   -0.0015900
   0.0007104   -0.0030799
   0.0016706   -0.0045698
   0.0041309   -0.0071695
   0.0134517   -0.0128383
   0.0277423   -0.0177364
   0.0469928   -0.0216839
   0.0712132   -0.0246007
   0.1003035   -0.0265770
   0.1340036   -0.0277126
   0.1720237   -0.0280776
   0.2139836   -0.0278122
   0.2594235   -0.0270363
   0.3078234   -0.0258400
   0.3586132   -0.0243534
   0.4111929   -0.0226465
   0.4649427   -0.0207996
   0.5192025   -0.0188925
   0.5733122   -0.0169755
   0.6266120   -0.0150985
   0.6784617   -0.0133018
   0.7282215   -0.0115853
   0.7753113   -0.0099792
   0.8191411   -0.0084935
   0.8591709   -0.0071483
   0.8949008   -0.0058937
   0.9259206   -0.0047196
   0.9518405   -0.0036163
   0.9723403   -0.0025236
   0.9872702   -0.0013717
   0.9966700   -0.0003804
   1.0000000    0.0000000
