HN-808	Planeur<3
   1.0000000    0.0000000
   0.9990130    0.0001630
   0.9960570    0.0007120
   0.9911440    0.0016760
   0.9842920    0.0030980
   0.9755280    0.0049310
   0.9648880    0.0070830
   0.9524140    0.0094940
   0.9381530    0.0120960
   0.9221640    0.0149100
   0.9045080    0.0179340
   0.8852570    0.0211570
   0.8644840    0.0245450
   0.8422740    0.0280560
   0.8187120    0.0316590
   0.7938930    0.0353060
   0.7679130    0.0389580
   0.7408770    0.0425800
   0.7128900    0.0461260
   0.6840620    0.0495590
   0.6545080    0.0528450
   0.6243450    0.0559530
   0.5936910    0.0588370
   0.5626670    0.0614740
   0.5313950    0.0638190
   0.5000000    0.0658540
   0.4686050    0.0675390
   0.4373330    0.0688710
   0.4063090    0.0698170
   0.3756550    0.0703640
   0.3454920    0.0705050
   0.3159380    0.0702100
   0.2871100    0.0694940
   0.2591230    0.0683310
   0.2320870    0.0667320
   0.2061070    0.0647020
   0.1812880    0.0622420
   0.1577260    0.0593610
   0.1355160    0.0560790
   0.1147430    0.0524100
   0.0954920    0.0483760
   0.0778360    0.0440120
   0.0618470    0.0393490
   0.0475860    0.0344280
   0.0351120    0.0293020
   0.0244720    0.0240160
   0.0157080    0.0186910
   0.0088560    0.0134560
   0.0039430    0.0083810
   0.0009870    0.0038240
   0.0000000    0.0000000
   0.0009870   -0.0033610
   0.0039430   -0.0068240
   0.0088560   -0.0103270
   0.0157080   -0.0137140
   0.0244720   -0.0169750
   0.0351120   -0.0200300
   0.0475860   -0.0227960
   0.0618470   -0.0252860
   0.0778360   -0.0274540
   0.0954920   -0.0293170
   0.1147430   -0.0308750
   0.1355160   -0.0321100
   0.1577260   -0.0330530
   0.1812880   -0.0336970
   0.2061070   -0.0340640
   0.2320870   -0.0341620
   0.2591230   -0.0340010
   0.2871100   -0.0336160
   0.3159380   -0.0330000
   0.3454920   -0.0321710
   0.3756550   -0.0311580
   0.4063090   -0.0299640
   0.4373330   -0.0286120
   0.4686050   -0.0271210
   0.5000000   -0.0254940
   0.5313950   -0.0237440
   0.5626670   -0.0218620
   0.5936910   -0.0198640
   0.6243450   -0.0177800
   0.6545080   -0.0156670
   0.6840620   -0.0135790
   0.7128900   -0.0115500
   0.7408770   -0.0096090
   0.7679130   -0.0077890
   0.7938930   -0.0061140
   0.8187120   -0.0046010
   0.8422740   -0.0032630
   0.8644840   -0.0021080
   0.8852570   -0.0011460
   0.9045080   -0.0003810
   0.9221640    0.0001860
   0.9381530    0.0005650
   0.9524140    0.0007710
   0.9648880    0.0008350
   0.9755280    0.0007810
   0.9842920    0.0006380
   0.9911440    0.0004350
   0.9960570    0.0002250
   0.9990130    0.0000630
   1.0000000    0.0000000
