HM50  dieser Strak eignet sich besonders fr Hortenmodelle
   0.0003575   -0.0018420
   0.0006474   -0.0025459
   0.0010189   -0.0032395
   0.0014716   -0.0039285
   0.0020053   -0.0046177
   0.0026199   -0.0053126
   0.0033153   -0.0060177
   0.0040913   -0.0067325
   0.0049478   -0.0074554
   0.0058849   -0.0081847
   0.0069022   -0.0089184
   0.0079998   -0.0096548
   0.0091776   -0.0103922
   0.0104356   -0.0111285
   0.0117736   -0.0118625
   0.0131914   -0.0125932
   0.0146887   -0.0133209
   0.0162654   -0.0140454
   0.0179212   -0.0147668
   0.0196559   -0.0154851
   0.0214691   -0.0162004
   0.0233608   -0.0169127
   0.0253306   -0.0176219
   0.0273780   -0.0183277
   0.0295028   -0.0190291
   0.0317046   -0.0197252
   0.0339825   -0.0204151
   0.0363364   -0.0210978
   0.0387659   -0.0217724
   0.0412701   -0.0224381
   0.0438490   -0.0230938
   0.0465019   -0.0237390
   0.0492285   -0.0243737
   0.0520284   -0.0249977
   0.0549011   -0.0256110
   0.0578463   -0.0262136
   0.0608636   -0.0268054
   0.0639525   -0.0273864
   0.0671127   -0.0279567
   0.0703437   -0.0285160
   0.0736450   -0.0290641
   0.0770161   -0.0296009
   0.0804564   -0.0301261
   0.0839653   -0.0306395
   0.0875423   -0.0311408
   0.0911868   -0.0316299
   0.0948984   -0.0321064
   0.0986763   -0.0325703
   0.1025198   -0.0330209
   0.1064284   -0.0334579
   0.1104011   -0.0338807
   0.1144371   -0.0342891
   0.1185358   -0.0346824
   0.1226964   -0.0350603
   0.1269180   -0.0354222
   0.1312000   -0.0357678
   0.1355418   -0.0360974
   0.1399426   -0.0364116
   0.1444023   -0.0367111
   0.1489201   -0.0369964
   0.1534954   -0.0372683
   0.1581278   -0.0375272
   0.1628168   -0.0377740
   0.1675619   -0.0380092
   0.1723621   -0.0382327
   0.1772165   -0.0384439
   0.1821241   -0.0386422
   0.1870838   -0.0388267
   0.1920945   -0.0389969
   0.1971554   -0.0391520
   0.2022652   -0.0392913
   0.2074230   -0.0394144
   0.2126278   -0.0395208
   0.2178790   -0.0396114
   0.2231756   -0.0396870
   0.2285169   -0.0397483
   0.2339021   -0.0397962
   0.2393305   -0.0398314
   0.2448012   -0.0398548
   0.2503135   -0.0398670
   0.2558668   -0.0398687
   0.2614598   -0.0398595
   0.2670919   -0.0398391
   0.2727624   -0.0398069
   0.2784699   -0.0397627
   0.2842140   -0.0397059
   0.2899936   -0.0396363
   0.2958079   -0.0395532
   0.3016559   -0.0394566
   0.3075366   -0.0393467
   0.3134487   -0.0392241
   0.3193912   -0.0390893
   0.3253629   -0.0389427
   0.3313625   -0.0387850
   0.3373890   -0.0386166
   0.3434412   -0.0384381
   0.3495180   -0.0382500
   0.3556187   -0.0380526
   0.3617429   -0.0378462
   0.3678898   -0.0376311
   0.3740594   -0.0374076
   0.3802507   -0.0371758
   0.3864636   -0.0369362
   0.3926973   -0.0366888
   0.3989516   -0.0364341
   0.4052245   -0.0361721
   0.4115134   -0.0359029
   0.4178155   -0.0356265
   0.4241280   -0.0353430
   0.4304481   -0.0350524
   0.4367731   -0.0347547
   0.4431001   -0.0344500
   0.4494264   -0.0341383
   0.4557512   -0.0338197
   0.4620767   -0.0334946
   0.4684055   -0.0331634
   0.4747401   -0.0328264
   0.4810828   -0.0324839
   0.4874361   -0.0321364
   0.4938026   -0.0317840
   0.5001846   -0.0314272
   0.5065819   -0.0310664
   0.5129875   -0.0307020
   0.5193932   -0.0303343
   0.5257908   -0.0299639
   0.5321722   -0.0295911
   0.5385291   -0.0292163
   0.5448536   -0.0288400
   0.5511372   -0.0284625
   0.5573747   -0.0280843
   0.5635741   -0.0277047
   0.5697473   -0.0273234
   0.5759059   -0.0269395
   0.5820621   -0.0265524
   0.5882273   -0.0261616
   0.5944135   -0.0257665
   0.6006326   -0.0253664
   0.6068945   -0.0249608
   0.6131940   -0.0245504
   0.6195178   -0.0241363
   0.6258528   -0.0237197
   0.6321861   -0.0233019
   0.6385041   -0.0228841
   0.6447940   -0.0224674
   0.6510426   -0.0220531
   0.6572369   -0.0216423
   0.6633729   -0.0212355
   0.6694534   -0.0208325
   0.6754816   -0.0204330
   0.6814605   -0.0200372
   0.6873934   -0.0196446
   0.6932833   -0.0192552
   0.6991334   -0.0188687
   0.7049469   -0.0184852
   0.7107263   -0.0181046
   0.7164737   -0.0177273
   0.7221910   -0.0173542
   0.7278801   -0.0169856
   0.7335428   -0.0166222
   0.7391813   -0.0162646
   0.7447974   -0.0159132
   0.7503929   -0.0155686
   0.7559668   -0.0152313
   0.7615105   -0.0149013
   0.7670141   -0.0145786
   0.7724680   -0.0142632
   0.7778625   -0.0139551
   0.7831877   -0.0136543
   0.7884339   -0.0133607
   0.7935914   -0.0130742
   0.7986536   -0.0127950
   0.8036280   -0.0125221
   0.8085260   -0.0122548
   0.8133590   -0.0119921
   0.8181381   -0.0117333
   0.8228748   -0.0114774
   0.8275805   -0.0112236
   0.8322666   -0.0109711
   0.8369427   -0.0107189
   0.8416067   -0.0104672
   0.8462507   -0.0102163
   0.8508666   -0.0099663
   0.8554462   -0.0097177
   0.8599816   -0.0094708
   0.8644647   -0.0092257
   0.8688873   -0.0089830
   0.8732418   -0.0087428
   0.8775257   -0.0085051
   0.8817406   -0.0082694
   0.8858883   -0.0080355
   0.8899707   -0.0078030
   0.8939897   -0.0075713
   0.8979470   -0.0073404
   0.9018446   -0.0071094
   0.9056840   -0.0068785
   0.9094649   -0.0066471
   0.9131833   -0.0064155
   0.9168353   -0.0061838
   0.9204166   -0.0059521
   0.9239232   -0.0057205
   0.9273511   -0.0054890
   0.9306963   -0.0052580
   0.9339546   -0.0050275
   0.9371236   -0.0047976
   0.9402049   -0.0045693
   0.9432007   -0.0043432
   0.9461132   -0.0041201
   0.9489444   -0.0039008
   0.9516964   -0.0036861
   0.9543715   -0.0034765
   0.9569717   -0.0032731
   0.9594988   -0.0030763
   0.9619530   -0.0028859
   0.9643341   -0.0027014
   0.9666418   -0.0025224
   0.9688758   -0.0023484
   0.9710361   -0.0021791
   0.9731224   -0.0020139
   0.9751344   -0.0018524
   0.9770719   -0.0016942
   0.9789348   -0.0015398
   0.9807232   -0.0013897
   0.9824368   -0.0012448
   0.9840759   -0.0011056
   0.9856402   -0.0009731
   0.9871299   -0.0008477
   0.9885448   -0.0007304
   0.9898848   -0.0006216
   0.9911478   -0.0005218
   0.9923302   -0.0004310
   0.9934287   -0.0003491
   0.9944395   -0.0002763
   0.9953592   -0.0002125
   0.9961840   -0.0001576
   0.9969105   -0.0001120
   0.9975351   -0.0000754
   0.9980613   -0.0000473
   0.9985011   -0.0000268
   0.9988673   -0.0000128
   0.9991724   -0.0000041
   1.0000000    0.0000000
