MH 28	Martin Hepperle Designed for pylon racing
   1.0000000    0.0000000
   0.9540336    0.0097870
   0.9151083    0.0178384
   0.8807378    0.0245642
   0.8490744    0.0302815
   0.8188193    0.0352297
   0.7891414    0.0395785
   0.7595829    0.0434418
   0.7299776    0.0468916
   0.7003646    0.0499658
   0.6708971    0.0526827
   0.6417621    0.0550554
   0.6131150    0.0570939
   0.5850669    0.0588125
   0.5576929    0.0602281
   0.5310380    0.0613578
   0.5051192    0.0622207
   0.4799365    0.0628347
   0.4554739    0.0632199
   0.4317103    0.0633924
   0.4086197    0.0633710
   0.3861821    0.0631688
   0.3643844    0.0627988
   0.3432216    0.0622731
   0.3226927    0.0615986
   0.3028018    0.0607833
   0.2835577    0.0598343
   0.2649676    0.0587545
   0.2470424    0.0575511
   0.2297892    0.0562259
   0.2132129    0.0547830
   0.1973146    0.0532265
   0.1820922    0.0515592
   0.1675357    0.0497852
   0.1536381    0.0479106
   0.1403844    0.0459403
   0.1277646    0.0438812
   0.1157647    0.0417405
   0.1043745    0.0395291
   0.0935842    0.0372560
   0.0833897    0.0349352
   0.0737899    0.0325818
   0.0647890    0.0302108
   0.0563918    0.0278412
   0.0486084    0.0254920
   0.0414457    0.0231803
   0.0349098    0.0209240
   0.0290067    0.0187393
   0.0237324    0.0166411
   0.0190797    0.0146405
   0.0150338    0.0127453
   0.0115685    0.0109597
   0.0086519    0.0092847
   0.0062429    0.0077150
   0.0042964    0.0062439
   0.0027673    0.0048641
   0.0016107    0.0035626
   0.0007855    0.0023275
   0.0002566    0.0011446
   0.0000000    0.0000000
   0.0000007   -0.0011184
   0.0002588   -0.0022247
   0.0007892   -0.0033307
   0.0016160   -0.0044456
   0.0027743   -0.0055793
   0.0043050   -0.0067388
   0.0062533   -0.0079310
   0.0086642   -0.0091590
   0.0115828   -0.0104247
   0.0150501   -0.0117290
   0.0190982   -0.0130701
   0.0237531   -0.0144437
   0.0290298   -0.0158430
   0.0349353   -0.0172619
   0.0414736   -0.0186894
   0.0486387   -0.0201174
   0.0564247   -0.0215331
   0.0648244   -0.0229273
   0.0738278   -0.0242880
   0.0834300   -0.0256063
   0.0936269   -0.0268722
   0.1044195   -0.0280786
   0.1158119   -0.0292174
   0.1278140   -0.0302838
   0.1404358   -0.0312747
   0.1536914   -0.0321861
   0.1675908   -0.0330169
   0.1821490   -0.0337672
   0.1973729   -0.0344359
   0.2132727   -0.0350271
   0.2298503   -0.0355407
   0.2471047   -0.0359808
   0.2650309   -0.0363524
   0.2836220   -0.0366584
   0.3028668   -0.0369029
   0.3227584   -0.0370879
   0.3432878   -0.0372134
   0.3644510   -0.0372784
   0.3862490   -0.0372779
   0.4086867   -0.0372069
   0.4317772   -0.0370514
   0.4555405   -0.0367982
   0.4800026   -0.0364285
   0.5051845   -0.0359251
   0.5311023   -0.0352680
   0.5577559   -0.0344453
   0.5851284   -0.0334458
   0.6131745   -0.0322666
   0.6418194   -0.0309128
   0.6709517   -0.0294005
   0.7004164   -0.0277598
   0.7300262   -0.0260259
   0.7596280   -0.0242319
   0.7891826   -0.0223749
   0.8188563   -0.0203996
   0.8491066   -0.0181736
   0.8807644   -0.0154591
   0.9151281   -0.0118957
   0.9540447   -0.0069715
   1.0000000    0.0000000
