MH 17	Martin Hepperle Designed for pylon racing
   1.0000000    0.0000000
   0.9938938    0.0003965
   0.9833562    0.0015382
   0.9707404    0.0030311
   0.9559004    0.0049661
   0.9397763    0.0072876
   0.9236900    0.0098371
   0.9078177    0.0125836
   0.8918493    0.0155612
   0.8757358    0.0187557
   0.8595032    0.0221221
   0.8430945    0.0256215
   0.8265929    0.0291728
   0.8101922    0.0326712
   0.7939146    0.0360566
   0.7777121    0.0393010
   0.7615486    0.0423885
   0.7453812    0.0453110
   0.7291769    0.0480754
   0.7129226    0.0506878
   0.6966234    0.0531562
   0.6802903    0.0554816
   0.6639262    0.0576680
   0.6475351    0.0597183
   0.6311241    0.0616327
   0.6147012    0.0634100
   0.5982683    0.0650493
   0.5818225    0.0665487
   0.5653717    0.0679100
   0.5489200    0.0691263
   0.5324644    0.0701986
   0.5160018    0.0711249
   0.4995332    0.0719032
   0.4830598    0.0725355
   0.4665713    0.0730208
   0.4500710    0.0733641
   0.4335607    0.0735664
   0.4170325    0.0736297
   0.4004933    0.0735610
   0.3839461    0.0733602
   0.3673841    0.0730325
   0.3508200    0.0725807
   0.3342580    0.0720060
   0.3177001    0.0713092
   0.3011562    0.0704895
   0.2846324    0.0695437
   0.2681386    0.0684680
   0.2516899    0.0672563
   0.2352942    0.0658976
   0.2189616    0.0643830
   0.2027161    0.0626963
   0.1865767    0.0608207
   0.1705623    0.0587362
   0.1547100    0.0564167
   0.1390419    0.0538333
   0.1235899    0.0509540
   0.1083790    0.0477437
   0.0934242    0.0441656
   0.0787667    0.0401956
   0.0644573    0.0358077
   0.0506350    0.0310140
   0.0376759    0.0259277
   0.0264388    0.0209280
   0.0178485    0.0165765
   0.0118548    0.0130900
   0.0077149    0.0102873
   0.0047858    0.0079141
   0.0026927    0.0057822
   0.0012455    0.0037746
   0.0003593    0.0018422
   0.0000000    0.0000000
   0.0001407   -0.0017930
   0.0008535   -0.0036067
   0.0021952   -0.0053442
   0.0041739   -0.0069734
   0.0068656   -0.0085593
   0.0105103   -0.0102079
   0.0156041   -0.0120518
   0.0229701   -0.0142358
   0.0334283   -0.0168066
   0.0467116   -0.0195532
   0.0615618   -0.0221782
   0.0770960   -0.0245629
   0.0929791   -0.0267075
   0.1090871   -0.0286410
   0.1253590   -0.0303974
   0.1417749   -0.0320067
   0.1582937   -0.0334960
   0.1749035   -0.0348873
   0.1915702   -0.0361975
   0.2082759   -0.0374357
   0.2250096   -0.0386069
   0.2417623   -0.0397181
   0.2585260   -0.0407703
   0.2752896   -0.0417635
   0.2920512   -0.0426967
   0.3088107   -0.0435679
   0.3255583   -0.0443731
   0.3422928   -0.0451093
   0.3590163   -0.0457695
   0.3757247   -0.0463517
   0.3924162   -0.0468499
   0.4090936   -0.0472571
   0.4257559   -0.0475703
   0.4424002   -0.0477846
   0.4590305   -0.0478928
   0.4756507   -0.0478940
   0.4922618   -0.0477843
   0.5088630   -0.0475615
   0.5254631   -0.0472238
   0.5420701   -0.0467730
   0.5586851   -0.0462122
   0.5753130   -0.0455444
   0.5919589   -0.0447757
   0.6086248   -0.0439119
   0.6253116   -0.0429611
   0.6420174   -0.0419292
   0.6587412   -0.0408244
   0.6754879   -0.0396516
   0.6922596   -0.0384207
   0.7090533   -0.0371389
   0.7258720   -0.0358140
   0.7427157   -0.0344542
   0.7595643   -0.0330673
   0.7763910   -0.0316544
   0.7931656   -0.0302066
   0.8098552   -0.0287098
   0.8264358   -0.0271390
   0.8428953   -0.0254643
   0.8592348   -0.0236556
   0.8754882   -0.0216860
   0.8916825   -0.0195333
   0.9077638   -0.0171978
   0.9237650   -0.0146752
   0.9399831   -0.0119206
   0.9562141   -0.0089789
   0.9710611   -0.0061419
   0.9835893   -0.0036427
   0.9939935   -0.0014935
   1.0000000    0.0000000
