HN-974	Planeur>3
   1.0000000    0.0000000
   0.9990130    0.0001750
   0.9960570    0.0007520
   0.9911440    0.0017750
   0.9842920    0.0032860
   0.9755280    0.0052640
   0.9648880    0.0076360
   0.9524140    0.0103320
   0.9381530    0.0132790
   0.9221640    0.0164700
   0.9045080    0.0199100
   0.8852570    0.0235780
   0.8644840    0.0274530
   0.8422740    0.0314950
   0.8187120    0.0356680
   0.7938930    0.0399340
   0.7679130    0.0442520
   0.7408770    0.0485810
   0.7128900    0.0528800
   0.6840620    0.0570960
   0.6545080    0.0611880
   0.6243450    0.0651140
   0.5936910    0.0688170
   0.5626670    0.0722490
   0.5313950    0.0753470
   0.5000000    0.0780460
   0.4686050    0.0803090
   0.4373330    0.0820920
   0.4063090    0.0833600
   0.3756550    0.0840910
   0.3454920    0.0842640
   0.3159380    0.0838500
   0.2871100    0.0828760
   0.2591230    0.0813460
   0.2320870    0.0792840
   0.2061070    0.0767070
   0.1812880    0.0736250
   0.1577260    0.0700500
   0.1355160    0.0660180
   0.1147430    0.0615450
   0.0954920    0.0566660
   0.0778360    0.0514230
   0.0618470    0.0458570
   0.0475860    0.0400190
   0.0351120    0.0339660
   0.0244720    0.0277570
   0.0157080    0.0215300
   0.0088560    0.0154130
   0.0039430    0.0094820
   0.0011500    0.0042440
   0.0000000    0.0000000
   0.0009870   -0.0035210
   0.0039430   -0.0076210
   0.0088560   -0.0117340
   0.0157080   -0.0155800
   0.0244720   -0.0193540
   0.0351120   -0.0229500
   0.0475860   -0.0262340
   0.0618470   -0.0292040
   0.0778360   -0.0318470
   0.0954920   -0.0341420
   0.1147430   -0.0360870
   0.1355160   -0.0376740
   0.1577260   -0.0389130
   0.1812880   -0.0398000
   0.2061070   -0.0403510
   0.2320870   -0.0405710
   0.2591230   -0.0404680
   0.2871100   -0.0400660
   0.3159380   -0.0393560
   0.3454920   -0.0383440
   0.3756550   -0.0370430
   0.4063090   -0.0354770
   0.4373330   -0.0336770
   0.4686050   -0.0316700
   0.5000000   -0.0294870
   0.5313950   -0.0271690
   0.5626670   -0.0247430
   0.5936910   -0.0222470
   0.6243450   -0.0197190
   0.6545080   -0.0172110
   0.6840620   -0.0147740
   0.7128900   -0.0124360
   0.7408770   -0.0102250
   0.7679130   -0.0081650
   0.7938930   -0.0062830
   0.8187120   -0.0045980
   0.8422740   -0.0031190
   0.8644840   -0.0018490
   0.8852570   -0.0008050
   0.9045080    0.0000200
   0.9221640    0.0006210
   0.9381530    0.0010110
   0.9524140    0.0011990
   0.9648880    0.0012110
   0.9755280    0.0010800
   0.9842920    0.0008420
   0.9911440    0.0005540
   0.9960570    0.0002760
   0.9990130    0.0000770
   1.0000000    0.0000000
