F3F	 Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0001400
   0.9960600    0.0006000
   0.9911400    0.0014200
   0.9842900    0.0026200
   0.9755300    0.0041500
   0.9648900    0.0059700
   0.9524100    0.0080000
   0.9381500    0.0101800
   0.9221600    0.0125200
   0.9045100    0.0150400
   0.8852600    0.0177000
   0.8644800    0.0204900
   0.8422700    0.0233700
   0.8187100    0.0263200
   0.7938900    0.0293000
   0.7679100    0.0322700
   0.7408800    0.0352200
   0.7128900    0.0381200
   0.6840600    0.0409300
   0.6545100    0.0436400
   0.6243500    0.0462100
   0.5936900    0.0486100
   0.5626700    0.0508200
   0.5314000    0.0528100
   0.5000000    0.0545600
   0.4686100    0.0560400
   0.4373300    0.0572400
   0.4063100    0.0581200
   0.3756600    0.0586800
   0.3454900    0.0589000
   0.3159400    0.0587600
   0.2871100    0.0582600
   0.2591200    0.0573800
   0.2320900    0.0561200
   0.2061100    0.0544900
   0.1812900    0.0524900
   0.1577300    0.0501100
   0.1355200    0.0473900
   0.1147400    0.0443200
   0.0954900    0.0409300
   0.0778400    0.0372500
   0.0618500    0.0333100
   0.0475900    0.0291500
   0.0351100    0.0248000
   0.0244700    0.0203100
   0.0157100    0.0158000
   0.0088600    0.0113800
   0.0039400    0.0070400
   0.0009900    0.0030800
   0.0000000    0.0000000
   0.0009900   -0.0025700
   0.0039400   -0.0054200
   0.0088600   -0.0081900
   0.0157100   -0.0107800
   0.0244700   -0.0132400
   0.0351100   -0.0155300
   0.0475900   -0.0175700
   0.0618500   -0.0193800
   0.0778400   -0.0209500
   0.0954900   -0.0222800
   0.1147400   -0.0233800
   0.1355200   -0.0242400
   0.1577300   -0.0248800
   0.1812900   -0.0253200
   0.2061100   -0.0255500
   0.2320900   -0.0256000
   0.2591200   -0.0254600
   0.2871100   -0.0251700
   0.3159400   -0.0247200
   0.3454900   -0.0241200
   0.3756600   -0.0233900
   0.4063100   -0.0225400
   0.4373300   -0.0215700
   0.4686100   -0.0204900
   0.5000000   -0.0193000
   0.5314000   -0.0180000
   0.5626700   -0.0165500
   0.5936900   -0.0149600
   0.6243500   -0.0132500
   0.6545100   -0.0115000
   0.6840600   -0.0097700
   0.7128900   -0.0080900
   0.7408800   -0.0065100
   0.7679100   -0.0050400
   0.7938900   -0.0037200
   0.8187100   -0.0025400
   0.8422700   -0.0015300
   0.8644800   -0.0006800
   0.8852600    0.0000000
   0.9045100    0.0005100
   0.9221600    0.0008500
   0.9381500    0.0010500
   0.9524100    0.0011100
   0.9648900    0.0010500
   0.9755300    0.0009100
   0.9842900    0.0007000
   0.9911400    0.0004600
   0.9960600    0.0002300
   0.9990100    0.0000600
   1.0000000    0.0000000
