HN-981 F3B   Norbert Habbe
   1.0000000    0.0000000
   0.9990130    0.0001370
   0.9960570    0.0005960
   0.9911440    0.0013980
   0.9842920    0.0025760
   0.9755280    0.0040930
   0.9648880    0.0058780
   0.9524140    0.0078970
   0.9381530    0.0100700
   0.9221640    0.0124060
   0.9045080    0.0148980
   0.8852570    0.0175300
   0.8644840    0.0202850
   0.8422740    0.0231290
   0.8187120    0.0260410
   0.7938930    0.0289840
   0.7679130    0.0319340
   0.7408770    0.0348600
   0.7128900    0.0377360
   0.6840620    0.0405290
   0.6545080    0.0432190
   0.6243450    0.0457810
   0.5936910    0.0481750
   0.5626670    0.0503860
   0.5313950    0.0523800
   0.5000000    0.0541230
   0.4686050    0.0555830
   0.4373330    0.0567340
   0.4063090    0.0575570
   0.3756550    0.0580290
   0.3454920    0.0581490
   0.3159380    0.0578830
   0.2871100    0.0572480
   0.2591230    0.0562310
   0.2320870    0.0548460
   0.2061070    0.0530990
   0.1812880    0.0510010
   0.1577260    0.0485530
   0.1355160    0.0457840
   0.1147430    0.0426980
   0.0954920    0.0393250
   0.0778360    0.0356910
   0.0618470    0.0318260
   0.0475860    0.0277740
   0.0351120    0.0235630
   0.0244720    0.0192480
   0.0157080    0.0149260
   0.0088560    0.0106860
   0.0039840    0.0067430
   0.0009870    0.0030540
   0.0000000    0.0000000
   0.0010160   -0.0025540
   0.0039430   -0.0050350
   0.0088560   -0.0076050
   0.0157080   -0.0099870
   0.0244720   -0.0122580
   0.0351120   -0.0143690
   0.0475860   -0.0162500
   0.0618470   -0.0179250
   0.0778360   -0.0193690
   0.0954920   -0.0205930
   0.1147430   -0.0216040
   0.1355160   -0.0223880
   0.1577260   -0.0229760
   0.1812880   -0.0233610
   0.2061070   -0.0235510
   0.2320870   -0.0235640
   0.2591230   -0.0234030
   0.2871100   -0.0230820
   0.3159380   -0.0225990
   0.3454920   -0.0219520
   0.3756550   -0.0211560
   0.4063090   -0.0202180
   0.4373330   -0.0191580
   0.4686050   -0.0180030
   0.5000000   -0.0167570
   0.5313950   -0.0154260
   0.5626670   -0.0139920
   0.5936910   -0.0124600
   0.6243450   -0.0108580
   0.6545080   -0.0092480
   0.6840620   -0.0076780
   0.7128900   -0.0061800
   0.7408770   -0.0047810
   0.7679130   -0.0035010
   0.7938930   -0.0023610
   0.8187120   -0.0013680
   0.8422740   -0.0005290
   0.8644840    0.0001550
   0.8852570    0.0006790
   0.9045080    0.0010530
   0.9221640    0.0012810
   0.9381530    0.0013740
   0.9524140    0.0013500
   0.9648880    0.0012220
   0.9755280    0.0010160
   0.9842920    0.0007590
   0.9911440    0.0004840
   0.9960570    0.0002380
   0.9990130    0.0000640
   1.0000000    0.0000000
