MH391-1	 Ein Brettprofil erstellt 04
   0.0354072   -0.0224952
   0.0379171   -0.0231955
   0.0404771   -0.0238759
   0.0430870   -0.0245463
   0.0457169   -0.0251867
   0.0483869   -0.0258170
   0.0511468   -0.0264174
   0.0540268   -0.0270178
   0.0570667   -0.0275983
   0.0603067   -0.0281887
   0.0637966   -0.0287792
   0.0675566   -0.0293798
   0.0716465   -0.0299903
   0.0760365   -0.0306210
   0.0806864   -0.0312516
   0.0855464   -0.0318823
   0.0905564   -0.0325130
   0.0956563   -0.0331137
   0.1008063   -0.0337044
   0.1059363   -0.0342552
   0.1110162   -0.0347759
   0.1159862   -0.0352466
   0.1208662   -0.0356873
   0.1256662   -0.0360980
   0.1303662   -0.0364686
   0.1349962   -0.0368193
   0.1395362   -0.0371399
   0.1440162   -0.0374505
   0.1484262   -0.0377412
   0.1527662   -0.0380118
   0.1570662   -0.0382824
   0.1613262   -0.0385330
   0.1655762   -0.0387736
   0.1698062   -0.0390042
   0.1740463   -0.0392148
   0.1783063   -0.0394354
   0.1826063   -0.0396360
   0.1869463   -0.0398266
   0.1913163   -0.0400172
   0.1956963   -0.0401878
   0.2000764   -0.0403584
   0.2044264   -0.0405190
   0.2087364   -0.0406596
   0.2129864   -0.0408002
   0.2171564   -0.0409208
   0.2212265   -0.0410314
   0.2251965   -0.0411319
   0.2290965   -0.0412125
   0.2329165   -0.0412930
   0.2366766   -0.0413635
   0.2403966   -0.0414241
   0.2440766   -0.0414746
   0.2477267   -0.0415251
   0.2513667   -0.0415656
   0.2550067   -0.0416061
   0.2586368   -0.0416466
   0.2622868   -0.0416871
   0.2659368   -0.0417176
   0.2695969   -0.0417482
   0.2732869   -0.0417787
   0.2769969   -0.0417992
   0.2807370   -0.0418297
   0.2845170   -0.0418503
   0.2883770   -0.0418708
   0.2923571   -0.0418813
   0.2964771   -0.0418919
   0.3007771   -0.0419025
   0.3052872   -0.0418932
   0.3100372   -0.0418838
   0.3150773   -0.0418645
   0.3203973   -0.0418253
   0.3259574   -0.0417861
   0.3316775   -0.0417369
   0.3375075   -0.0416777
   0.3433676   -0.0416085
   0.3491977   -0.0415293
   0.3549277   -0.0414501
   0.3605078   -0.0413509
   0.3658679   -0.0412616
   0.3710579   -0.0411524
   0.3761180   -0.0410431
   0.3811181   -0.0409238
   0.3861081   -0.0407945
   0.3911382   -0.0406652
   0.3962683   -0.0405259
   0.4015584   -0.0403766
   0.4070484   -0.0402174
   0.4127385   -0.0400482
   0.4185886   -0.0398790
   0.4245587   -0.0396998
   0.4306288   -0.0395207
   0.4367589   -0.0393315
   0.4429089   -0.0391424
   0.4490490   -0.0389533
   0.4551391   -0.0387541
   0.4611692   -0.0385649
   0.4671493   -0.0383658
   0.4730994   -0.0381666
   0.4790295   -0.0379574
   0.4849396   -0.0377483
   0.4908497   -0.0375291
   0.4967597   -0.0372999
   0.5026898   -0.0370607
   0.5086499   -0.0368116
   0.5146300   -0.0365524
   0.5206501   -0.0362833
   0.5266902   -0.0360141
   0.5327703   -0.0357349
   0.5388804   -0.0354558
   0.5450205   -0.0351667
   0.5512106   -0.0348775
   0.5574207   -0.0345884
   0.5636508   -0.0343093
   0.5698809   -0.0340201
   0.5760810   -0.0337410
   0.5822411   -0.0334518
   0.5883412   -0.0331727
   0.5943513   -0.0328935
   0.6002614   -0.0326244
   0.6060615   -0.0323552
   0.6117616   -0.0320860
   0.6174217   -0.0318168
   0.6230518   -0.0315375
   0.6287019   -0.0312683
   0.6344020   -0.0309791
   0.6401821   -0.0306899
   0.6460922   -0.0303908
   0.6521423   -0.0300816
   0.6583324   -0.0297525
   0.6646525   -0.0294133
   0.6710626   -0.0290742
   0.6775328   -0.0287251
   0.6840629   -0.0283661
   0.6906030   -0.0280070
   0.6971431   -0.0276479
   0.7036632   -0.0272888
   0.7101433   -0.0269297
   0.7166234   -0.0265706
   0.7231036   -0.0262015
   0.7296037   -0.0258324
   0.7361338   -0.0254533
   0.7427239   -0.0250542
   0.7493840   -0.0246452
   0.7561342   -0.0242261
   0.7629543   -0.0237871
   0.7698344   -0.0233280
   0.7767146   -0.0228690
   0.7835647   -0.0223999
   0.7903648   -0.0219309
   0.7970550   -0.0214718
   0.8036151   -0.0210027
   0.8100052   -0.0205536
   0.8162153   -0.0201045
   0.8222555   -0.0196753
   0.8281856   -0.0192461
   0.8340357   -0.0188270
   0.8398458   -0.0184078
   0.8456359   -0.0179986
   0.8514761   -0.0175794
   0.8573762   -0.0171602
   0.8633663   -0.0167310
   0.8694464   -0.0163019
   0.8755865   -0.0158627
   0.8817467   -0.0154236
   0.8879068   -0.0149745
   0.8940469   -0.0145153
   0.9001270   -0.0140462
   0.9061372   -0.0135670
   0.9120373   -0.0130778
   0.9178174   -0.0125886
   0.9234575   -0.0120794
   0.9289577   -0.0115702
   0.9342878   -0.0110509
   0.9394479   -0.0105316
   0.9444180   -0.0100123
   0.9491982   -0.0094830
   0.9537583   -0.0089536
   0.9580984   -0.0084142
   0.9622185   -0.0078848
   0.9661286   -0.0073453
   0.9698287   -0.0068058
   0.9733089   -0.0062563
   0.9765890   -0.0057068
   0.9796491   -0.0051472
   0.9825092   -0.0045876
   0.9851693   -0.0040080
   0.9876594   -0.0034283
   0.9899995   -0.0028486
   0.9922196   -0.0022589
   0.9943397   -0.0016692
   0.9963998   -0.0010695
   0.9984099   -0.0004798
   1.0000000    0.0000000
