MH391-1	 Ein Brettprofil erstellt 04
   1.0000000    0.0000000
   0.9943200    0.0006408
   0.9886501    0.0012716
   0.9829801    0.0019124
   0.9773301    0.0025432
   0.9717002    0.0031740
   0.9660902    0.0038148
   0.9605102    0.0044456
   0.9549703    0.0050764
   0.9494603    0.0056971
   0.9439703    0.0063279
   0.9384804    0.0069587
   0.9329804    0.0075795
   0.9274204    0.0082102
   0.9218005    0.0088510
   0.9161005    0.0094918
   0.9102805    0.0101327
   0.9043406    0.0107935
   0.8982706    0.0114544
   0.8920906    0.0121252
   0.8858306    0.0127961
   0.8795207    0.0134770
   0.8731707    0.0141579
   0.8668007    0.0148388
   0.8604408    0.0155197
   0.8541108    0.0162006
   0.8478208    0.0168815
   0.8415609    0.0175524
   0.8353209    0.0182332
   0.8291009    0.0189041
   0.8228710    0.0195750
   0.8166310    0.0202459
   0.8103810    0.0209168
   0.8041011    0.0215776
   0.7977911    0.0222385
   0.7914611    0.0228994
   0.7851311    0.0235603
   0.7788212    0.0242112
   0.7725512    0.0248621
   0.7663212    0.0255030
   0.7601513    0.0261438
   0.7540713    0.0267847
   0.7480813    0.0274155
   0.7421713    0.0280464
   0.7363114    0.0286772
   0.7304914    0.0292980
   0.7246914    0.0299288
   0.7188815    0.0305497
   0.7130515    0.0311805
   0.7071815    0.0318113
   0.7012516    0.0324421
   0.6952516    0.0330730
   0.6891716    0.0337139
   0.6830016    0.0343547
   0.6767417    0.0350056
   0.6703917    0.0356565
   0.6639317    0.0363174
   0.6573618    0.0369883
   0.6506718    0.0376593
   0.6438818    0.0383402
   0.6370418    0.0390212
   0.6301619    0.0397122
   0.6232919    0.0403931
   0.6164619    0.0410741
   0.6097119    0.0417451
   0.6030720    0.0424060
   0.5965720    0.0430469
   0.5902320    0.0436878
   0.5840120    0.0443087
   0.5778921    0.0449295
   0.5718421    0.0455404
   0.5658321    0.0461412
   0.5598221    0.0467421
   0.5538022    0.0473529
   0.5477322    0.0479538
   0.5416022    0.0485547
   0.5354222    0.0491655
   0.5292023    0.0497764
   0.5229723    0.0503873
   0.5167423    0.0509882
   0.5105323    0.0515890
   0.5043423    0.0521799
   0.4982124    0.0527708
   0.4921424    0.0533516
   0.4861124    0.0539225
   0.4801324    0.0544833
   0.4741724    0.0550442
   0.4682225    0.0556050
   0.4622825    0.0561458
   0.4563125    0.0566967
   0.4503325    0.0572375
   0.4443025    0.0577784
   0.4382225    0.0583192
   0.4321026    0.0588501
   0.4259226    0.0593910
   0.4196826    0.0599118
   0.4133726    0.0604427
   0.4069926    0.0609536
   0.4005426    0.0614745
   0.3940026    0.0619755
   0.3874126    0.0624764
   0.3807726    0.0629673
   0.3741126    0.0634383
   0.3674526    0.0638992
   0.3608326    0.0643501
   0.3542626    0.0647711
   0.3477726    0.0651720
   0.3413926    0.0655429
   0.3351326    0.0658937
   0.3290226    0.0662146
   0.3230925    0.0665154
   0.3173625    0.0667862
   0.3118625    0.0670270
   0.3066125    0.0672377
   0.3016325    0.0674284
   0.2969624    0.0675991
   0.2926024    0.0677397
   0.2885224    0.0678503
   0.2847124    0.0679508
   0.2811423    0.0680313
   0.2777923    0.0680918
   0.2746223    0.0681522
   0.2716323    0.0681927
   0.2687722    0.0682331
   0.2660422    0.0682734
   0.2633922    0.0683038
   0.2608222    0.0683342
   0.2582922    0.0683545
   0.2557821    0.0683749
   0.2532721    0.0683852
   0.2507321    0.0683956
   0.2481421    0.0683969
   0.2454720    0.0683963
   0.2427320    0.0683767
   0.2399320    0.0683571
   0.2370519    0.0683375
   0.2341219    0.0682979
   0.2311419    0.0682583
   0.2281118    0.0682087
   0.2250418    0.0681492
   0.2219418    0.0680796
   0.2188117    0.0680100
   0.2156617    0.0679205
   0.2124916    0.0678309
   0.2093116    0.0677214
   0.2061315    0.0676118
   0.2029615    0.0674923
   0.1998014    0.0673627
   0.1966514    0.0672331
   0.1935213    0.0670836
   0.1904113    0.0669340
   0.1873212    0.0667644
   0.1842312    0.0665949
   0.1811511    0.0664053
   0.1780810    0.0662057
   0.1750110    0.0659962
   0.1719509    0.0657766
   0.1688809    0.0655370
   0.1658108    0.0652974
   0.1627707    0.0650379
   0.1597407    0.0647683
   0.1567406    0.0644987
   0.1537805    0.0642091
   0.1508605    0.0639195
   0.1479904    0.0636299
   0.1451803    0.0633303
   0.1424002    0.0630307
   0.1396502    0.0627211
   0.1369001    0.0623915
   0.1341300    0.0620518
   0.1313400    0.0616922
   0.1284899    0.0613026
   0.1255898    0.0609030
   0.1225997    0.0604634
   0.1195396    0.0600039
   0.1164295    0.0595143
   0.1132594    0.0590047
   0.1100693    0.0584652
   0.1068592    0.0579156
   0.1036491    0.0573361
   0.1004489    0.0567365
   0.0972788    0.0561169
   0.0941387    0.0554874
   0.0910386    0.0548378
   0.0879985    0.0541782
   0.0850083    0.0535086
   0.0820882    0.0528390
   0.0792381    0.0521494
   0.0764680    0.0514598
   0.0737878    0.0507702
   0.0711977    0.0500805
   0.0686876    0.0493909
   0.0662775    0.0486912
   0.0639374    0.0480015
   0.0616772    0.0473118
   0.0594971    0.0466321
   0.0573970    0.0459424
   0.0553569    0.0452627
   0.0533868    0.0445830
   0.0514767    0.0439132
   0.0496366    0.0432435
   0.0478464    0.0425737
   0.0461163    0.0419040
   0.0444262    0.0412342
   0.0427961    0.0405644
   0.0411960    0.0399046
   0.0396459    0.0392348
   0.0381358    0.0385650
   0.0366657    0.0378952
   0.0352356    0.0372354
   0.0338555    0.0365756
   0.0325254    0.0359258
   0.0312353    0.0352860
   0.0299952    0.0346561
   0.0288051    0.0340363
   0.0276550    0.0334265
   0.0265549    0.0328166
   0.0254848    0.0322168
   0.0244447    0.0316069
   0.0234346    0.0309970
   0.0224545    0.0303772
   0.0214844    0.0297373
   0.0205343    0.0290874
   0.0195942    0.0284175
   0.0186641    0.0277377
   0.0177640    0.0270478
   0.0168739    0.0263479
   0.0160037    0.0256380
   0.0151636    0.0249281
   0.0143435    0.0242082
   0.0135434    0.0234983
   0.0127733    0.0227784
   0.0120332    0.0220685
   0.0113231    0.0213686
   0.0106330    0.0206687
   0.0099729    0.0199688
   0.0093528    0.0192889
   0.0087527    0.0186190
   0.0081926    0.0179590
   0.0076525    0.0173091
   0.0071524    0.0166692
   0.0066723    0.0160492
   0.0062222    0.0154293
   0.0057821    0.0148293
   0.0053720    0.0142294
   0.0049720    0.0136394
   0.0045819    0.0130495
   0.0042118    0.0124695
   0.0038417    0.0118896
   0.0034816    0.0112896
   0.0031315    0.0106597
   0.0027914    0.0099997
   0.0024513    0.0092997
   0.0021212    0.0085498
   0.0017911    0.0077298
   0.0014710    0.0068499
   0.0011508    0.0059199
   0.0008607    0.0049499
   0.0005906    0.0039700
   0.0003604    0.0030000
   0.0001803    0.0020600
   0.0000602    0.0011700
   0.0000000    0.0000000
   0.0000799   -0.0009900
   0.0002198   -0.0015400
   0.0003997   -0.0020301
   0.0006197   -0.0024601
   0.0008596   -0.0028701
   0.0011096   -0.0032502
   0.0013695   -0.0036202
   0.0016095   -0.0040003
   0.0018494   -0.0044003
   0.0020993   -0.0048203
   0.0023793   -0.0052604
   0.0027092   -0.0057404
   0.0030992   -0.0062505
   0.0035691   -0.0068106
   0.0041390   -0.0074207
   0.0048289   -0.0080808
   0.0056388   -0.0088009
   0.0065487   -0.0095510
   0.0075486   -0.0103412
   0.0086285   -0.0111313
   0.0097584   -0.0119315
   0.0109283   -0.0127217
   0.0121182   -0.0134918
   0.0133081   -0.0142120
   0.0144881   -0.0148922
   0.0156880   -0.0155324
   0.0169179   -0.0161425
   0.0182178   -0.0167327
   0.0195878   -0.0173229
   0.0210677   -0.0179031
   0.0226676   -0.0184934
   0.0244276   -0.0191136
   0.0263475   -0.0197539
   0.0284274   -0.0204242
   0.0306374   -0.0211045
   0.0329773   -0.0217948
