DS 21 coords   (c)Joe Wurts
   0.9368425    0.0007072
   0.9431345    0.0007493
   0.9491196    0.0007703
   0.9547926    0.0007714
   0.9601467    0.0007555
   0.9651787    0.0007246
   0.9698818    0.0006806
   0.9742538    0.0006257
   0.9782888    0.0005627
   0.9819868    0.0004958
   0.9853419    0.0004238
   0.9883539    0.0003519
   0.9910189    0.0002809
   0.9933359    0.0002149
   0.9953040    0.0001539
   0.9969210    0.0001010
   0.9981860    0.0000580
   0.9990960    0.0000270
   0.9996500    0.0000070
   1.0000000    0.0000000
