11GPV  Flapped scale sailplane (c)m_scherrer
   1.0000000    0.0003730
   0.9932014    0.0013333
   0.9801322    0.0032034
   0.9641252    0.0055235
   0.9475723    0.0079528
   0.9307524    0.0104434
   0.9137865    0.0129750
   0.8968847    0.0155316
   0.8800218    0.0181321
   0.8631750    0.0207887
   0.8463323    0.0235052
   0.8294525    0.0262798
   0.8124938    0.0291014
   0.7955352    0.0319260
   0.7786294    0.0347236
   0.7617347    0.0374912
   0.7448470    0.0402238
   0.7279772    0.0429173
   0.7111264    0.0455599
   0.6942885    0.0481464
   0.6774367    0.0506800
   0.6605657    0.0531616
   0.6436978    0.0555891
   0.6268558    0.0579556
   0.6100638    0.0602432
   0.5933187    0.0624346
   0.5765886    0.0645231
   0.5598694    0.0665045
   0.5431601    0.0683720
   0.5264697    0.0701194
   0.5098053    0.0717338
   0.4931507    0.0732112
   0.4764841    0.0745486
   0.4598014    0.0757500
   0.4431206    0.0768154
   0.4264658    0.0777338
   0.4098358    0.0784932
   0.3931887    0.0790926
   0.3764966    0.0795389
   0.3597893    0.0798433
   0.3431089    0.0800027
   0.3264845    0.0800091
   0.3099500    0.0798433
   0.2935013    0.0794816
   0.2770675    0.0789148
   0.2606206    0.0781470
   0.2442125    0.0771842
   0.2278594    0.0760163
   0.2115501    0.0746364
   0.1953357    0.0730485
   0.1793491    0.0712364
   0.1636184    0.0691451
   0.1480835    0.0667287
   0.1327243    0.0639712
   0.1175860    0.0608635
   0.1027404    0.0573916
   0.0882737    0.0535315
   0.0742696    0.0492631
   0.0608154    0.0445784
   0.0482259    0.0395951
   0.0370204    0.0344769
   0.0275410    0.0293787
   0.0199618    0.0245862
   0.0142140    0.0203307
   0.0099686    0.0166282
   0.0068445    0.0133981
   0.0045237    0.0105675
   0.0027781    0.0080725
   0.0014787    0.0058342
   0.0005724    0.0037777
   0.0000712    0.0018500
   0.0000000    0.0000000
   0.0004209   -0.0018593
   0.0014237   -0.0037290
   0.0029917   -0.0055090
   0.0051066   -0.0072274
   0.0078097   -0.0089351
   0.0112397   -0.0106963
   0.0156566   -0.0125541
   0.0214735   -0.0145388
   0.0292664   -0.0166587
   0.0395653   -0.0188561
   0.0523694   -0.0210141
   0.0669275   -0.0229583
   0.0825069   -0.0246190
   0.0985665   -0.0260010
   0.1148903   -0.0271092
   0.1314772   -0.0279975
   0.1482482   -0.0287230
   0.1650823   -0.0293065
   0.1819465   -0.0297470
   0.1988737   -0.0300615
   0.2158740   -0.0302741
   0.2329284   -0.0304037
   0.2500109   -0.0304603
   0.2671153   -0.0304500
   0.2842338   -0.0303766
   0.3013474   -0.0302423
   0.3184430   -0.0300429
   0.3355196   -0.0297775
   0.3525773   -0.0294431
   0.3696130   -0.0290367
   0.3866198   -0.0285533
   0.4036126   -0.0279868
   0.4206155   -0.0273314
   0.4376654   -0.0265970
   0.4547843   -0.0257996
   0.4719423   -0.0249562
   0.4891113   -0.0240739
   0.5062794   -0.0231535
   0.5234394   -0.0221942
   0.5406005   -0.0211958
   0.5577756   -0.0201605
   0.5749698   -0.0190912
   0.5921869   -0.0179968
   0.6094271   -0.0168835
   0.6266793   -0.0157572
   0.6439234   -0.0146289
   0.6611516   -0.0135006
   0.6783658   -0.0123793
   0.6955659   -0.0112679
   0.7127441   -0.0101706
   0.7298912   -0.0090952
   0.7470063   -0.0080509
   0.7640894   -0.0070465
   0.7811405   -0.0060920
   0.7981655   -0.0051936
   0.8151835   -0.0043582
   0.8321684   -0.0035907
   0.8491173   -0.0029052
   0.8660831   -0.0023078
   0.8830359   -0.0017933
   0.9000087   -0.0013678
   0.9170673   -0.0010084
   0.9341470   -0.0006771
   0.9510627   -0.0003506
   0.9672363   -0.0000886
   0.9815827   -0.0000355
   0.9933949   -0.0001989
   1.0000000   -0.0003730
