HN-276SA Aile volante  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0000600
   0.9960000    0.0002600
   0.9911400    0.0006000
   0.9842900    0.0011600
   0.9755300    0.0019300
   0.9648900    0.0029100
   0.9524100    0.0040600
   0.9381500    0.0053900
   0.9221600    0.0068900
   0.9045100    0.0085600
   0.8852600    0.0104100
   0.8644800    0.0124100
   0.8422700    0.0145300
   0.8187100    0.0167700
   0.7938900    0.0190800
   0.7679100    0.0214500
   0.7408800    0.0238600
   0.7128900    0.0262800
   0.6840600    0.0286800
   0.6545100    0.0310300
   0.6243500    0.0333200
   0.5936900    0.0355100
   0.5626700    0.0375800
   0.5314000    0.0395100
   0.5000000    0.0412800
   0.4686100    0.0428500
   0.4373300    0.0442200
   0.4063100    0.0453700
   0.3756600    0.0462700
   0.3454900    0.0469200
   0.3159400    0.0472900
   0.2871100    0.0473800
   0.2591200    0.0471600
   0.2320900    0.0466400
   0.2061100    0.0458000
   0.1812900    0.0446400
   0.1577300    0.0431600
   0.1355200    0.0413300
   0.1147400    0.0391800
   0.0954900    0.0366900
   0.0778400    0.0338800
   0.0618500    0.0307600
   0.0475900    0.0273500
   0.0351100    0.0236600
   0.0244700    0.0197200
   0.0156600    0.0155900
   0.0087600    0.0114500
   0.0037400    0.0072800
   0.0008100    0.0031600
   0.0000000    0.0000000
   0.0009900   -0.0033600
   0.0037400   -0.0069600
   0.0087600   -0.0108600
   0.0156600   -0.0147000
   0.0244700   -0.0184500
   0.0351100   -0.0219900
   0.0475900   -0.0252400
   0.0618500   -0.0282200
   0.0778400   -0.0308900
   0.0954900   -0.0332600
   0.1147400   -0.0353200
   0.1355200   -0.0370500
   0.1577300   -0.0384800
   0.1812900   -0.0395900
   0.2061100   -0.0404000
   0.2320900   -0.0409200
   0.2591200   -0.0411500
   0.2871100   -0.0411100
   0.3159400   -0.0408000
   0.3454900   -0.0402500
   0.3756600   -0.0394600
   0.4063100   -0.0384500
   0.4373300   -0.0372500
   0.4686100   -0.0358600
   0.5000000   -0.0343000
   0.5314000   -0.0326000
   0.5626700   -0.0307700
   0.5936900   -0.0288300
   0.6243500   -0.0268100
   0.6545100   -0.0247400
   0.6840600   -0.0226200
   0.7128900   -0.0205000
   0.7408800   -0.0183800
   0.7679100   -0.0163100
   0.7938900   -0.0142900
   0.8187100   -0.0123600
   0.8422700   -0.0105200
   0.8644800   -0.0088100
   0.8852600   -0.0072300
   0.9045100   -0.0058000
   0.9221600   -0.0045300
   0.9381500   -0.0034300
   0.9524100   -0.0024900
   0.9648900   -0.0017100
   0.9755300   -0.0010800
   0.9842900   -0.0006000
   0.9911400   -0.0002900
   0.9960600   -0.0001100
   0.9990100   -0.0000200
   1.0000000    0.0000000
