Rs001t	(c)Reinhard Sielemann
   1.0000000    0.0000000
   0.9972600    0.0001100
   0.9890700    0.0005050
   0.9755300    0.0013000
   0.9567700    0.0025250
   0.9330100    0.0041650
   0.9045100    0.0062600
   0.8715700    0.0088550
   0.8345700    0.0119100
   0.7938900    0.0153350
   0.7500000    0.0191200
   0.7033700    0.0231950
   0.6545100    0.0273900
   0.6039600    0.0316000
   0.5522600    0.0358000
   0.5000000    0.0397800
   0.4477400    0.0432000
   0.3960400    0.0459050
   0.3454900    0.0478750
   0.2966300    0.0489950
   0.2500000    0.0491350
   0.2061100    0.0482150
   0.1654300    0.0461750
   0.1284300    0.0429950
   0.0954900    0.0386750
   0.0669900    0.0332900
   0.0432300    0.0270450
   0.0244700    0.0202100
   0.0109300    0.0130350
   0.0027400    0.0061550
   0.0000000    0.0000000
   0.0027400   -0.0061550
   0.0109300   -0.0130350
   0.0244700   -0.0202100
   0.0432300   -0.0270450
   0.0669900   -0.0332900
   0.0954900   -0.0386750
   0.1284300   -0.0429950
   0.1654300   -0.0461750
   0.2061100   -0.0482150
   0.2500000   -0.0491350
   0.2966300   -0.0489950
   0.3454900   -0.0478750
   0.3960400   -0.0459050
   0.4477400   -0.0432000
   0.5000000   -0.0397800
   0.5522600   -0.0358000
   0.6039600   -0.0316000
   0.6545100   -0.0273900
   0.7033700   -0.0231950
   0.7500000   -0.0191200
   0.7938900   -0.0153350
   0.8345700   -0.0119100
   0.8715700   -0.0088550
   0.9045100   -0.0062600
   0.9330100   -0.0041650
   0.9567700   -0.0025250
   0.9755300   -0.0013000
   0.9890700   -0.0005050
   0.9972600   -0.0001100
   1.0000000    0.0000000
