Allround  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0001500
   0.9960600    0.0006500
   0.9911400    0.0015200
   0.9842900    0.0028000
   0.9755300    0.0044300
   0.9648900    0.0063400
   0.9524100    0.0084800
   0.9381500    0.0107800
   0.9221600    0.0132500
   0.9045100    0.0158900
   0.8852600    0.0186900
   0.8644800    0.0216100
   0.8422700    0.0246200
   0.8187100    0.0276900
   0.7938900    0.0307700
   0.7679100    0.0338400
   0.7408800    0.0368800
   0.7128900    0.0398200
   0.6840600    0.0426700
   0.6545100    0.0453700
   0.6243500    0.0479100
   0.5936900    0.0502500
   0.5626700    0.0523800
   0.5314000    0.0542800
   0.5000000    0.0559100
   0.4686100    0.0572500
   0.4373300    0.0582800
   0.4063100    0.0590000
   0.3756600    0.0593700
   0.3454900    0.0594100
   0.3159400    0.0590900
   0.2871100    0.0584200
   0.2591200    0.0573700
   0.2320900    0.0559600
   0.2061100    0.0542000
   0.1812900    0.0520800
   0.1577300    0.0496100
   0.1355200    0.0468200
   0.1147400    0.0437000
   0.0954900    0.0402900
   0.0778400    0.0366100
   0.0618500    0.0326800
   0.0475900    0.0285600
   0.0351100    0.0242600
   0.0244700    0.0198400
   0.0157100    0.0154100
   0.0088600    0.0110500
   0.0039400    0.0068300
   0.0009900    0.0031100
   0.0000000    0.0000000
   0.0009900   -0.0025800
   0.0039400   -0.0052000
   0.0088600   -0.0078400
   0.0157100   -0.0103100
   0.0244700   -0.0126400
   0.0351100   -0.0148100
   0.0475900   -0.0167200
   0.0618500   -0.0184000
   0.0778400   -0.0198100
   0.0954900   -0.0209900
   0.1147400   -0.0219200
   0.1355200   -0.0226100
   0.1577300   -0.0230700
   0.1812900   -0.0233000
   0.2061100   -0.0233300
   0.2320900   -0.0231600
   0.2591200   -0.0228200
   0.2871100   -0.0223100
   0.3159400   -0.0216400
   0.3454900   -0.0208400
   0.3756600   -0.0199200
   0.4063100   -0.0188800
   0.4373300   -0.0177500
   0.4686100   -0.0165500
   0.5000000   -0.0152700
   0.5314000   -0.0139200
   0.5626700   -0.0125000
   0.5936900   -0.0110300
   0.6243500   -0.0095100
   0.6545100   -0.0080000
   0.6840600   -0.0065300
   0.7128900   -0.0051400
   0.7408800   -0.0038300
   0.7679100   -0.0026400
   0.7938900   -0.0015800
   0.8187100   -0.0006500
   0.8422700    0.0001300
   0.8644800    0.0007600
   0.8852600    0.0012400
   0.9045100    0.0015700
   0.9221600    0.0017500
   0.9381500    0.0017800
   0.9524100    0.0016900
   0.9648900    0.0014900
   0.9755300    0.0012200
   0.9842900    0.0008900
   0.9911400    0.0005600
   0.9960600    0.0002700
   0.9990100    0.0000800
   1.0000000    0.0000000
