MH 50	Martin Hepperle Very low drag coefficient airfoil for high speed model aircraft
   1.0000000    0.0000000
   0.9998200    0.0000100
   0.9992900    0.0000200
   0.9983900    0.0000400
   0.9971300    0.0000800
   0.9955200    0.0001400
   0.9935700    0.0002100
   0.9912600    0.0003000
   0.9886000    0.0004200
   0.9856000    0.0005800
   0.9822700    0.0007800
   0.9786000    0.0009900
   0.9746000    0.0012600
   0.9702800    0.0015700
   0.9656500    0.0019100
   0.9607100    0.0023100
   0.9554600    0.0027500
   0.9499200    0.0032400
   0.9440900    0.0037800
   0.9379800    0.0043600
   0.9316000    0.0050100
   0.9249600    0.0057100
   0.9180800    0.0064600
   0.9109500    0.0072600
   0.9036100    0.0081000
   0.8960600    0.0089800
   0.8883200    0.0098700
   0.8803600    0.0107700
   0.8722100    0.0116700
   0.8638500    0.0125700
   0.8553000    0.0134700
   0.8465500    0.0143600
   0.8376000    0.0152400
   0.8284600    0.0161300
   0.8191300    0.0169900
   0.8096100    0.0178400
   0.7999100    0.0186900
   0.7900300    0.0195300
   0.7799700    0.0203600
   0.7697400    0.0211800
   0.7593700    0.0220100
   0.7488500    0.0228300
   0.7381900    0.0236400
   0.7273800    0.0244300
   0.7164300    0.0252200
   0.7053800    0.0260000
   0.6942000    0.0267600
   0.6829100    0.0275100
   0.6715100    0.0282600
   0.6600200    0.0289900
   0.6484400    0.0297200
   0.6367800    0.0304200
   0.6250500    0.0311100
   0.6132600    0.0317700
   0.6014000    0.0324100
   0.5894900    0.0330300
   0.5775300    0.0336400
   0.5655500    0.0342300
   0.5535300    0.0347800
   0.5414800    0.0353000
   0.5294200    0.0358100
   0.5173500    0.0362800
   0.5052700    0.0367300
   0.4932000    0.0371400
   0.4811300    0.0375300
   0.4690900    0.0378900
   0.4570700    0.0382000
   0.4450800    0.0384800
   0.4331100    0.0387200
   0.4211800    0.0389400
   0.4093000    0.0391200
   0.3974700    0.0392700
   0.3857100    0.0393900
   0.3740100    0.0394800
   0.3623900    0.0395400
   0.3508500    0.0395600
   0.3394000    0.0395500
   0.3280400    0.0395200
   0.3167800    0.0394500
   0.3056300    0.0393400
   0.2946000    0.0392000
   0.2836900    0.0390300
   0.2729100    0.0388200
   0.2622500    0.0385800
   0.2517300    0.0383200
   0.2413700    0.0380300
   0.2311500    0.0376900
   0.2210900    0.0373300
   0.2111900    0.0369400
   0.2014700    0.0365200
   0.1919200    0.0360600
   0.1825500    0.0355700
   0.1733600    0.0350600
   0.1643700    0.0345100
   0.1555700    0.0339300
   0.1469800    0.0333100
   0.1385800    0.0326800
   0.1304100    0.0320100
   0.1224500    0.0313200
   0.1147100    0.0305900
   0.1071900    0.0298300
   0.0998900    0.0290500
   0.0928300    0.0282300
   0.0860100    0.0274000
   0.0794200    0.0265300
   0.0730800    0.0256400
   0.0669900    0.0247200
   0.0611500    0.0237800
   0.0555600    0.0228000
   0.0502200    0.0218000
   0.0451400    0.0207700
   0.0403100    0.0197200
   0.0357500    0.0186500
   0.0314400    0.0175500
   0.0274000    0.0164500
   0.0236100    0.0153300
   0.0200900    0.0142000
   0.0168400    0.0130600
   0.0138700    0.0119200
   0.0111700    0.0107900
   0.0087600    0.0096500
   0.0066500    0.0085100
   0.0048300    0.0073500
   0.0033300    0.0061900
   0.0021000    0.0050000
   0.0011700    0.0037800
   0.0005100    0.0025400
   0.0001200    0.0012800
   0.0000000    0.0000000
   0.0001200   -0.0012700
   0.0005100   -0.0025300
   0.0011700   -0.0037700
   0.0021100   -0.0049800
   0.0033500   -0.0061600
   0.0048900   -0.0073300
   0.0067100   -0.0084700
   0.0088400   -0.0096100
   0.0112600   -0.0107500
   0.0139700   -0.0118900
   0.0169600   -0.0130300
   0.0202200   -0.0141500
   0.0237600   -0.0152900
   0.0275600   -0.0164100
   0.0316300   -0.0175300
   0.0359500   -0.0186200
   0.0405400   -0.0197000
   0.0453800   -0.0207500
   0.0504800   -0.0217900
   0.0558400   -0.0228000
   0.0614400   -0.0237800
   0.0673000   -0.0247400
   0.0734100   -0.0256700
   0.0797600   -0.0265800
   0.0863600   -0.0274600
   0.0932000   -0.0283200
   0.1002700   -0.0291500
   0.1075700   -0.0299600
   0.1151000   -0.0307200
   0.1228600   -0.0314600
   0.1308400   -0.0321800
   0.1390300   -0.0328700
   0.1474300   -0.0335200
   0.1560300   -0.0341600
   0.1648400   -0.0347600
   0.1738400   -0.0353300
   0.1830300   -0.0358800
   0.1924000   -0.0363800
   0.2019600   -0.0368600
   0.2116800   -0.0373100
   0.2215800   -0.0377400
   0.2316400   -0.0381200
   0.2418500   -0.0384800
   0.2522100   -0.0388000
   0.2627200   -0.0391000
   0.2733600   -0.0393600
   0.2841400   -0.0395800
   0.2950500   -0.0397800
   0.3060700   -0.0399400
   0.3172100   -0.0400700
   0.3284500   -0.0401600
   0.3397900   -0.0402300
   0.3512300   -0.0402700
   0.3627500   -0.0402700
   0.3743600   -0.0402300
   0.3860300   -0.0401700
   0.3977700   -0.0400700
   0.4095700   -0.0399300
   0.4214300   -0.0397600
   0.4333300   -0.0395600
   0.4452700   -0.0393300
   0.4572400   -0.0390600
   0.4692400   -0.0387600
   0.4812500   -0.0384200
   0.4932800   -0.0380500
   0.5053200   -0.0376400
   0.5173700   -0.0372000
   0.5294000   -0.0367300
   0.5414400   -0.0362200
   0.5534500   -0.0356900
   0.5654400   -0.0351400
   0.5774000   -0.0345500
   0.5893200   -0.0339400
   0.6011900   -0.0333100
   0.6130200   -0.0326500
   0.6247800   -0.0319700
   0.6364700   -0.0312700
   0.6481000   -0.0305500
   0.6596500   -0.0298300
   0.6711100   -0.0290700
   0.6824800   -0.0283000
   0.6937500   -0.0275300
   0.7049100   -0.0267400
   0.7159400   -0.0259400
   0.7268500   -0.0251200
   0.7376400   -0.0242900
   0.7482800   -0.0234600
   0.7587800   -0.0226100
   0.7691300   -0.0217400
   0.7793400   -0.0208700
   0.7893700   -0.0199900
   0.7992400   -0.0191000
   0.8089300   -0.0182000
   0.8184600   -0.0172900
   0.8278000   -0.0163700
   0.8369500   -0.0154600
   0.8459200   -0.0145100
   0.8547100   -0.0135600
   0.8633000   -0.0126200
   0.8717000   -0.0116800
   0.8799100   -0.0107300
   0.8879300   -0.0098200
   0.8957400   -0.0089300
   0.9033400   -0.0080800
   0.9107100   -0.0072600
   0.9178600   -0.0064800
   0.9247400   -0.0057500
   0.9313800   -0.0050600
   0.9377600   -0.0044200
   0.9438800   -0.0038300
   0.9497200   -0.0032900
   0.9552600   -0.0028000
   0.9605200   -0.0023500
   0.9654800   -0.0019500
   0.9701200   -0.0016000
   0.9744400   -0.0012900
   0.9784500   -0.0010200
   0.9821400   -0.0007900
   0.9854800   -0.0006000
   0.9884900   -0.0004400
   0.9911600   -0.0003100
   0.9934900   -0.0002200
   0.9954600   -0.0001400
   0.9970700   -0.0000800
