Allround	 Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0001700
   0.9960600    0.0007300
   0.9911400    0.0017100
   0.9842900    0.0031500
   0.9755300    0.0050000
   0.9648900    0.0072000
   0.9524100    0.0096800
   0.9381500    0.0123600
   0.9221600    0.0152500
   0.9045100    0.0183600
   0.8852600    0.0216700
   0.8644800    0.0251400
   0.8422700    0.0287400
   0.8187100    0.0324200
   0.7938900    0.0361500
   0.7679100    0.0399000
   0.7408800    0.0436100
   0.7128900    0.0472600
   0.6840600    0.0508000
   0.6545100    0.0542000
   0.6243500    0.0574200
   0.5936900    0.0604200
   0.5626700    0.0631700
   0.5314000    0.0656500
   0.5000000    0.0678100
   0.4686100    0.0696100
   0.4373300    0.0710500
   0.4063100    0.0720900
   0.3756600    0.0727000
   0.3454900    0.0728800
   0.3159400    0.0726000
   0.2871100    0.0718600
   0.2591200    0.0706400
   0.2320900    0.0689600
   0.2061100    0.0668100
   0.1812900    0.0642100
   0.1577300    0.0611600
   0.1355200    0.0576800
   0.1147400    0.0538100
   0.0954900    0.0495600
   0.0778400    0.0449700
   0.0618500    0.0401000
   0.0475900    0.0349700
   0.0351100    0.0296600
   0.0244700    0.0242100
   0.0157100    0.0187400
   0.0088600    0.0133600
   0.0039400    0.0082400
   0.0009900    0.0036700
   0.0000000    0.0000000
   0.0010600   -0.0031000
   0.0039900   -0.0063000
   0.0088600   -0.0095300
   0.0157100   -0.0125500
   0.0244700   -0.0155500
   0.0351100   -0.0183700
   0.0475900   -0.0209200
   0.0618500   -0.0231900
   0.0778400   -0.0251900
   0.0954900   -0.0268800
   0.1147400   -0.0282700
   0.1355200   -0.0293500
   0.1577300   -0.0301400
   0.1812900   -0.0306400
   0.2061100   -0.0308700
   0.2320900   -0.0308300
   0.2591200   -0.0305400
   0.2871100   -0.0300200
   0.3159400   -0.0293000
   0.3454900   -0.0283600
   0.3756600   -0.0272600
   0.4063100   -0.0260000
   0.4373300   -0.0246000
   0.4686100   -0.0230800
   0.5000000   -0.0214500
   0.5314000   -0.0197300
   0.5626700   -0.0179100
   0.5936900   -0.0160000
   0.6243500   -0.0140300
   0.6545100   -0.0120600
   0.6840600   -0.0101300
   0.7128900   -0.0082900
   0.7408800   -0.0065500
   0.7679100   -0.0049400
   0.7938900   -0.0034800
   0.8187100   -0.0021900
   0.8422700   -0.0010800
   0.8644800   -0.0001600
   0.8852600    0.0005800
   0.9045100    0.0011200
   0.9221600    0.0014800
   0.9381500    0.0016500
   0.9524100    0.0016600
   0.9648900    0.0015200
   0.9755300    0.0012700
   0.9842900    0.0009500
   0.9911400    0.0006100
   0.9960600    0.0003000
   0.9990100    0.0000800
   1.0000000    0.0000000
