HN-217	F3J Norbert Habe
   1.0000000    0.0000000
   0.9990100    0.0001700
   0.9960600    0.0007200
   0.9911400    0.0016800
   0.9842900    0.0030600
   0.9755300    0.0048300
   0.9648900    0.0069100
   0.9524100    0.0092100
   0.9381500    0.0116800
   0.9221600    0.0143200
   0.9045100    0.0171300
   0.8852600    0.0201000
   0.8644800    0.0231800
   0.8422700    0.0263400
   0.8187100    0.0295600
   0.7938900    0.0327800
   0.7679100    0.0359800
   0.7408800    0.0391300
   0.7128900    0.0421900
   0.6840600    0.0451400
   0.6545100    0.0479400
   0.6243500    0.0505800
   0.5936900    0.0530200
   0.5626700    0.0552500
   0.5314000    0.0572500
   0.5000000    0.0590000
   0.4686100    0.0604400
   0.4373300    0.0615700
   0.4063100    0.0623600
   0.3756600    0.0628000
   0.3454900    0.0628700
   0.3159400    0.0625600
   0.2871100    0.0618600
   0.2591200    0.0607600
   0.2320900    0.0592700
   0.2061100    0.0573900
   0.1812900    0.0551200
   0.1577300    0.0524800
   0.1355200    0.0494800
   0.1147400    0.0461300
   0.0954900    0.0424700
   0.0778400    0.0385300
   0.0618500    0.0343300
   0.0475900    0.0299300
   0.0351100    0.0253600
   0.0244700    0.0206800
   0.0157100    0.0160000
   0.0088600    0.0114300
   0.0039400    0.0070700
   0.0009900    0.0031100
   0.0000000    0.0000000
   0.0009900   -0.0024000
   0.0039400   -0.0049900
   0.0088600   -0.0074300
   0.0157100   -0.0096300
   0.0244700   -0.0116800
   0.0351100   -0.0135500
   0.0475900   -0.0151500
   0.0618500   -0.0165300
   0.0778400   -0.0176700
   0.0954900   -0.0185700
   0.1147400   -0.0192600
   0.1355200   -0.0197200
   0.1577300   -0.0200000
   0.1812900   -0.0200800
   0.2061100   -0.0199900
   0.2320900   -0.0197600
   0.2591200   -0.0193700
   0.2871100   -0.0188600
   0.3159400   -0.0182400
   0.3454900   -0.0175000
   0.3756600   -0.0166800
   0.4063100   -0.0157700
   0.4373300   -0.0147900
   0.4686100   -0.0137400
   0.5000000   -0.0126100
   0.5314000   -0.0114100
   0.5626700   -0.0100900
   0.5936900   -0.0086600
   0.6243500   -0.0071400
   0.6545100   -0.0056000
   0.6840600   -0.0041200
   0.7128900   -0.0027200
   0.7408800   -0.0014300
   0.7679100   -0.0002900
   0.7938900    0.0007000
   0.8187100    0.0015100
   0.8422700    0.0021600
   0.8644800    0.0026300
   0.8852600    0.0029200
   0.9045100    0.0030500
   0.9221600    0.0030200
   0.9381500    0.0028500
   0.9524100    0.0025600
   0.9648900    0.0021600
   0.9755300    0.0017000
   0.9842900    0.0012100
   0.9911400    0.0007400
   0.9960600    0.0003500
   0.9990100    0.0000900
   1.0000000    0.0000000
