HN-487 (for SAL-HLG, with small drag)  Norbert Habbe
   1.0000000    0.0000000
   0.9993200    0.0001100
   0.9972600    0.0004400
   0.9938400    0.0010100
   0.9890700    0.0018400
   0.9829600    0.0029400
   0.9755300    0.0042800
   0.9667900    0.0058100
   0.9567700    0.0075000
   0.9455000    0.0093100
   0.9330100    0.0112300
   0.9193400    0.0132700
   0.9045100    0.0154300
   0.8885700    0.0176900
   0.8715700    0.0200300
   0.8535500    0.0224500
   0.8345700    0.0249100
   0.8146600    0.0274000
   0.7938900    0.0299000
   0.7723200    0.0323900
   0.7500000    0.0348600
   0.7270000    0.0372900
   0.7033700    0.0396500
   0.6791800    0.0419400
   0.6545100    0.0441300
   0.6294100    0.0462200
   0.6039600    0.0481800
   0.5782200    0.0500100
   0.5522600    0.0516700
   0.5261700    0.0531800
   0.5000000    0.0545000
   0.4738300    0.0556200
   0.4477400    0.0565400
   0.4217800    0.0572500
   0.3960400    0.0577300
   0.3705900    0.0579800
   0.3454900    0.0580000
   0.3208200    0.0577600
   0.2966300    0.0572800
   0.2730100    0.0565600
   0.2500000    0.0555800
   0.2276800    0.0543500
   0.2061100    0.0528800
   0.1853400    0.0511600
   0.1654400    0.0492000
   0.1464500    0.0470200
   0.1284300    0.0446100
   0.1114300    0.0419900
   0.0954900    0.0391700
   0.0806700    0.0361600
   0.0669900    0.0330000
   0.0545000    0.0296900
   0.0432300    0.0262500
   0.0332100    0.0227200
   0.0244700    0.0191300
   0.0170400    0.0155200
   0.0109300    0.0119600
   0.0061600    0.0085200
   0.0027400    0.0052300
   0.0006900    0.0023200
   0.0000000    0.0000000
   0.0006900   -0.0020000
   0.0027400   -0.0040100
   0.0061600   -0.0060100
   0.0109300   -0.0078800
   0.0170400   -0.0096600
   0.0244700   -0.0113400
   0.0332100   -0.0128800
   0.0432300   -0.0142700
   0.0545000   -0.0154900
   0.0669900   -0.0165500
   0.0806700   -0.0174500
   0.0954900   -0.0182000
   0.1114300   -0.0188000
   0.1284300   -0.0192400
   0.1464500   -0.0195400
   0.1654400   -0.0197100
   0.1853400   -0.0197400
   0.2061100   -0.0196500
   0.2276800   -0.0194400
   0.2500000   -0.0191300
   0.2730100   -0.0187100
   0.2966300   -0.0182100
   0.3208200   -0.0176100
   0.3454900   -0.0169400
   0.3705900   -0.0162100
   0.3960400   -0.0154100
   0.4217800   -0.0145500
   0.4477400   -0.0136600
   0.4738300   -0.0127200
   0.5000000   -0.0117400
   0.5261700   -0.0107400
   0.5522600   -0.0096900
   0.5782200   -0.0086200
   0.6039600   -0.0075100
   0.6294100   -0.0064000
   0.6545100   -0.0053000
   0.6791800   -0.0042400
   0.7033700   -0.0032300
   0.7270000   -0.0022800
   0.7500000   -0.0014100
   0.7723200   -0.0006100
   0.7938900    0.0000900
   0.8146600    0.0007000
   0.8345700    0.0012100
   0.8535500    0.0016200
   0.8715700    0.0019300
   0.8885700    0.0021500
   0.9045100    0.0022700
   0.9193400    0.0023000
   0.9330100    0.0022400
   0.9455000    0.0021000
   0.9567700    0.0018900
   0.9667900    0.0016300
   0.9755300    0.0013300
   0.9829600    0.0010200
   0.9890700    0.0007100
   0.9938400    0.0004300
   0.9972600    0.0002000
   0.9993200    0.0000500
   1.0000000    0.0000000
