MH 54	Martin Hepperle Very low drag coefficient airfoil for high speed model aircraft
   1.0000000    0.0000000
   0.9992400    0.0000398
   0.9983000    0.0000795
   0.9969900    0.0001391
   0.9953199    0.0002186
   0.9932899    0.0003380
   0.9908899    0.0004773
   0.9881498    0.0006664
   0.9850597    0.0008855
   0.9816197    0.0011645
   0.9778496    0.0014834
   0.9737494    0.0018521
   0.9693293    0.0022808
   0.9645992    0.0027594
   0.9595690    0.0032979
   0.9542388    0.0038963
   0.9486286    0.0045546
   0.9427384    0.0052628
   0.9365782    0.0060310
   0.9301579    0.0068590
   0.9234977    0.0077370
   0.9165874    0.0086650
   0.9094571    0.0096428
   0.9021068    0.0106706
   0.8945565    0.0117284
   0.8867962    0.0128160
   0.8788558    0.0139337
   0.8707255    0.0150612
   0.8624151    0.0161887
   0.8539348    0.0173062
   0.8452745    0.0184136
   0.8364341    0.0195109
   0.8274138    0.0205782
   0.8182135    0.0216255
   0.8088432    0.0226527
   0.7992829    0.0236498
   0.7895526    0.0246269
   0.7796523    0.0255939
   0.7695920    0.0265409
   0.7593618    0.0274778
   0.7489915    0.0283947
   0.7384712    0.0293015
   0.7278109    0.0301883
   0.7170207    0.0310551
   0.7061004    0.0319118
   0.6950602    0.0327385
   0.6839099    0.0335652
   0.6726597    0.0343618
   0.6613095    0.0351384
   0.6498592    0.0358950
   0.6383390    0.0366415
   0.6267288    0.0373580
   0.6150586    0.0380545
   0.6033284    0.0387210
   0.5915282    0.0393775
   0.5796980    0.0399939
   0.5678178    0.0405903
   0.5558977    0.0411568
   0.5439575    0.0417032
   0.5319973    0.0422096
   0.5200272    0.0426860
   0.5080371    0.0431424
   0.4960569    0.0435588
   0.4840868    0.0439452
   0.4721267    0.0442916
   0.4601866    0.0446081
   0.4482665    0.0448945
   0.4363865    0.0451509
   0.4245464    0.0453574
   0.4127563    0.0455338
   0.4010063    0.0456803
   0.3893263    0.0457868
   0.3777062    0.0458633
   0.3661662    0.0458998
   0.3546962    0.0459064
   0.3433262    0.0458730
   0.3320363    0.0457996
   0.3208563    0.0456963
   0.3097763    0.0455629
   0.2988164    0.0453896
   0.2879664    0.0451764
   0.2772465    0.0449232
   0.2666566    0.0446400
   0.2562067    0.0443169
   0.2458968    0.0439638
   0.2357369    0.0435707
   0.2257271    0.0431377
   0.2158872    0.0426748
   0.2062073    0.0421719
   0.1966975    0.0416290
   0.1873577    0.0410562
   0.1782079    0.0404535
   0.1692481    0.0398008
   0.1604683    0.0391181
   0.1518885    0.0384056
   0.1435187    0.0376531
   0.1353389    0.0368706
   0.1273792    0.0360482
   0.1196194    0.0351959
   0.1120897    0.0343136
   0.1047700    0.0334014
   0.0976803    0.0324493
   0.0908206    0.0314772
   0.0841909    0.0304653
   0.0777912    0.0294333
   0.0716315    0.0283615
   0.0657118    0.0272697
   0.0600422    0.0261480
   0.0546125    0.0250064
   0.0494228    0.0238348
   0.0444832    0.0226333
   0.0398036    0.0214219
   0.0353639    0.0201906
   0.0311743    0.0189294
   0.0272447    0.0176682
   0.0235651    0.0163871
   0.0201355    0.0150960
   0.0169659    0.0138051
   0.0140662    0.0125242
   0.0114266    0.0112534
   0.0090770    0.0099727
   0.0069874    0.0086821
   0.0051678    0.0074216
   0.0036282    0.0061611
   0.0023785    0.0049007
   0.0013889    0.0036304
   0.0006593    0.0023702
   0.0001797    0.0011501
   0.0000000    0.0000000
   0.0001303   -0.0011000
   0.0005907   -0.0021798
   0.0013810   -0.0032496
   0.0024713   -0.0043293
   0.0038516   -0.0054288
   0.0054920   -0.0065284
   0.0074223   -0.0075978
   0.0096426   -0.0086471
   0.0121529   -0.0096764
   0.0149532   -0.0106955
   0.0180635   -0.0116946
   0.0214538   -0.0127036
   0.0251141   -0.0137225
   0.0290344   -0.0147213
   0.0332247   -0.0157000
   0.0376750   -0.0166587
   0.0423853   -0.0175973
   0.0473556   -0.0185058
   0.0525958   -0.0193842
   0.0580961   -0.0202426
   0.0638563   -0.0210808
   0.0698666   -0.0218890
   0.0761368   -0.0226672
   0.0826570   -0.0234152
   0.0894272   -0.0241532
   0.0964275   -0.0248611
   0.1036777   -0.0255389
   0.1111579   -0.0261867
   0.1188780   -0.0268143
   0.1268182   -0.0274120
   0.1349784   -0.0279895
   0.1433586   -0.0285370
   0.1519587   -0.0290644
   0.1607689   -0.0295618
   0.1697690   -0.0300391
   0.1789691   -0.0304863
   0.1883693   -0.0309135
   0.1979394   -0.0313106
   0.2076995   -0.0316877
   0.2176296   -0.0320347
   0.2277297   -0.0323517
   0.2379898   -0.0326486
   0.2483999   -0.0329155
   0.2589699   -0.0331623
   0.2696700   -0.0333791
   0.2805201   -0.0335658
   0.2914901   -0.0337226
   0.3025902   -0.0338492
   0.3138102   -0.0339459
   0.3251402   -0.0340225
   0.3365702   -0.0340790
   0.3481102   -0.0340956
   0.3597302   -0.0340921
   0.3714402   -0.0340586
   0.3832302   -0.0339950
   0.3950902   -0.0339115
   0.4070101   -0.0337979
   0.4189901   -0.0336643
   0.4310201   -0.0335007
   0.4431000   -0.0333071
   0.4552099   -0.0331034
   0.4673399   -0.0328698
   0.4794898   -0.0326062
   0.4916597   -0.0323125
   0.5038396   -0.0319988
   0.5160295   -0.0316552
   0.5281994   -0.0312915
   0.5403693   -0.0309079
   0.5525192   -0.0305042
   0.5646390   -0.0300806
   0.5767189   -0.0296370
   0.5887587   -0.0291634
   0.6007486   -0.0286898
   0.6126885   -0.0281862
   0.6245583   -0.0276626
   0.6363681   -0.0271291
   0.6480880   -0.0265856
   0.6597278   -0.0260221
   0.6712776   -0.0254386
   0.6827275   -0.0248552
   0.6940773   -0.0242518
   0.7052971   -0.0236384
   0.7164069   -0.0230151
   0.7273867   -0.0223818
   0.7382265   -0.0217385
   0.7489263   -0.0210753
   0.7594761   -0.0204122
   0.7698759   -0.0197390
   0.7801057   -0.0190460
   0.7901755   -0.0183529
   0.8000653   -0.0176500
   0.8097851   -0.0169271
   0.8193149   -0.0162042
   0.8286646   -0.0154614
   0.8378244   -0.0147087
   0.8467842   -0.0139460
   0.8555640   -0.0131833
   0.8641337   -0.0124208
   0.8725035   -0.0116582
   0.8806733   -0.0109058
   0.8886230   -0.0101534
   0.8963528   -0.0094211
   0.9038626   -0.0086988
   0.9111224   -0.0079967
   0.9181522   -0.0073146
   0.9249320   -0.0066425
   0.9314618   -0.0060006
