HN-456 F3F  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0000900
   0.9960600    0.0004100
   0.9911400    0.0009900
   0.9842900    0.0018500
   0.9755300    0.0029800
   0.9648900    0.0043200
   0.9524100    0.0058600
   0.9381500    0.0075300
   0.9221600    0.0093500
   0.9045100    0.0113300
   0.8852600    0.0134500
   0.8644800    0.0157100
   0.8422700    0.0180600
   0.8187100    0.0205000
   0.7938900    0.0230000
   0.7679100    0.0255200
   0.7408800    0.0280600
   0.7128900    0.0305700
   0.6840600    0.0330400
   0.6545100    0.0354400
   0.6243500    0.0377400
   0.5936900    0.0399000
   0.5626700    0.0419000
   0.5314000    0.0437000
   0.5000000    0.0452900
   0.4686100    0.0466500
   0.4373300    0.0477700
   0.4063100    0.0486300
   0.3756600    0.0492300
   0.3454900    0.0495400
   0.3159400    0.0495500
   0.2871100    0.0492600
   0.2591200    0.0486500
   0.2320900    0.0477200
   0.2061100    0.0464700
   0.1812900    0.0449100
   0.1577300    0.0430100
   0.1355200    0.0408200
   0.1147400    0.0383100
   0.0954900    0.0355200
   0.0778400    0.0324600
   0.0618500    0.0291600
   0.0475900    0.0256300
   0.0351100    0.0219200
   0.0244700    0.0180600
   0.0157100    0.0141500
   0.0088600    0.0102700
   0.0039400    0.0064300
   0.0009900    0.0028500
   0.0000000    0.0000000
   0.0009900   -0.0025600
   0.0039400   -0.0055100
   0.0088600   -0.0084800
   0.0157100   -0.0113200
   0.0244700   -0.0140900
   0.0351100   -0.0167200
   0.0475900   -0.0191300
   0.0618500   -0.0213300
   0.0778400   -0.0233000
   0.0954900   -0.0250400
   0.1147400   -0.0265500
   0.1355200   -0.0278100
   0.1577300   -0.0288400
   0.1812900   -0.0296400
   0.2061100   -0.0302100
   0.2320900   -0.0305700
   0.2591200   -0.0307200
   0.2871100   -0.0306700
   0.3159400   -0.0304200
   0.3454900   -0.0300000
   0.3756600   -0.0294000
   0.4063100   -0.0286400
   0.4373300   -0.0277300
   0.4686100   -0.0266800
   0.5000000   -0.0254800
   0.5314000   -0.0241500
   0.5626700   -0.0226500
   0.5936900   -0.0210000
   0.6243500   -0.0192300
   0.6545100   -0.0173800
   0.6840600   -0.0155300
   0.7128900   -0.0137000
   0.7408800   -0.0119300
   0.7679100   -0.0102300
   0.7938900   -0.0086300
   0.8187100   -0.0071500
   0.8422700   -0.0057900
   0.8644800   -0.0045800
   0.8852600   -0.0035100
   0.9045100   -0.0025900
   0.9221600   -0.0018300
   0.9381500   -0.0012200
   0.9524100   -0.0007400
   0.9648900   -0.0003800
   0.9755300   -0.0001300
   0.9842900    0.0000100
   0.9911400    0.0000600
   0.9960600    0.0000500
   0.9990100    0.0000200
   1.0000000    0.0000000
