13GPV  Flapped scale sailplane (c)m_scherrer
   1.0000000    0.0004410
   0.9932016    0.0014730
   0.9801327    0.0034987
   0.9641262    0.0060406
   0.9475737    0.0087198
   0.9307543    0.0114673
   0.9137889    0.0142618
   0.8968875    0.0170863
   0.8800252    0.0199648
   0.8631789    0.0229133
   0.8463367    0.0259338
   0.8294575    0.0290253
   0.8124994    0.0321769
   0.7955412    0.0353364
   0.7786361    0.0384719
   0.7617419    0.0415795
   0.7448547    0.0446540
   0.7279855    0.0476875
   0.7111353    0.0506690
   0.6942980    0.0535904
   0.6774466    0.0564549
   0.6605762    0.0592644
   0.6437088    0.0620149
   0.6268673    0.0646984
   0.6100758    0.0672958
   0.5933312    0.0697862
   0.5766015    0.0721635
   0.5598827    0.0744219
   0.5431738    0.0765533
   0.5264839    0.0785506
   0.5098198    0.0803989
   0.4931656    0.0820932
   0.4764993    0.0836335
   0.4598168    0.0850218
   0.4431363    0.0862572
   0.4264817    0.0873284
   0.4098519    0.0882197
   0.3932049    0.0889290
   0.3765129    0.0894633
   0.3598057    0.0898376
   0.3431254    0.0900449
   0.3265010    0.0900801
   0.3099665    0.0899213
   0.2935177    0.0895434
   0.2770838    0.0889354
   0.2606368    0.0881045
   0.2442286    0.0870556
   0.2278752    0.0857756
   0.2115657    0.0842595
   0.1953509    0.0825094
   0.1793640    0.0805041
   0.1636329    0.0781857
   0.1480975    0.0755030
   0.1327379    0.0724362
   0.1175989    0.0689763
   0.1027527    0.0651031
   0.0882851    0.0607886
   0.0742802    0.0560088
   0.0608250    0.0507556
   0.0482345    0.0451547
   0.0370280    0.0393898
   0.0275475    0.0336346
   0.0199673    0.0282111
   0.0142186    0.0233802
   0.0099724    0.0191682
   0.0068476    0.0154894
   0.0045261    0.0122590
   0.0027800    0.0094012
   0.0014801    0.0068251
   0.0005733    0.0044377
   0.0000716    0.0021850
   0.0000000    0.0000000
   0.0004204   -0.0022184
   0.0014227   -0.0044772
   0.0029902   -0.0066604
   0.0051047   -0.0088020
   0.0078072   -0.0109500
   0.0112366   -0.0131756
   0.0156530   -0.0155359
   0.0214693   -0.0180783
   0.0292615   -0.0208251
   0.0395596   -0.0237088
   0.0523629   -0.0265743
   0.0669203   -0.0291941
   0.0824991   -0.0314666
   0.0985581   -0.0333845
   0.1148814   -0.0349525
   0.1314679   -0.0362388
   0.1482386   -0.0373071
   0.1650724   -0.0381805
   0.1819364   -0.0388630
   0.1988635   -0.0393774
   0.2158636   -0.0397580
   0.2329179   -0.0400265
   0.2500002   -0.0401941
   0.2671047   -0.0402687
   0.2842231   -0.0402553
   0.3013367   -0.0401549
   0.3184323   -0.0399645
   0.3355090   -0.0396840
   0.3525667   -0.0393126
   0.3696025   -0.0388481
   0.3866094   -0.0382866
   0.4036023   -0.0376201
   0.4206054   -0.0368426
   0.4376555   -0.0359631
   0.4547747   -0.0349997
   0.4719329   -0.0339723
   0.4891022   -0.0328899
   0.5062705   -0.0317525
   0.5234308   -0.0305591
   0.5405922   -0.0293097
   0.5577676   -0.0280093
   0.5749621   -0.0266609
   0.5921796   -0.0252745
   0.6094201   -0.0238572
   0.6266726   -0.0224178
   0.6439172   -0.0209675
   0.6611457   -0.0195141
   0.6783602   -0.0180628
   0.6955608   -0.0166164
   0.7127393   -0.0151810
   0.7298868   -0.0137646
   0.7470023   -0.0123781
   0.7640858   -0.0110327
   0.7811372   -0.0097392
   0.7981625   -0.0085057
   0.8151809   -0.0073372
   0.8321661   -0.0062456
   0.8491153   -0.0052481
   0.8660815   -0.0043496
   0.8830345   -0.0035480
   0.9000075   -0.0028495
   0.9170664   -0.0022250
   0.9341463   -0.0016346
   0.9510622   -0.0010530
   0.9672360   -0.0005539
   0.9815826   -0.0003085
   0.9933949   -0.0003341
   1.0000000   -0.0004410
