HN-961SA Aile volante  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0000600
   0.9960000    0.0002800
   0.9911400    0.0006600
   0.9842900    0.0012900
   0.9755300    0.0021600
   0.9648900    0.0032500
   0.9524100    0.0045400
   0.9381500    0.0060400
   0.9221600    0.0077300
   0.9045100    0.0096200
   0.8852600    0.0117100
   0.8644800    0.0139600
   0.8422700    0.0163700
   0.8187100    0.0189000
   0.7938900    0.0215300
   0.7679100    0.0242300
   0.7408800    0.0269600
   0.7128900    0.0297100
   0.6840600    0.0324500
   0.6545100    0.0351300
   0.6243500    0.0377400
   0.5936900    0.0402400
   0.5626700    0.0426000
   0.5314000    0.0448100
   0.5000000    0.0468300
   0.4686100    0.0486400
   0.4373300    0.0502000
   0.4063100    0.0515200
   0.3756600    0.0525600
   0.3454900    0.0533200
   0.3159400    0.0537600
   0.2871100    0.0538700
   0.2591200    0.0536500
   0.2320900    0.0530700
   0.2061100    0.0521300
   0.1812900    0.0508300
   0.1577300    0.0491500
   0.1355200    0.0470900
   0.1147400    0.0446500
   0.0954900    0.0418300
   0.0778400    0.0386400
   0.0618500    0.0351000
   0.0475900    0.0312100
   0.0351100    0.0270100
   0.0244700    0.0225300
   0.0156600    0.0178100
   0.0087600    0.0130900
   0.0037400    0.0083200
   0.0008100    0.0036100
   0.0000000    0.0000000
   0.0009900   -0.0038600
   0.0037400   -0.0080100
   0.0087600   -0.0125000
   0.0156600   -0.0169200
   0.0244700   -0.0212600
   0.0351100   -0.0253400
   0.0475900   -0.0291100
   0.0618500   -0.0325500
   0.0778400   -0.0356500
   0.0954900   -0.0384000
   0.1147400   -0.0407900
   0.1355200   -0.0428100
   0.1577300   -0.0444800
   0.1812900   -0.0457800
   0.2061100   -0.0467300
   0.2320900   -0.0473500
   0.2591200   -0.0476300
   0.2871100   -0.0476100
   0.3159400   -0.0472700
   0.3454900   -0.0466500
   0.3756600   -0.0457500
   0.4063100   -0.0446100
   0.4373300   -0.0432300
   0.4686100   -0.0416400
   0.5000000   -0.0398500
   0.5314000   -0.0378900
   0.5626700   -0.0357900
   0.5936900   -0.0335600
   0.6243500   -0.0312300
   0.6545100   -0.0288300
   0.6840600   -0.0263900
   0.7128900   -0.0239300
   0.7408800   -0.0214800
   0.7679100   -0.0190800
   0.7938900   -0.0167400
   0.8187100   -0.0145000
   0.8422700   -0.0123600
   0.8644800   -0.0103600
   0.8852600   -0.0085200
   0.9045100   -0.0068500
   0.9221600   -0.0053700
   0.9381500   -0.0040800
   0.9524100   -0.0029800
   0.9648900   -0.0020500
   0.9755300   -0.0013000
   0.9842900   -0.0007300
   0.9911400   -0.0003500
   0.9960600   -0.0001400
   0.9990100   -0.0000300
   1.0000000    0.0000000
