HN-990 F3B   Norbert Habbe
   1.0000000    0.0000000
   0.9990130    0.0001400
   0.9960570    0.0006090
   0.9911440    0.0014270
   0.9842920    0.0026250
   0.9755280    0.0041570
   0.9648880    0.0059430
   0.9524140    0.0079620
   0.9381530    0.0101260
   0.9221640    0.0124570
   0.9045080    0.0149510
   0.8852570    0.0175900
   0.8644840    0.0203500
   0.8422740    0.0231970
   0.8187120    0.0261030
   0.7938930    0.0290330
   0.7679130    0.0319570
   0.7408770    0.0348460
   0.7128900    0.0376720
   0.6840620    0.0404000
   0.6545080    0.0430120
   0.6243450    0.0454850
   0.5936910    0.0477780
   0.5626670    0.0498820
   0.5313950    0.0517690
   0.5000000    0.0534170
   0.4686050    0.0547920
   0.4373330    0.0558830
   0.4063090    0.0566690
   0.3756550    0.0571300
   0.3454920    0.0572690
   0.3159380    0.0570490
   0.2871100    0.0564880
   0.2591230    0.0555550
   0.2320870    0.0542630
   0.2061070    0.0526140
   0.1812880    0.0506090
   0.1577260    0.0482530
   0.1355160    0.0455700
   0.1147430    0.0425600
   0.0954920    0.0392520
   0.0778360    0.0356750
   0.0618470    0.0318570
   0.0475860    0.0278350
   0.0351120    0.0236450
   0.0244720    0.0193360
   0.0157080    0.0150120
   0.0088560    0.0107690
   0.0039430    0.0066890
   0.0009870    0.0030990
   0.0000000    0.0000000
   0.0009870   -0.0024390
   0.0039430   -0.0049830
   0.0088560   -0.0075510
   0.0157080   -0.0098880
   0.0244720   -0.0121020
   0.0351120   -0.0141550
   0.0475860   -0.0159630
   0.0618470   -0.0175590
   0.0778360   -0.0189170
   0.0954920   -0.0200500
   0.1147430   -0.0209680
   0.1355160   -0.0216580
   0.1577260   -0.0221570
   0.1812880   -0.0224550
   0.2061070   -0.0225680
   0.2320870   -0.0225150
   0.2591230   -0.0222970
   0.2871100   -0.0219380
   0.3159380   -0.0214430
   0.3454920   -0.0208170
   0.3756550   -0.0200820
   0.4063090   -0.0192390
   0.4373330   -0.0182990
   0.4686050   -0.0172720
   0.5000000   -0.0161530
   0.5313950   -0.0149390
   0.5626670   -0.0136000
   0.5936910   -0.0121400
   0.6243450   -0.0105850
   0.6545080   -0.0090000
   0.6840620   -0.0074460
   0.7128900   -0.0059560
   0.7408770   -0.0045580
   0.7679130   -0.0032770
   0.7938930   -0.0021330
   0.8187120   -0.0011410
   0.8422740   -0.0002990
   0.8644840    0.0003840
   0.8852570    0.0009040
   0.9045080    0.0012670
   0.9221640    0.0014790
   0.9381530    0.0015500
   0.9524140    0.0014960
   0.9648880    0.0013390
   0.9755280    0.0011010
   0.9842920    0.0008150
   0.9911440    0.0005170
   0.9960570    0.0002530
   0.9990130    0.0000680
   1.0000000    0.0000000
