HS 602  Hartmut Siegmann
   1.0000000    0.0000000
   0.9736100    0.0051300
   0.9450200    0.0105900
   0.9124200    0.0166200
   0.8751400    0.0232500
   0.8320900    0.0305400
   0.7813500    0.0385500
   0.7255200    0.0466500
   0.6724000    0.0536800
   0.6234100    0.0595700
   0.5747000    0.0647700
   0.5255000    0.0691900
   0.4765900    0.0725800
   0.4274000    0.0748600
   0.3774500    0.0759700
   0.3288700    0.0758300
   0.2839700    0.0745400
   0.2438700    0.0722700
   0.2089400    0.0692400
   0.1794500    0.0657700
   0.1515500    0.0615900
   0.1256600    0.0568000
   0.1006500    0.0511800
   0.0777400    0.0449600
   0.0589000    0.0388700
   0.0421100    0.0324700
   0.0294500    0.0267800
   0.0190100    0.0211500
   0.0109600    0.0157000
   0.0048000    0.0102400
   0.0013600    0.0056100
   0.0000000    0.0000000
   0.0010500   -0.0036000
   0.0045900   -0.0074900
   0.0108000   -0.0109700
   0.0198900   -0.0142000
   0.0328800   -0.0174100
   0.0500000   -0.0204000
   0.0691800   -0.0228300
   0.0897300   -0.0247800
   0.1130100   -0.0264000
   0.1411000   -0.0277300
   0.1712300   -0.0285600
   0.2068500   -0.0289000
   0.2465800   -0.0285600
   0.2869900   -0.0274700
   0.3267100   -0.0257000
   0.3664400   -0.0233100
   0.4130100   -0.0198300
   0.4575300   -0.0160200
   0.5075300   -0.0113900
   0.5571000   -0.0067300
   0.6073200   -0.0022900
   0.6595500    0.0017000
   0.7110200    0.0047700
   0.7598900    0.0067600
   0.8070800    0.0077800
   0.8529000    0.0078800
   0.8964900    0.0070000
   0.9358300    0.0052100
   0.9684600    0.0028800
   1.0000000    0.0000000
