HN 959	Planeur>3
   1.0000000    0.0000000
   0.9990100    0.0001700
   0.9960600    0.0007700
   0.9911400    0.0018200
   0.9842900    0.0033600
   0.9755300    0.0053600
   0.9648900    0.0077400
   0.9524100    0.0104300
   0.9381500    0.0133600
   0.9221600    0.0165300
   0.9045100    0.0199700
   0.8852600    0.0236200
   0.8644800    0.0274800
   0.8422700    0.0314800
   0.8187100    0.0356000
   0.7938900    0.0397900
   0.7679100    0.0440000
   0.7408800    0.0482000
   0.7128900    0.0523300
   0.6840600    0.0563600
   0.6545100    0.0602300
   0.6243500    0.0639200
   0.5936900    0.0673500
   0.5626700    0.0705200
   0.5314000    0.0733800
   0.5000000    0.0758800
   0.4686100    0.0779900
   0.4373300    0.0796900
   0.4063100    0.0809400
   0.3756600    0.0817200
   0.3454900    0.0820100
   0.3159400    0.0817700
   0.2871100    0.0810300
   0.2591200    0.0797400
   0.2320900    0.0779300
   0.2061100    0.0755900
   0.1812900    0.0727300
   0.1577300    0.0693500
   0.1355200    0.0654900
   0.1147400    0.0611600
   0.0954900    0.0564000
   0.0778400    0.0512500
   0.0618500    0.0457500
   0.0475900    0.0399700
   0.0351100    0.0339400
   0.0244700    0.0277500
   0.0157100    0.0215200
   0.0088600    0.0154000
   0.0039400    0.0095200
   0.0010300    0.0042400
   0.0000000    0.0000000
   0.0010900   -0.0036100
   0.0039400   -0.0074900
   0.0088600   -0.0115300
   0.0157100   -0.0152900
   0.0244700   -0.0190100
   0.0351100   -0.0225600
   0.0475900   -0.0257900
   0.0618500   -0.0287000
   0.0778400   -0.0312900
   0.0954900   -0.0335300
   0.1147400   -0.0354000
   0.1355200   -0.0369100
   0.1577300   -0.0380700
   0.1812900   -0.0388700
   0.2061100   -0.0393300
   0.2320900   -0.0394700
   0.2591200   -0.0392900
   0.2871100   -0.0388300
   0.3159400   -0.0381000
   0.3454900   -0.0371100
   0.3756600   -0.0358900
   0.4063100   -0.0344600
   0.4373300   -0.0328400
   0.4686100   -0.0310600
   0.5000000   -0.0291300
   0.5314000   -0.0270600
   0.5626700   -0.0248600
   0.5936900   -0.0225500
   0.6243500   -0.0201500
   0.6545100   -0.0177200
   0.6840600   -0.0153400
   0.7128900   -0.0130200
   0.7408800   -0.0108200
   0.7679100   -0.0087500
   0.7938900   -0.0068400
   0.8187100   -0.0051100
   0.8422700   -0.0035900
   0.8644800   -0.0022800
   0.8852600   -0.0011900
   0.9045100   -0.0003100
   0.9221600    0.0003300
   0.9381500    0.0007600
   0.9524100    0.0010000
   0.9648900    0.0010600
   0.9755300    0.0009700
   0.9842900    0.0007800
   0.9911400    0.0005200
   0.9960600    0.0002600
   0.9990100    0.0000800
   1.0000000    0.0000000
