HN-707	 Norbert Habbe F3B
   1.0000000    0.0000000
   0.9990100    0.0001400
   0.9960600    0.0006200
   0.9911400    0.0014500
   0.9842900    0.0026600
   0.9755300    0.0042200
   0.9648900    0.0060500
   0.9524100    0.0081100
   0.9381500    0.0103300
   0.9221600    0.0127200
   0.9045100    0.0152800
   0.8852600    0.0180000
   0.8644800    0.0208400
   0.8422700    0.0237800
   0.8187100    0.0267800
   0.7938900    0.0298100
   0.7679100    0.0328500
   0.7408800    0.0358600
   0.7128900    0.0388100
   0.6840600    0.0416600
   0.6545100    0.0444000
   0.6243500    0.0469900
   0.5936900    0.0494000
   0.5626700    0.0516100
   0.5314000    0.0535900
   0.5000000    0.0553100
   0.4686100    0.0567600
   0.4373300    0.0579000
   0.4063100    0.0587300
   0.3756600    0.0592100
   0.3454900    0.0593500
   0.3159400    0.0591200
   0.2871100    0.0585200
   0.2591200    0.0575500
   0.2320900    0.0562000
   0.2061100    0.0544600
   0.1812900    0.0523700
   0.1577300    0.0499100
   0.1355200    0.0471100
   0.1147400    0.0439700
   0.0954900    0.0405300
   0.0778400    0.0368100
   0.0618500    0.0328500
   0.0475900    0.0286800
   0.0351100    0.0243500
   0.0244700    0.0199000
   0.0157100    0.0154200
   0.0088600    0.0110400
   0.0039400    0.0068300
   0.0009900    0.0030400
   0.0000000    0.0000000
   0.0009900   -0.0025000
   0.0039400   -0.0051600
   0.0088600   -0.0077500
   0.0157100   -0.0101900
   0.0244700   -0.0125200
   0.0351100   -0.0147100
   0.0475900   -0.0166600
   0.0618500   -0.0183800
   0.0778400   -0.0198700
   0.0954900   -0.0211200
   0.1147400   -0.0221300
   0.1355200   -0.0229100
   0.1577300   -0.0234600
   0.1812900   -0.0238000
   0.2061100   -0.0239400
   0.2320900   -0.0238800
   0.2591200   -0.0236400
   0.2871100   -0.0232400
   0.3159400   -0.0226800
   0.3454900   -0.0219800
   0.3756600   -0.0211500
   0.4063100   -0.0202000
   0.4373300   -0.0191600
   0.4686100   -0.0180200
   0.5000000   -0.0167900
   0.5314000   -0.0154700
   0.5626700   -0.0140500
   0.5936900   -0.0125300
   0.6243500   -0.0109300
   0.6545100   -0.0093200
   0.6840600   -0.0077400
   0.7128900   -0.0062300
   0.7408800   -0.0048200
   0.7679100   -0.0035100
   0.7938900   -0.0023400
   0.8187100   -0.0013200
   0.8422700   -0.0004500
   0.8644800    0.0002700
   0.8852600    0.0008200
   0.9045100    0.0012100
   0.9221600    0.0014500
   0.9381500    0.0015400
   0.9524100    0.0015000
   0.9648900    0.0013500
   0.9755300    0.0011200
   0.9842900    0.0008300
   0.9911400    0.0005300
   0.9960600    0.0002600
   0.9990100    0.0000700
   1.0000000    0.0000000
