HN-1038	F3F  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0001200
   0.9960600    0.0005200
   0.9911400    0.0012200
   0.9842900    0.0022600
   0.9755300    0.0036000
   0.9648900    0.0052000
   0.9524100    0.0070100
   0.9381500    0.0089800
   0.9221600    0.0111100
   0.9045100    0.0134200
   0.8852600    0.0158800
   0.8644800    0.0184600
   0.8422700    0.0211500
   0.8187100    0.0239100
   0.7938900    0.0267000
   0.7679100    0.0295100
   0.7408800    0.0323000
   0.7128900    0.0350500
   0.6840600    0.0377300
   0.6545100    0.0403200
   0.6243500    0.0427800
   0.5936900    0.0450900
   0.5626700    0.0472200
   0.5314000    0.0491400
   0.5000000    0.0508400
   0.4686100    0.0522800
   0.4373300    0.0534600
   0.4063100    0.0543500
   0.3756600    0.0549300
   0.3454900    0.0552100
   0.3159400    0.0551500
   0.2871100    0.0547600
   0.2591200    0.0540100
   0.2320900    0.0529200
   0.2061100    0.0514700
   0.1812900    0.0496700
   0.1577300    0.0475300
   0.1355200    0.0450400
   0.1147400    0.0422300
   0.0954900    0.0391000
   0.0778400    0.0356800
   0.0618500    0.0320000
   0.0475900    0.0280800
   0.0351100    0.0239700
   0.0244700    0.0197000
   0.0157100    0.0153800
   0.0088600    0.0111000
   0.0039400    0.0069800
   0.0009900    0.0031500
   0.0000000    0.0000000
   0.0009900   -0.0027200
   0.0039400   -0.0057200
   0.0088600   -0.0086100
   0.0157100   -0.0113500
   0.0244700   -0.0139400
   0.0351100   -0.0163400
   0.0475900   -0.0184800
   0.0618500   -0.0203800
   0.0778400   -0.0220300
   0.0954900   -0.0234400
   0.1147400   -0.0246200
   0.1355200   -0.0255500
   0.1577300   -0.0262500
   0.1812900   -0.0267400
   0.2061100   -0.0270100
   0.2320900   -0.0270900
   0.2591200   -0.0269800
   0.2871100   -0.0266900
   0.3159400   -0.0262400
   0.3454900   -0.0256200
   0.3756600   -0.0248700
   0.4063100   -0.0239800
   0.4373300   -0.0229800
   0.4686100   -0.0218600
   0.5000000   -0.0206400
   0.5314000   -0.0193200
   0.5626700   -0.0178800
   0.5936900   -0.0163400
   0.6243500   -0.0147200
   0.6545100   -0.0130700
   0.6840600   -0.0114300
   0.7128900   -0.0098400
   0.7408800   -0.0083100
   0.7679100   -0.0068700
   0.7938900   -0.0055500
   0.8187100   -0.0043400
   0.8422700   -0.0032800
   0.8644800   -0.0023500
   0.8852600   -0.0015700
   0.9045100   -0.0009400
   0.9221600   -0.0004400
   0.9381500   -0.0000900
   0.9524100    0.0001500
   0.9648900    0.0002800
   0.9755300    0.0003200
   0.9842900    0.0003000
   0.9911400    0.0002200
   0.9960600    0.0001300
   0.9990100    0.0000400
   1.0000000    0.0000000
