HN-203	Planeur>3
   1.0000000    0.0000000
   0.9990100    0.0001800
   0.9960600    0.0007500
   0.9911400    0.0017200
   0.9842900    0.0031000
   0.9755300    0.0048700
   0.9648900    0.0069900
   0.9524100    0.0093900
   0.9381500    0.0120100
   0.9221600    0.0148800
   0.9045100    0.0179900
   0.8852600    0.0213400
   0.8644800    0.0248800
   0.8422700    0.0285800
   0.8187100    0.0324100
   0.7938900    0.0363300
   0.7679100    0.0402800
   0.7408800    0.0442500
   0.7128900    0.0481800
   0.6840600    0.0520200
   0.6545100    0.0557300
   0.6243500    0.0592900
   0.5936900    0.0626500
   0.5626700    0.0657300
   0.5314000    0.0685200
   0.5000000    0.0709600
   0.4686100    0.0730000
   0.4373300    0.0746000
   0.4063100    0.0757600
   0.3756600    0.0764500
   0.3454900    0.0766600
   0.3159400    0.0763500
   0.2871100    0.0755300
   0.2591200    0.0741800
   0.2320900    0.0723200
   0.2061100    0.0699500
   0.1812900    0.0670800
   0.1577300    0.0637400
   0.1355200    0.0599600
   0.1147400    0.0557700
   0.0954900    0.0512300
   0.0778400    0.0463800
   0.0618500    0.0412500
   0.0475900    0.0359000
   0.0351100    0.0304000
   0.0244700    0.0247800
   0.0157100    0.0192000
   0.0088600    0.0138400
   0.0039400    0.0086600
   0.0008500    0.0038900
   0.0000000    0.0000000
   0.0009900   -0.0030000
   0.0039400   -0.0062400
   0.0088600   -0.0093700
   0.0157100   -0.0124200
   0.0244700   -0.0153600
   0.0351100   -0.0181100
   0.0475900   -0.0206400
   0.0618500   -0.0229500
   0.0778400   -0.0250100
   0.0954900   -0.0268000
   0.1147400   -0.0283500
   0.1355200   -0.0296300
   0.1577300   -0.0306500
   0.1812900   -0.0314100
   0.2061100   -0.0319100
   0.2320900   -0.0321800
   0.2591200   -0.0322200
   0.2871100   -0.0320400
   0.3159400   -0.0316200
   0.3454900   -0.0309700
   0.3756600   -0.0301200
   0.4063100   -0.0290600
   0.4373300   -0.0278100
   0.4686100   -0.0264000
   0.5000000   -0.0248000
   0.5314000   -0.0230100
   0.5626700   -0.0210400
   0.5936900   -0.0189200
   0.6243500   -0.0166400
   0.6545100   -0.0142900
   0.6840600   -0.0119700
   0.7128900   -0.0097200
   0.7408800   -0.0076000
   0.7679100   -0.0056600
   0.7938900   -0.0039300
   0.8187100   -0.0024300
   0.8422700   -0.0011600
   0.8644800   -0.0001100
   0.8852600    0.0007000
   0.9045100    0.0012800
   0.9221600    0.0016400
   0.9381500    0.0018100
   0.9524100    0.0017900
   0.9648900    0.0016300
   0.9755300    0.0013600
   0.9842900    0.0010100
   0.9911400    0.0006500
   0.9960600    0.0003200
   0.9990100    0.0000800
   1.0000000    0.0000000
