HL75-K-3     B.Horeni - J
   1.0000000    0.0000000
   0.8998894    0.0147492
   0.7997758    0.0298983
   0.6996899    0.0413477
   0.5995763    0.0564968
   0.4995062    0.0658463
   0.3994503    0.0732959
   0.2994642    0.0714460
   0.2494737    0.0701711
   0.1995208    0.0638964
   0.1495618    0.0584217
   0.0996321    0.0490472
   0.0746845    0.0420601
   0.0663682    0.0395768
   0.0580658    0.0369575
   0.0497445    0.0340731
   0.0410450    0.0306608
   0.0326276    0.0268527
   0.0248299    0.0226862
   0.0208753    0.0202326
   0.0168488    0.0174974
   0.0123928    0.0142929
   0.0076864    0.0107466
   0.0033408    0.0069561
   0.0004235    0.0032602
   0.0000000    0.0000000
   0.0026229   -0.0025163
   0.0072653   -0.0044375
   0.0125443   -0.0059059
   0.0170023   -0.0069685
   0.0210895   -0.0077958
   0.0250631   -0.0084120
   0.0500714   -0.0095145
   0.0750700   -0.0093370
   0.1000686   -0.0091485
   0.1500664   -0.0088545
   0.2000635   -0.0084695
   0.2500606   -0.0080845
   0.3000577   -0.0076996
   0.4000525   -0.0069936
   0.5000465   -0.0061997
   0.6000412   -0.0054957
   0.7000355   -0.0047297
   0.8000292   -0.0038998
   0.9000094   -0.0012499
   1.0000000    0.0000000
