HN-003	Planeur>3
   1.0000000    0.0000000
   0.9990100    0.0001900
   0.9960600    0.0007900
   0.9911400    0.0018500
   0.9842900    0.0033900
   0.9755300    0.0053800
   0.9648900    0.0077300
   0.9524100    0.0103600
   0.9381500    0.0132100
   0.9221600    0.0163000
   0.9045100    0.0196200
   0.8852600    0.0231600
   0.8644800    0.0268800
   0.8422700    0.0307400
   0.8187100    0.0346900
   0.7938900    0.0386900
   0.7679100    0.0426900
   0.7408800    0.0466700
   0.7128900    0.0505700
   0.6840600    0.0543400
   0.6545100    0.0579500
   0.6243500    0.0613600
   0.5936900    0.0645200
   0.5626700    0.0674000
   0.5314000    0.0699500
   0.5000000    0.0721400
   0.4686100    0.0739400
   0.4373300    0.0753300
   0.4063100    0.0763000
   0.3756600    0.0768200
   0.3454900    0.0769000
   0.3159400    0.0764900
   0.2871100    0.0756200
   0.2591200    0.0742600
   0.2320900    0.0724300
   0.2061100    0.0701400
   0.1812900    0.0673800
   0.1577300    0.0641700
   0.1355200    0.0605400
   0.1147400    0.0565100
   0.0954900    0.0520800
   0.0778400    0.0473200
   0.0618500    0.0422500
   0.0475900    0.0369200
   0.0351100    0.0313900
   0.0244700    0.0256900
   0.0157100    0.0199700
   0.0088600    0.0143800
   0.0039400    0.0088900
   0.0009900    0.0040600
   0.0000000    0.0000000
   0.0009900   -0.0034800
   0.0039400   -0.0069600
   0.0088600   -0.0105400
   0.0157100   -0.0139500
   0.0244700   -0.0172100
   0.0351100   -0.0202600
   0.0475900   -0.0230100
   0.0618500   -0.0254600
   0.0778400   -0.0275900
   0.0954900   -0.0293900
   0.1147400   -0.0308800
   0.1355200   -0.0320300
   0.1577300   -0.0328700
   0.1812900   -0.0334000
   0.2061100   -0.0336300
   0.2320900   -0.0335900
   0.2591200   -0.0332800
   0.2871100   -0.0327400
   0.3159400   -0.0319500
   0.3454900   -0.0309400
   0.3756600   -0.0297500
   0.4063100   -0.0283700
   0.4373300   -0.0268400
   0.4686100   -0.0251800
   0.5000000   -0.0233900
   0.5314000   -0.0214900
   0.5626700   -0.0195000
   0.5936900   -0.0174300
   0.6243500   -0.0153100
   0.6545100   -0.0131900
   0.6840600   -0.0111200
   0.7128900   -0.0091300
   0.7408800   -0.0072500
   0.7679100   -0.0055100
   0.7938900   -0.0039500
   0.8187100   -0.0025600
   0.8422700   -0.0013600
   0.8644800   -0.0003600
   0.8852600    0.0004400
   0.9045100    0.0010300
   0.9221600    0.0014200
   0.9381500    0.0016200
   0.9524100    0.0016500
   0.9648900    0.0015300
   0.9755300    0.0012800
   0.9842900    0.0009600
   0.9911400    0.0006200
   0.9960500    0.0003100
   0.9990100    0.0000800
   1.0000000    0.0000000
