HN-956	Planeur>3
   1.0000000    0.0000000
   0.9990100    0.0001800
   0.9960600    0.0007800
   0.9911400    0.0018500
   0.9842900    0.0034400
   0.9755300    0.0055000
   0.9648900    0.0079600
   0.9524100    0.0107600
   0.9381500    0.0138100
   0.9221600    0.0171300
   0.9045100    0.0207300
   0.8852600    0.0245700
   0.8644800    0.0286400
   0.8422700    0.0328700
   0.8187100    0.0372300
   0.7938900    0.0416700
   0.7679100    0.0461600
   0.7408800    0.0506300
   0.7128900    0.0550500
   0.6840600    0.0593500
   0.6545100    0.0635100
   0.6243500    0.0674800
   0.5936900    0.0711800
   0.5626700    0.0746100
   0.5314000    0.0777000
   0.5000000    0.0804200
   0.4686100    0.0827200
   0.4373300    0.0845900
   0.4063100    0.0859700
   0.3756600    0.0868600
   0.3454900    0.0872400
   0.3159400    0.0870500
   0.2871100    0.0863200
   0.2591200    0.0850200
   0.2320900    0.0831400
   0.2061100    0.0807100
   0.1812900    0.0777100
   0.1577300    0.0741600
   0.1355200    0.0700900
   0.1147400    0.0655100
   0.0954900    0.0604600
   0.0778400    0.0549900
   0.0618500    0.0491400
   0.0475900    0.0429700
   0.0351100    0.0365300
   0.0244700    0.0299000
   0.0157100    0.0232200
   0.0088600    0.0166400
   0.0039400    0.0103100
   0.0009900    0.0044700
   0.0000000    0.0000000
   0.0009900   -0.0036900
   0.0039400   -0.0083300
   0.0088600   -0.0128600
   0.0157100   -0.0171200
   0.0244700   -0.0213500
   0.0351100   -0.0253900
   0.0475900   -0.0290900
   0.0618500   -0.0324500
   0.0778400   -0.0354600
   0.0954900   -0.0380800
   0.1147400   -0.0403000
   0.1355200   -0.0421200
   0.1577300   -0.0435500
   0.1812900   -0.0445800
   0.2061100   -0.0452200
   0.2320900   -0.0455100
   0.2591200   -0.0454300
   0.2871100   -0.0450200
   0.3159400   -0.0443100
   0.3454900   -0.0432900
   0.3756600   -0.0420100
   0.4063100   -0.0404800
   0.4373300   -0.0387300
   0.4686100   -0.0367800
   0.5000000   -0.0346600
   0.5314000   -0.0323700
   0.5626700   -0.0299200
   0.5936900   -0.0273300
   0.6243500   -0.0246400
   0.6545100   -0.0219100
   0.6840600   -0.0192100
   0.7128900   -0.0165700
   0.7408800   -0.0140400
   0.7679100   -0.0116500
   0.7938900   -0.0094200
   0.8187100   -0.0073900
   0.8422700   -0.0055700
   0.8644800   -0.0039800
   0.8852600   -0.0026200
   0.9045100   -0.0015000
   0.9221600   -0.0006300
   0.9381500    0.0000100
   0.9524100    0.0004200
   0.9648900    0.0006400
   0.9755300    0.0006900
   0.9842900    0.0006100
   0.9911400    0.0004300
   0.9960600    0.0002300
   0.9990100    0.0000700
   1.0000000    0.0000000
