HN-350M02 F3J  Norbert Habbe
   1.0000000    0.0000000
   0.9990130    0.0001700
   0.9960570    0.0007290
   0.9911440    0.0017200
   0.9842920    0.0031440
   0.9755280    0.0049640
   0.9648880    0.0071070
   0.9524140    0.0094930
   0.9381530    0.0120510
   0.9221640    0.0147960
   0.9045080    0.0177190
   0.8852570    0.0208120
   0.8644840    0.0240360
   0.8422740    0.0273500
   0.8187120    0.0307240
   0.7938930    0.0341230
   0.7679130    0.0375080
   0.7408770    0.0408520
   0.7128900    0.0441130
   0.6840620    0.0472640
   0.6545080    0.0502750
   0.6243450    0.0531200
   0.5936910    0.0557630
   0.5626670    0.0581800
   0.5313950    0.0603460
   0.5000000    0.0622290
   0.4686050    0.0638010
   0.4373330    0.0650380
   0.4063090    0.0659250
   0.3756550    0.0664300
   0.3454920    0.0665580
   0.3159380    0.0662730
   0.2871100    0.0655820
   0.2591230    0.0644670
   0.2320870    0.0629300
   0.2061070    0.0609760
   0.1812880    0.0586110
   0.1577260    0.0558350
   0.1355160    0.0526850
   0.1147430    0.0491590
   0.0954920    0.0452960
   0.0778360    0.0411240
   0.0618470    0.0366830
   0.0475860    0.0320160
   0.0351120    0.0271730
   0.0244720    0.0221880
   0.0157080    0.0172050
   0.0088560    0.0123240
   0.0039430    0.0076220
   0.0009870    0.0033500
   0.0000000    0.0000000
   0.0009870   -0.0026480
   0.0039430   -0.0055380
   0.0088560   -0.0082640
   0.0157080   -0.0107930
   0.0244720   -0.0131700
   0.0351120   -0.0153550
   0.0475860   -0.0172720
   0.0618470   -0.0189430
   0.0778360   -0.0203500
   0.0954920   -0.0214980
   0.1147430   -0.0224110
   0.1355160   -0.0230750
   0.1577260   -0.0235170
   0.1812880   -0.0237450
   0.2061070   -0.0237700
   0.2320870   -0.0236100
   0.2591230   -0.0232730
   0.2871100   -0.0227840
   0.3159380   -0.0221470
   0.3454920   -0.0213720
   0.3756550   -0.0204800
   0.4063090   -0.0194710
   0.4373330   -0.0183700
   0.4686050   -0.0171750
   0.5000000   -0.0158930
   0.5313950   -0.0145160
   0.5626670   -0.0130180
   0.5936910   -0.0114030
   0.6243450   -0.0097020
   0.6545080   -0.0079830
   0.6840620   -0.0063100
   0.7128900   -0.0047230
   0.7408770   -0.0032460
   0.7679130   -0.0019140
   0.7938930   -0.0007490
   0.8187120    0.0002460
   0.8422740    0.0010640
   0.8644840    0.0017000
   0.8852570    0.0021480
   0.9045080    0.0024170
   0.9221640    0.0025160
   0.9381530    0.0024590
   0.9524140    0.0022610
   0.9648880    0.0019530
   0.9755280    0.0015600
   0.9842920    0.0011280
   0.9911440    0.0007020
   0.9960570    0.0003390
   0.9990130    0.0000900
   1.0000000    0.0000000
