HN-975	Planeur>3
   1.0000000    0.0000000
   0.9990130    0.0001810
   0.9960570    0.0007770
   0.9911440    0.0018310
   0.9842920    0.0033880
   0.9755280    0.0054210
   0.9648880    0.0078530
   0.9524140    0.0106160
   0.9381530    0.0136320
   0.9221640    0.0168930
   0.9045080    0.0204020
   0.8852570    0.0241410
   0.8644840    0.0280850
   0.8422740    0.0321960
   0.8187120    0.0364350
   0.7938930    0.0407640
   0.7679130    0.0451440
   0.7408770    0.0495280
   0.7128900    0.0538790
   0.6840620    0.0581410
   0.6545080    0.0622750
   0.6243450    0.0662360
   0.5936910    0.0699670
   0.5626670    0.0734220
   0.5313950    0.0765370
   0.5000000    0.0792440
   0.4686050    0.0815110
   0.4373330    0.0832860
   0.4063090    0.0845430
   0.3756550    0.0852530
   0.3454920    0.0853980
   0.3159380    0.0849490
   0.2871100    0.0839330
   0.2591230    0.0823550
   0.2320870    0.0802400
   0.2061070    0.0776050
   0.1812880    0.0744590
   0.1577260    0.0708190
   0.1355160    0.0667180
   0.1147430    0.0621740
   0.0954920    0.0572220
   0.0778360    0.0519060
   0.0618470    0.0462690
   0.0475860    0.0403590
   0.0351120    0.0342380
   0.0244720    0.0279660
   0.0157080    0.0216770
   0.0088560    0.0155030
   0.0039430    0.0095290
   0.0011080    0.0042980
   0.0000000    0.0000000
   0.0011080   -0.0037450
   0.0039430   -0.0075750
   0.0088560   -0.0116430
   0.0157080   -0.0154330
   0.0244720   -0.0191460
   0.0351120   -0.0226780
   0.0475860   -0.0258950
   0.0618470   -0.0287930
   0.0778360   -0.0313640
   0.0954920   -0.0335860
   0.1147430   -0.0354580
   0.1355160   -0.0369740
   0.1577260   -0.0381450
   0.1812880   -0.0389650
   0.2061070   -0.0394530
   0.2320870   -0.0396160
   0.2591230   -0.0394590
   0.2871100   -0.0390090
   0.3159380   -0.0382570
   0.3454920   -0.0372100
   0.3756550   -0.0358810
   0.4063090   -0.0342950
   0.4373330   -0.0324820
   0.4686050   -0.0304690
   0.5000000   -0.0282880
   0.5313950   -0.0259790
   0.5626670   -0.0235700
   0.5936910   -0.0210970
   0.6243450   -0.0185980
   0.6545080   -0.0161250
   0.6840620   -0.0137290
   0.7128900   -0.0114370
   0.7408770   -0.0092780
   0.7679130   -0.0072740
   0.7938930   -0.0054520
   0.8187120   -0.0038310
   0.8422740   -0.0024180
   0.8644840   -0.0012170
   0.8852570   -0.0002430
   0.9045080    0.0005120
   0.9221640    0.0010430
   0.9381530    0.0013640
   0.9524140    0.0014840
   0.9648880    0.0014290
   0.9755280    0.0012370
   0.9842920    0.0009440
   0.9911440    0.0006110
   0.9960570    0.0003010
   0.9990130    0.0000830
   1.0000000    0.0000000
