MH 126  for the root region of propellers (C) Martin Hepperle
   1.0000000    0.0000000
   0.9963669    0.0011629
   0.9862940    0.0047554
   0.9711249    0.0102789
   0.9512337    0.0166189
   0.9262756    0.0233392
   0.8963130    0.0306489
   0.8618530    0.0386075
   0.8234214    0.0471169
   0.7815888    0.0560510
   0.7369491    0.0652300
   0.6901116    0.0744486
   0.6416843    0.0834698
   0.5922657    0.0920443
   0.5424333    0.0999122
   0.4927380    0.1068183
   0.4436981    0.1125168
   0.3957975    0.1167778
   0.3494854    0.1193954
   0.3051794    0.1201361
   0.2631032    0.1187614
   0.2233492    0.1152797
   0.1861265    0.1098572
   0.1516875    0.1026590
   0.1202746    0.0938808
   0.0921260    0.0837361
   0.0674452    0.0724530
   0.0463930    0.0602983
   0.0291052    0.0475908
   0.0157020    0.0346954
   0.0062893    0.0220355
   0.0009639    0.0101537
   0.0000000    0.0000000
   0.0050930   -0.0083901
   0.0167141   -0.0162492
   0.0336170   -0.0240014
   0.0553752   -0.0313530
   0.0816711   -0.0381352
   0.1121474   -0.0442076
   0.1464259   -0.0494067
   0.1841396   -0.0535957
   0.2248399   -0.0566757
   0.2680136   -0.0584264
   0.3133319   -0.0585314
   0.3606218   -0.0568692
   0.4096605   -0.0534440
   0.4603064   -0.0483863
   0.5122960   -0.0421065
   0.5651270   -0.0350269
   0.6182417   -0.0275300
   0.6710231   -0.0200213
   0.7227845   -0.0129083
   0.7727638   -0.0065886
   0.8201215   -0.0014169
   0.8639475    0.0023242
   0.9032797    0.0044740
   0.9371374    0.0049933
   0.9644481    0.0040525
   0.9842410    0.0022920
   0.9960806    0.0006612
   1.0000000    0.0000000
