HM56  NF-Leistungsprofil
   1.0000000    0.0000000
   0.9998800    0.0000200
   0.9997300    0.0000300
   0.9995500    0.0000500
   0.9993100    0.0000800
   0.9989900    0.0001201
   0.9985700    0.0001701
   0.9980500    0.0002401
   0.9974500    0.0003101
   0.9967500    0.0003902
   0.9959800    0.0004902
   0.9951200    0.0005902
   0.9942000    0.0007103
   0.9931900    0.0008303
   0.9921100    0.0009704
   0.9909600    0.0011105
   0.9897200    0.0012605
   0.9884000    0.0014306
   0.9870000    0.0016007
   0.9855199    0.0017807
   0.9839599    0.0019708
   0.9823299    0.0021709
   0.9806199    0.0023810
   0.9788299    0.0025911
   0.9769699    0.0028212
   0.9750199    0.0030613
   0.9730099    0.0033114
   0.9709099    0.0035615
   0.9687399    0.0038316
   0.9664899    0.0041017
   0.9641599    0.0043918
   0.9617599    0.0046820
   0.9592898    0.0049821
   0.9567498    0.0052922
   0.9541298    0.0056123
   0.9514398    0.0059425
   0.9486698    0.0062826
   0.9458298    0.0066328
   0.9429198    0.0069929
   0.9399398    0.0073531
   0.9368898    0.0077332
   0.9337597    0.0081134
   0.9305697    0.0085036
   0.9272997    0.0089037
   0.9239697    0.0093039
   0.9205697    0.0097241
   0.9171097    0.0101442
   0.9135697    0.0105744
   0.9099697    0.0110146
   0.9063096    0.0114648
   0.9025796    0.0119150
   0.8987796    0.0123752
   0.8949196    0.0128454
   0.8909996    0.0133256
   0.8870096    0.0138158
   0.8829495    0.0143060
   0.8788395    0.0148062
   0.8746695    0.0153064
   0.8704295    0.0158266
   0.8661395    0.0163469
   0.8617795    0.0168671
   0.8573694    0.0174073
   0.8528994    0.0179475
   0.8483794    0.0184978
   0.8437894    0.0190480
   0.8391594    0.0196082
   0.8344594    0.0201685
   0.8297193    0.0207387
   0.8249193    0.0213190
   0.8200693    0.0218992
   0.8151693    0.0224895
   0.8102093    0.0230797
   0.8052092    0.0236800
   0.8001592    0.0242802
   0.7950592    0.0248905
   0.7899092    0.0255108
   0.7847192    0.0261310
   0.7794691    0.0267513
   0.7741891    0.0273816
   0.7688591    0.0280118
   0.7634791    0.0286521
   0.7580590    0.0292924
   0.7525990    0.0299327
   0.7470990    0.0305830
   0.7415590    0.0312332
   0.7359790    0.0318835
   0.7303689    0.0325438
   0.7247089    0.0332041
   0.7190189    0.0338744
   0.7132989    0.0345547
   0.7075388    0.0352350
   0.7017488    0.0359153
   0.6959288    0.0366056
   0.6900688    0.0372959
   0.6841787    0.0379862
   0.6782687    0.0386765
   0.6723187    0.0393668
   0.6663487    0.0400571
   0.6603486    0.0407474
   0.6543186    0.0414477
   0.6482686    0.0421480
   0.6421986    0.0428383
   0.6360985    0.0435386
   0.6299785    0.0442289
   0.6238385    0.0449093
   0.6176785    0.0455896
   0.6114984    0.0462699
   0.6052984    0.0469402
   0.5990884    0.0476105
   0.5928583    0.0482708
   0.5866083    0.0489312
   0.5803483    0.0495815
   0.5740783    0.0502318
   0.5677882    0.0508721
   0.5614882    0.0515124
   0.5551882    0.0521428
   0.5488681    0.0527631
   0.5425481    0.0533834
   0.5362281    0.0539837
   0.5298880    0.0545941
   0.5235480    0.0551844
   0.5172080    0.0557647
   0.5108579    0.0563450
   0.5045179    0.0569053
   0.4981679    0.0574657
   0.4918178    0.0580060
   0.4854678    0.0585363
   0.4791277    0.0590566
   0.4727877    0.0595570
   0.4664477    0.0600573
   0.4601176    0.0605276
   0.4537976    0.0609979
   0.4474775    0.0614482
   0.4411675    0.0618886
   0.4348675    0.0623189
   0.4285774    0.0627292
   0.4222974    0.0631295
   0.4160273    0.0635198
   0.4097773    0.0638902
   0.4035372    0.0642405
   0.3973172    0.0645808
   0.3911172    0.0649011
   0.3849271    0.0652014
   0.3787571    0.0654917
   0.3726070    0.0657520
   0.3664870    0.0660123
   0.3603769    0.0662426
   0.3542869    0.0664630
   0.3482268    0.0666633
   0.3421968    0.0668436
   0.3361767    0.0670039
   0.3301967    0.0671442
   0.3242366    0.0672745
   0.3183066    0.0673748
   0.3124065    0.0674651
   0.3065464    0.0675253
   0.3007064    0.0675756
   0.2948963    0.0675959
   0.2891263    0.0676062
   0.2833862    0.0675965
   0.2776862    0.0675568
   0.2720161    0.0675071
   0.2663760    0.0674274
   0.2607860    0.0673276
   0.2552259    0.0672079
   0.2497159    0.0670682
   0.2442358    0.0669085
   0.2387957    0.0667287
   0.2334057    0.0665290
   0.2280556    0.0662993
   0.2227455    0.0660595
   0.2174855    0.0657898
   0.2122754    0.0655000
   0.2071053    0.0651903
   0.2019853    0.0648605
   0.1969152    0.0645008
   0.1918951    0.0641310
   0.1869151    0.0637313
   0.1819950    0.0633115
   0.1771149    0.0628718
   0.1722948    0.0624120
   0.1675248    0.0619222
   0.1628147    0.0614225
   0.1581546    0.0608927
   0.1535446    0.0603429
   0.1489945    0.0597731
   0.1445044    0.0591834
   0.1400743    0.0585736
   0.1356943    0.0579438
   0.1313742    0.0572940
   0.1271141    0.0566242
   0.1229140    0.0559344
   0.1187639    0.0552146
   0.1146839    0.0544848
   0.1106638    0.0537450
   0.1067137    0.0529752
   0.1028336    0.0521954
   0.0990336    0.0514056
   0.0952835    0.0505957
   0.0916034    0.0497659
   0.0879633    0.0489061
   0.0843732    0.0480363
   0.0808232    0.0471364
   0.0773131    0.0462066
   0.0738830    0.0452768
   0.0705229    0.0443269
   0.0672728    0.0433771
   0.0641328    0.0424272
   0.0611027    0.0414674
   0.0581626    0.0405175
   0.0552925    0.0395476
   0.0524925    0.0385678
   0.0497424    0.0375679
   0.0470323    0.0365480
   0.0443822    0.0355081
   0.0417921    0.0344583
   0.0392721    0.0333984
   0.0368320    0.0323285
   0.0344719    0.0312586
   0.0321918    0.0301787
   0.0299818    0.0290988
   0.0278617    0.0280089
   0.0258116    0.0269190
   0.0238415    0.0258191
   0.0219415    0.0247092
   0.0201214    0.0235992
   0.0183813    0.0224893
   0.0167112    0.0213694
   0.0151212    0.0202494
   0.0136111    0.0191295
   0.0121810    0.0180196
   0.0108210    0.0168996
   0.0095509    0.0157897
   0.0083508    0.0146897
   0.0072408    0.0135898
   0.0062007    0.0124998
   0.0052406    0.0114099
   0.0043606    0.0103299
   0.0035705    0.0092499
   0.0028504    0.0081799
   0.0022104    0.0071200
   0.0016503    0.0060800
   0.0011703    0.0050500
   0.0007802    0.0040500
   0.0004602    0.0030700
   0.0002301    0.0021300
   0.0000701    0.0012400
   0.0000000    0.0000000
   0.0000899   -0.0011300
   0.0002599   -0.0018400
   0.0005099   -0.0025201
   0.0008298   -0.0032001
   0.0012398   -0.0039001
   0.0017298   -0.0046101
   0.0022998   -0.0053502
   0.0029497   -0.0061002
   0.0036797   -0.0068703
   0.0044997   -0.0076403
   0.0053896   -0.0084104
   0.0063596   -0.0091904
   0.0073996   -0.0099705
   0.0085295   -0.0107405
   0.0097395   -0.0115106
   0.0110295   -0.0122607
   0.0123895   -0.0130107
   0.0138395   -0.0137508
   0.0153594   -0.0144809
   0.0169594   -0.0151910
   0.0186394   -0.0158911
   0.0203994   -0.0165812
   0.0222294   -0.0172613
   0.0241393   -0.0179214
   0.0261193   -0.0185615
   0.0281793   -0.0192016
   0.0303193   -0.0198217
   0.0325293   -0.0204318
   0.0348293   -0.0210220
   0.0371993   -0.0216021
   0.0396493   -0.0221722
   0.0421793   -0.0227223
   0.0447893   -0.0232625
   0.0474493   -0.0237926
   0.0501593   -0.0242928
   0.0529193   -0.0247829
   0.0557293   -0.0252530
   0.0586093   -0.0257032
   0.0615593   -0.0261433
   0.0646093   -0.0265635
   0.0677693   -0.0269837
   0.0710393   -0.0273938
   0.0743994   -0.0277840
   0.0778494   -0.0281642
   0.0813594   -0.0285344
   0.0849194   -0.0288745
   0.0885194   -0.0292047
   0.0921694   -0.0295049
   0.0958595   -0.0297951
   0.0996095   -0.0300653
   0.1034295   -0.0303255
   0.1073195   -0.0305757
   0.1112796   -0.0308159
   0.1153096   -0.0310361
   0.1193996   -0.0312563
   0.1235497   -0.0314565
   0.1277697   -0.0316367
   0.1320397   -0.0318069
   0.1363598   -0.0319671
   0.1407498   -0.0321174
   0.1451898   -0.0322476
   0.1496999   -0.0323778
   0.1542499   -0.0324980
   0.1588700   -0.0326083
   0.1635400   -0.0327085
   0.1682600   -0.0327987
   0.1730401   -0.0328690
   0.1778701   -0.0329392
   0.1827502   -0.0329895
   0.1876802   -0.0330297
   0.1926603   -0.0330700
   0.1976903   -0.0330902
   0.2027704   -0.0331005
   0.2079004   -0.0331107
   0.2130705   -0.0331010
   0.2183005   -0.0330912
   0.2235606   -0.0330615
   0.2288806   -0.0330318
   0.2342307   -0.0329920
   0.2396307   -0.0329423
   0.2450808   -0.0328826
   0.2505609   -0.0328129
   0.2560809   -0.0327431
   0.2616510   -0.0326534
   0.2672510   -0.0325637
   0.2728811   -0.0324640
   0.2785612   -0.0323643
   0.2842712   -0.0322445
   0.2900113   -0.0321248
   0.2957914   -0.0319951
   0.3016014   -0.0318554
   0.3074415   -0.0317157
   0.3133216   -0.0315660
   0.3192216   -0.0314163
   0.3251517   -0.0312566
   0.3311218   -0.0310869
   0.3371018   -0.0309172
   0.3431219   -0.0307475
   0.3491620   -0.0305678
   0.3552320   -0.0303781
   0.3613121   -0.0301884
   0.3674222   -0.0299887
   0.3735622   -0.0297890
   0.3797123   -0.0295893
   0.3858824   -0.0293796
   0.3920725   -0.0291599
   0.3982725   -0.0289402
   0.4045026   -0.0287205
   0.4107427   -0.0284908
   0.4169928   -0.0282511
   0.4232628   -0.0280114
   0.4295429   -0.0277718
   0.4358430   -0.0275321
   0.4421431   -0.0272824
   0.4484531   -0.0270327
   0.4547732   -0.0267830
   0.4610933   -0.0265233
   0.4674234   -0.0262636
   0.4737634   -0.0260139
   0.4801035   -0.0257543
   0.4864536   -0.0254846
   0.4927937   -0.0252249
   0.4991437   -0.0249652
   0.5054938   -0.0246955
   0.5118439   -0.0244258
   0.5181840   -0.0241562
   0.5245241   -0.0238865
   0.5308641   -0.0236068
   0.5372042   -0.0233271
   0.5435343   -0.0230474
   0.5498544   -0.0227677
   0.5561644   -0.0224880
   0.5624745   -0.0222083
   0.5687746   -0.0219187
   0.5750547   -0.0216390
   0.5813247   -0.0213493
   0.5875848   -0.0210696
   0.5938349   -0.0207799
   0.6000550   -0.0204902
   0.6062651   -0.0202105
   0.6124651   -0.0199208
   0.6186352   -0.0196311
   0.6247853   -0.0193414
   0.6309254   -0.0190517
   0.6370354   -0.0187620
   0.6431355   -0.0184723
   0.6492056   -0.0181826
   0.6552557   -0.0178829
   0.6612757   -0.0175932
   0.6672758   -0.0173035
   0.6732459   -0.0170138
   0.6791860   -0.0167241
   0.6851060   -0.0164344
   0.6909861   -0.0161447
   0.6968362   -0.0158550
   0.7026562   -0.0155653
   0.7084463   -0.0152756
   0.7141964   -0.0149959
   0.7199165   -0.0147061
   0.7255965   -0.0144264
   0.7312466   -0.0141367
   0.7368467   -0.0138570
   0.7424267   -0.0135773
   0.7479568   -0.0132875
   0.7534469   -0.0130078
   0.7589070   -0.0127381
   0.7643170   -0.0124583
   0.7696871   -0.0121886
   0.7750172   -0.0119089
   0.7802972   -0.0116391
   0.7855273   -0.0113694
   0.7907174   -0.0110996
   0.7958574   -0.0108299
   0.8009475   -0.0105702
   0.8059875   -0.0103104
   0.8109776   -0.0100506
   0.8159277   -0.0097909
   0.8208177   -0.0095311
   0.8256678   -0.0092814
   0.8304579   -0.0090316
   0.8351979   -0.0087818
   0.8398780   -0.0085421
   0.8445080   -0.0083023
   0.8490781   -0.0080625
   0.8535981   -0.0078228
   0.8580582   -0.0075830
   0.8624583   -0.0073532
   0.8668083   -0.0071234
   0.8710884   -0.0068936
   0.8753184   -0.0066638
   0.8794785   -0.0064440
   0.8835885   -0.0062242
   0.8876286   -0.0060144
   0.8916086   -0.0058046
   0.8955187   -0.0055948
   0.8993787   -0.0053950
   0.9031588   -0.0051852
   0.9068888   -0.0049854
   0.9105389   -0.0047956
   0.9141389   -0.0046058
   0.9176590   -0.0044159
   0.9211090   -0.0042261
   0.9244990   -0.0040463
   0.9278191   -0.0038764
   0.9310691   -0.0036966
   0.9342492   -0.0035267
   0.9373592   -0.0033669
   0.9403992   -0.0031971
   0.9433793   -0.0030372
   0.9462793   -0.0028873
   0.9491094   -0.0027275
   0.9518594   -0.0025876
   0.9545394   -0.0024378
   0.9571495   -0.0023079
   0.9596895   -0.0021680
   0.9621495   -0.0020381
   0.9645395   -0.0019082
   0.9668496   -0.0017884
   0.9690896   -0.0016685
   0.9712496   -0.0015486
   0.9733297   -0.0014387
   0.9753397   -0.0013288
   0.9772697   -0.0012289
   0.9791197   -0.0011290
   0.9808898   -0.0010291
   0.9825898   -0.0009391
   0.9842098   -0.0008492
   0.9857498   -0.0007693
   0.9872198   -0.0006894
   0.9886099   -0.0006194
   0.9899099   -0.0005495
   0.9911399   -0.0004796
   0.9922899   -0.0004196
   0.9933499   -0.0003597
   0.9943399   -0.0002997
   0.9952599   -0.0002498
   0.9961000   -0.0002098
   0.9968700   -0.0001698
