15GPV  Flapped scale sailplane (c)m_scherrer
   1.0000000    0.0005085
   0.9932019    0.0017253
   0.9801335    0.0041095
   0.9641276    0.0070932
   0.9475759    0.0102323
   0.9307572    0.0134527
   0.9137925    0.0167262
   0.8968918    0.0200356
   0.8800303    0.0234060
   0.8631847    0.0268564
   0.8463433    0.0303888
   0.8294649    0.0340043
   0.8125076    0.0376868
   0.7955503    0.0413783
   0.7786459    0.0450387
   0.7617526    0.0486662
   0.7448662    0.0522516
   0.7279977    0.0557900
   0.7111482    0.0592665
   0.6943117    0.0626718
   0.6774611    0.0660093
   0.6605914    0.0692817
   0.6437247    0.0724861
   0.6268839    0.0756105
   0.6100930    0.0786348
   0.5933490    0.0815331
   0.5766199    0.0842994
   0.5599017    0.0869267
   0.5431934    0.0894049
   0.5265039    0.0917262
   0.5098403    0.0938744
   0.4931865    0.0958426
   0.4765206    0.0976298
   0.4598385    0.0992390
   0.4431583    0.1006712
   0.4265039    0.1019104
   0.4098743    0.1029405
   0.3932276    0.1037577
   0.3765357    0.1043739
   0.3598286    0.1048011
   0.3431483    0.1050363
   0.3265239    0.1050694
   0.3099893    0.1048775
   0.2935405    0.1044284
   0.2771065    0.1037114
   0.2606592    0.1027333
   0.2442507    0.1015002
   0.2278970    0.0999981
   0.2115871    0.0982209
   0.1953719    0.0961686
   0.1793845    0.0938201
   0.1636527    0.0911064
   0.1481167    0.0879675
   0.1327562    0.0843795
   0.1176164    0.0803342
   0.1027691    0.0758067
   0.0883005    0.0707659
   0.0742943    0.0651846
   0.0608378    0.0590519
   0.0482459    0.0525164
   0.0370379    0.0457918
   0.0275559    0.0390836
   0.0199744    0.0327649
   0.0142244    0.0271406
   0.0099772    0.0222391
   0.0068514    0.0179597
   0.0045292    0.0142035
   0.0027823    0.0108829
   0.0014817    0.0078930
   0.0005744    0.0051276
   0.0000721    0.0025210
   0.0000000    0.0000000
   0.0004198   -0.0025544
   0.0014217   -0.0051483
   0.0029886   -0.0076507
   0.0051026   -0.0100906
   0.0078046   -0.0125360
   0.0112335   -0.0150670
   0.0156494   -0.0177498
   0.0214651   -0.0206338
   0.0292566   -0.0237415
   0.0395542   -0.0269963
   0.0523568   -0.0302233
   0.0669137   -0.0331638
   0.0824919   -0.0357081
   0.0985506   -0.0378488
   0.1148735   -0.0395937
   0.1314598   -0.0410178
   0.1482302   -0.0421971
   0.1650639   -0.0431584
   0.1819277   -0.0439058
   0.1988547   -0.0444621
   0.2158548   -0.0448686
   0.2329090   -0.0451491
   0.2499914   -0.0453186
   0.2670958   -0.0453811
   0.2842143   -0.0453477
   0.3013279   -0.0452172
   0.3184235   -0.0449857
   0.3355003   -0.0446542
   0.3525581   -0.0442197
   0.3695940   -0.0436792
   0.3866011   -0.0430286
   0.4035942   -0.0422590
   0.4205974   -0.0413634
   0.4376477   -0.0403509
   0.4547671   -0.0392444
   0.4719256   -0.0380669
   0.4890951   -0.0368285
   0.5062637   -0.0355280
   0.5234243   -0.0341666
   0.5405860   -0.0327421
   0.5577617   -0.0312617
   0.5749565   -0.0297272
   0.5921743   -0.0281508
   0.6094152   -0.0265414
   0.6266680   -0.0249080
   0.6439129   -0.0232636
   0.6611418   -0.0216172
   0.6783566   -0.0199738
   0.6955575   -0.0183394
   0.7127363   -0.0167179
   0.7298842   -0.0151205
   0.7470000   -0.0135589
   0.7640837   -0.0120464
   0.7811354   -0.0105959
   0.7981611   -0.0092153
   0.8151796   -0.0079137
   0.8321651   -0.0067001
   0.8491145   -0.0055975
   0.8660808   -0.0046089
   0.8830341   -0.0037332
   0.9000072   -0.0029756
   0.9170662   -0.0023061
   0.9341462   -0.0016746
   0.9510622   -0.0010530
   0.9672361   -0.0005257
   0.9815827   -0.0002889
   0.9933949   -0.0003609
   1.0000000   -0.0005085
