HL74-550     B.Horeni - J
   1.0000000    0.0000000
   0.9495614    0.0121842
   0.8991946    0.0223710
   0.7984612    0.0427446
   0.6977997    0.0611208
   0.5972819    0.0755021
   0.4969440    0.0848900
   0.3968936    0.0862882
   0.2970950    0.0806954
   0.2472316    0.0769003
   0.1975120    0.0691104
   0.1478644    0.0593231
   0.0982886    0.0475384
   0.0735726    0.0396486
   0.0489286    0.0297614
   0.0243205    0.0188755
   0.0204988    0.0166990
   0.0165562    0.0142720
   0.0120883    0.0114352
   0.0061969    0.0075591
   0.0013886    0.0035400
   0.0000000    0.0000000
   0.0016174   -0.0016768
   0.0047001   -0.0029758
   0.0085992   -0.0039224
   0.0126636   -0.0045441
   0.0172111   -0.0049204
   0.0212895   -0.0049866
   0.0251762   -0.0048937
   0.0751079   -0.0029961
   0.1000719   -0.0019974
   0.1999389    0.0016978
   0.2998130    0.0051933
   0.3996872    0.0086888
   0.4995614    0.0121842
   0.5994355    0.0156797
   0.6993097    0.0191752
   0.7994319    0.0157795
   0.8997699    0.0063917
   0.9499569    0.0011984
   1.0000000    0.0000000
