HN-951	Planeur>3
   1.0000000    0.0000000
   0.9990100    0.0001400
   0.9960600    0.0006300
   0.9911400    0.0014800
   0.9842500    0.0027500
   0.9755300    0.0044000
   0.9648900    0.0063800
   0.9524100    0.0086400
   0.9381500    0.0111200
   0.9221600    0.0138300
   0.9045100    0.0167900
   0.8852600    0.0199600
   0.8644800    0.0233200
   0.8422700    0.0268300
   0.8187100    0.0304500
   0.7938900    0.0341400
   0.7679100    0.0378700
   0.7408800    0.0415900
   0.7128900    0.0452700
   0.6840600    0.0488600
   0.6545100    0.0523300
   0.6243500    0.0556300
   0.5936900    0.0587300
   0.5626700    0.0616000
   0.5314000    0.0641800
   0.5000000    0.0664400
   0.4686100    0.0683400
   0.4373300    0.0698600
   0.4063100    0.0709800
   0.3756600    0.0716800
   0.3454900    0.0719500
   0.3159400    0.0717800
   0.2871100    0.0711600
   0.2591200    0.0700800
   0.2320900    0.0685400
   0.2061100    0.0665400
   0.1812900    0.0640900
   0.1577300    0.0611900
   0.1355200    0.0578700
   0.1147400    0.0541200
   0.0954900    0.0499900
   0.0778400    0.0455000
   0.0618500    0.0406900
   0.0475900    0.0356100
   0.0351100    0.0303000
   0.0244700    0.0248300
   0.0157100    0.0193500
   0.0088600    0.0139900
   0.0039400    0.0088200
   0.0009900    0.0040400
   0.0000000    0.0000000
   0.0009900   -0.0035500
   0.0039400   -0.0073900
   0.0088600   -0.0112700
   0.0157100   -0.0149100
   0.0244700   -0.0184200
   0.0351100   -0.0217100
   0.0475900   -0.0246600
   0.0618500   -0.0273000
   0.0778400   -0.0296200
   0.0954900   -0.0316200
   0.1147400   -0.0333200
   0.1355200   -0.0346900
   0.1577300   -0.0357800
   0.1812900   -0.0365800
   0.2061100   -0.0371000
   0.2320900   -0.0373610
   0.2591200   -0.0373600
   0.2871100   -0.0371300
   0.3159400   -0.0366800
   0.3454900   -0.0360000
   0.3756600   -0.0351200
   0.4063100   -0.0340600
   0.4373300   -0.0328200
   0.4686100   -0.0314000
   0.5000000   -0.0298300
   0.5314000   -0.0281000
   0.5626700   -0.0262000
   0.5936900   -0.0241500
   0.6243500   -0.0219700
   0.6545100   -0.0197300
   0.6840600   -0.0174800
   0.7128900   -0.0152600
   0.7408800   -0.0131000
   0.7679100   -0.0110400
   0.7938900   -0.0091100
   0.8187100   -0.0073400
   0.8422700   -0.0057400
   0.8644800   -0.0043100
   0.8852600   -0.0030800
   0.9045100   -0.0020500
   0.9221600   -0.0012300
   0.9381500   -0.0006100
   0.9523400   -0.0002200
   0.9648500    0.0000400
   0.9755300    0.0001800
   0.9842900    0.0002100
   0.9911300    0.0001900
   0.9960600    0.0001100
   0.9990100    0.0000300
   1.0000000    0.0000000
