TP29-8.5%  MU28 intermdiaire Ph Jambon (c)Th Platon (pour la dcoupe entre TP36-9.5% et TP29-8
   0.6202328   -0.0282380
   0.6288327   -0.0276571
   0.6374227   -0.0270563
   0.6460126   -0.0264654
   0.6546126   -0.0258645
   0.6632025   -0.0252637
   0.6717924   -0.0246528
   0.6803824   -0.0240520
   0.6889823   -0.0234311
   0.6975723   -0.0228202
   0.7061622   -0.0221994
   0.7147421   -0.0215685
   0.7233321   -0.0209477
   0.7319220   -0.0203168
   0.7405119   -0.0196959
   0.7491019   -0.0190651
   0.7576918   -0.0184342
   0.7662617   -0.0177934
   0.7748217   -0.0171625
   0.7833916   -0.0165217
   0.7919716   -0.0158908
   0.8005615   -0.0152499
   0.8091514   -0.0145991
   0.8177414   -0.0139682
   0.8263313   -0.0133174
   0.8349112   -0.0126665
   0.8435012   -0.0120256
   0.8520911   -0.0113848
   0.8606710   -0.0107339
   0.8692510   -0.0100831
   0.8778409   -0.0094322
   0.8864108   -0.0087814
   0.8949908   -0.0081305
   0.9035707   -0.0074796
   0.9121606   -0.0068288
   0.9207606   -0.0061779
   0.9293405   -0.0055271
   0.9379304   -0.0048762
   0.9465104   -0.0042253
   0.9550803   -0.0035845
   0.9636103   -0.0029536
   0.9720902   -0.0023328
   0.9804301   -0.0017320
   0.9883901   -0.0011812
   0.9956900   -0.0007004
   1.0000000   -0.0004400
