F3F  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0001300
   0.9960600    0.0005700
   0.9911400    0.0013300
   0.9842900    0.0024200
   0.9755300    0.0038500
   0.9648900    0.0055600
   0.9524100    0.0074900
   0.9381500    0.0095900
   0.9221600    0.0118700
   0.9045100    0.0143300
   0.8852600    0.0169400
   0.8644800    0.0197000
   0.8422700    0.0225500
   0.8187100    0.0254700
   0.7938900    0.0284300
   0.7679100    0.0314000
   0.7408800    0.0343400
   0.7128900    0.0372300
   0.6840600    0.0400400
   0.6545100    0.0427400
   0.6243500    0.0453100
   0.5936900    0.0477100
   0.5626700    0.0499200
   0.5314000    0.0519100
   0.5000000    0.0536600
   0.4686100    0.0551500
   0.4373300    0.0563500
   0.4063100    0.0572500
   0.3756600    0.0578300
   0.3454900    0.0580800
   0.3159400    0.0579800
   0.2871100    0.0575300
   0.2591200    0.0567100
   0.2320900    0.0555300
   0.2061100    0.0539700
   0.1812900    0.0520600
   0.1577300    0.0497800
   0.1355200    0.0471500
   0.1147400    0.0441800
   0.0954900    0.0408800
   0.0778400    0.0372900
   0.0618500    0.0334200
   0.0475900    0.0293200
   0.0351100    0.0250100
   0.0244700    0.0205500
   0.0157100    0.0160400
   0.0088600    0.0115800
   0.0039400    0.0072200
   0.0009900    0.0032100
   0.0000000    0.0000000
   0.0009900   -0.0027600
   0.0039400   -0.0058000
   0.0088600   -0.0087900
   0.0157100   -0.0115900
   0.0244700   -0.0142600
   0.0351100   -0.0167300
   0.0475900   -0.0189400
   0.0618500   -0.0209000
   0.0778400   -0.0226000
   0.0954900   -0.0240400
   0.1147400   -0.0252400
   0.1355200   -0.0261800
   0.1577300   -0.0268900
   0.1812900   -0.0273700
   0.2061100   -0.0276300
   0.2320900   -0.0276800
   0.2591200   -0.0275400
   0.2871100   -0.0272200
   0.3159400   -0.0267200
   0.3454900   -0.0260700
   0.3756600   -0.0252700
   0.4063100   -0.0243400
   0.4373300   -0.0232800
   0.4686100   -0.0221200
   0.5000000   -0.0208400
   0.5314000   -0.0194500
   0.5626700   -0.0179400
   0.5936900   -0.0163200
   0.6243500   -0.0146100
   0.6545100   -0.0128700
   0.6840600   -0.0111500
   0.7128900   -0.0094800
   0.7408800   -0.0078800
   0.7679100   -0.0063900
   0.7938900   -0.0050200
   0.8187100   -0.0037800
   0.8422700   -0.0027000
   0.8644800   -0.0017700
   0.8852600   -0.0009900
   0.9045100   -0.0003700
   0.9221600    0.0000800
   0.9381500    0.0003700
   0.9524100    0.0005300
   0.9648900    0.0005900
   0.9755300    0.0005500
   0.9842900    0.0004500
   0.9911400    0.0003100
   0.9960600    0.0001600
   0.9990100    0.0000500
   1.0000000    0.0000000
