HN-1023	Planeur>3
   1.0000000    0.0000000
   0.9989700    0.0002100
   0.9960200    0.0007800
   0.9911100    0.0018000
   0.9842900    0.0032700
   0.9755300    0.0051800
   0.9648900    0.0074300
   0.9524100    0.0099500
   0.9381500    0.0126800
   0.9221600    0.0156400
   0.9045100    0.0188100
   0.8852600    0.0221900
   0.8644800    0.0257400
   0.8422700    0.0294100
   0.8187100    0.0331700
   0.7938900    0.0369900
   0.7679100    0.0407900
   0.7408800    0.0445700
   0.7128900    0.0482700
   0.6840600    0.0518500
   0.6545100    0.0552700
   0.6243500    0.0585000
   0.5936900    0.0614900
   0.5626700    0.0642000
   0.5314000    0.0666100
   0.5000000    0.0686800
   0.4686100    0.0703700
   0.4373300    0.0716700
   0.4063100    0.0725700
   0.3756600    0.0730500
   0.3454900    0.0731000
   0.3159400    0.0727000
   0.2871100    0.0718500
   0.2591200    0.0705300
   0.2320900    0.0687800
   0.2061100    0.0665800
   0.1812900    0.0639500
   0.1577300    0.0608800
   0.1355200    0.0574200
   0.1147400    0.0535800
   0.0954900    0.0493600
   0.0778400    0.0448400
   0.0618500    0.0400200
   0.0475900    0.0349600
   0.0351100    0.0297000
   0.0244700    0.0243000
   0.0157100    0.0188800
   0.0088600    0.0135900
   0.0039400    0.0083900
   0.0009900    0.0038300
   0.0000000    0.0000000
   0.0009900   -0.0032600
   0.0039400   -0.0065100
   0.0088600   -0.0098400
   0.0157100   -0.0130100
   0.0244700   -0.0160300
   0.0351100   -0.0188500
   0.0475900   -0.0213800
   0.0618500   -0.0236400
   0.0778400   -0.0255900
   0.0954900   -0.0272300
   0.1147400   -0.0285800
   0.1355200   -0.0296100
   0.1577300   -0.0303400
   0.1812900   -0.0308000
   0.2061100   -0.0309800
   0.2320900   -0.0308900
   0.2591200   -0.0305700
   0.2871100   -0.0300200
   0.3159400   -0.0292500
   0.3454900   -0.0282800
   0.3756600   -0.0271300
   0.4063100   -0.0258200
   0.4373300   -0.0243700
   0.4686100   -0.0228100
   0.5000000   -0.0211300
   0.5314000   -0.0193500
   0.5626700   -0.0174900
   0.5936900   -0.0155600
   0.6243500   -0.0135800
   0.6545100   -0.0116100
   0.6840600   -0.0096900
   0.7128900   -0.0078600
   0.7408800   -0.0061200
   0.7679100   -0.0045300
   0.7938900   -0.0031000
   0.8187100   -0.0018400
   0.8422700   -0.0007600
   0.8644800    0.0001300
   0.8852600    0.0008300
   0.9045100    0.0013300
   0.9221600    0.0016500
   0.9381500    0.0017900
   0.9524100    0.0017600
   0.9648900    0.0016000
   0.9755300    0.0013200
   0.9842900    0.0009800
   0.9911400    0.0006300
   0.9960500    0.0003100
   0.9990100    0.0000800
   1.0000000    0.0000000
