HM10011	NF-Leistungsprofil erstellt 01
   1.0000000    0.0000000
   0.9998800    0.0000100
   0.9997400    0.0000109
   0.9995600    0.0000198
   0.9993200    0.0000398
   0.9989900    0.0000696
   0.9985699    0.0001095
   0.9980499    0.0001593
   0.9974499    0.0002191
   0.9967499    0.0002788
   0.9959798    0.0003586
   0.9951298    0.0004383
   0.9942098    0.0005179
   0.9931997    0.0006176
   0.9921197    0.0007172
   0.9909596    0.0008368
   0.9897195    0.0009663
   0.9883995    0.0011058
   0.9870094    0.0012553
   0.9855293    0.0014248
   0.9839793    0.0016042
   0.9823392    0.0017837
   0.9806291    0.0019830
   0.9788490    0.0021824
   0.9769789    0.0024017
   0.9750388    0.0026310
   0.9730187    0.0028703
   0.9709286    0.0031196
   0.9687585    0.0033788
   0.9665084    0.0036480
   0.9641882    0.0039271
   0.9617981    0.0042163
   0.9593180    0.0045154
   0.9567778    0.0048245
   0.9541577    0.0051435
   0.9514675    0.0054626
   0.9487074    0.0058016
   0.9458672    0.0061506
   0.9429571    0.0064995
   0.9399769    0.0068685
   0.9369268    0.0072474
   0.9338066    0.0076362
   0.9306164    0.0080451
   0.9273562    0.0084539
   0.9240260    0.0088727
   0.9206359    0.0092915
   0.9171657    0.0097203
   0.9136355    0.0101590
   0.9100453    0.0106077
   0.9063751    0.0110564
   0.9026549    0.0115251
   0.8988547    0.0120137
   0.8949944    0.0125023
   0.8910742    0.0130109
   0.8870940    0.0135195
   0.8830438    0.0140380
   0.8789335    0.0145666
   0.8747533    0.0151051
   0.8705231    0.0156435
   0.8662328    0.0161920
   0.8618826    0.0167504
   0.8574723    0.0173189
   0.8530121    0.0178973
   0.8484818    0.0184756
   0.8439116    0.0190640
   0.8392713    0.0196523
   0.8345811    0.0202507
   0.8298408    0.0208590
   0.8250505    0.0214672
   0.8202003    0.0220855
   0.8153000    0.0227037
   0.8103497    0.0233320
   0.8053494    0.0239602
   0.8002991    0.0245984
   0.7951989    0.0252365
   0.7900486    0.0258747
   0.7848583    0.0265128
   0.7796180    0.0271509
   0.7743377    0.0277990
   0.7690074    0.0284471
   0.7636372    0.0291052
   0.7582269    0.0297633
   0.7527766    0.0304213
   0.7472863    0.0310893
   0.7417460    0.0317473
   0.7361757    0.0323953
   0.7305554    0.0330533
   0.7249051    0.0337013
   0.7192248    0.0343493
   0.7135045    0.0349972
   0.7077442    0.0356451
   0.7019540    0.0362931
   0.6961337    0.0369510
   0.6902734    0.0375989
   0.6843931    0.0382468
   0.6784828    0.0388946
   0.6725425    0.0395425
   0.6665722    0.0401804
   0.6605719    0.0408182
   0.6545516    0.0414461
   0.6485013    0.0420739
   0.6424311    0.0426917
   0.6363408    0.0432995
   0.6302205    0.0439073
   0.6240902    0.0445051
   0.6179299    0.0451129
   0.6117497    0.0457107
   0.6055594    0.0462985
   0.5993391    0.0468962
   0.5931188    0.0474740
   0.5868686    0.0480518
   0.5806183    0.0486295
   0.5743480    0.0491873
   0.5680678    0.0497450
   0.5617775    0.0503027
   0.5554773    0.0508405
   0.5491670    0.0513682
   0.5428467    0.0518959
   0.5365165    0.0524137
   0.5301863    0.0529214
   0.5238460    0.0534191
   0.5175058    0.0539068
   0.5111555    0.0543846
   0.5048153    0.0548523
   0.4984651    0.0553200
   0.4921248    0.0557777
   0.4857846    0.0562154
   0.4794344    0.0566532
   0.4731042    0.0570709
   0.4667640    0.0574786
   0.4604338    0.0578663
   0.4541136    0.0582441
   0.4477934    0.0586118
   0.4414832    0.0589695
   0.4351830    0.0593173
   0.4288928    0.0596450
   0.4226226    0.0599627
   0.4163625    0.0602705
   0.4101123    0.0605682
   0.4038821    0.0608460
   0.3976620    0.0611038
   0.3914618    0.0613515
   0.3852717    0.0615893
   0.3791015    0.0618071
   0.3729514    0.0620149
   0.3668313    0.0622127
   0.3607211    0.0623905
   0.3546310    0.0625483
   0.3485709    0.0626961
   0.3425408    0.0628239
   0.3365307    0.0629318
   0.3305406    0.0630196
   0.3245905    0.0630975
   0.3186605    0.0631553
   0.3127604    0.0631932
   0.3068903    0.0632211
   0.3010502    0.0632290
   0.2952502    0.0632279
   0.2894701    0.0631948
   0.2837301    0.0631628
   0.2780301    0.0631007
   0.2723600    0.0630287
   0.2667300    0.0629267
   0.2611300    0.0628146
   0.2555800    0.0626726
   0.2500600    0.0625206
   0.2445900    0.0623387
   0.2391500    0.0621467
   0.2337600    0.0619348
   0.2284101    0.0617128
   0.2231001    0.0614709
   0.2178401    0.0612090
   0.2126302    0.0609372
   0.2074602    0.0606353
   0.2023303    0.0603234
   0.1972604    0.0599816
   0.1922305    0.0596198
   0.1872505    0.0592380
   0.1823306    0.0588462
   0.1774507    0.0584345
   0.1726308    0.0580027
   0.1678610    0.0575510
   0.1631411    0.0570893
   0.1584812    0.0565976
   0.1538713    0.0560960
   0.1493215    0.0555643
   0.1448316    0.0550227
   0.1403918    0.0544611
   0.1360120    0.0538695
   0.1316821    0.0532679
   0.1274223    0.0526364
   0.1232225    0.0519949
   0.1190727    0.0513334
   0.1149929    0.0506619
   0.1109731    0.0499705
   0.1070233    0.0492590
   0.1031336    0.0485276
   0.0993038    0.0477862
   0.0955340    0.0470349
   0.0918443    0.0462535
   0.0882145    0.0454622
   0.0846448    0.0446509
   0.0811450    0.0438297
   0.0777153    0.0429984
   0.0743556    0.0421472
   0.0710558    0.0412860
   0.0678261    0.0404048
   0.0646764    0.0395137
   0.0615867    0.0386026
   0.0585670    0.0376715
   0.0556273    0.0367304
   0.0527477    0.0357693
   0.0499480    0.0347983
   0.0472183    0.0338073
   0.0445686    0.0328164
   0.0419790    0.0318154
   0.0394693    0.0308145
   0.0370396    0.0297936
   0.0346800    0.0287728
   0.0323903    0.0277419
   0.0301807    0.0267011
   0.0280510    0.0256604
   0.0259914    0.0246096
   0.0240118    0.0235489
   0.0221021    0.0224882
   0.0202725    0.0214175
   0.0185229    0.0203469
   0.0168532    0.0192663
   0.0152636    0.0181857
   0.0137440    0.0171051
   0.0123044    0.0160146
   0.0109447    0.0149441
   0.0096651    0.0138736
   0.0084655    0.0128232
   0.0073358    0.0117828
   0.0062862    0.0107624
   0.0053265    0.0097620
   0.0044369    0.0087817
   0.0036372    0.0078114
   0.0029076    0.0068511
   0.0022679    0.0059209
   0.0017082    0.0050007
   0.0012185    0.0041005
   0.0008188    0.0032203
   0.0004892    0.0023602
   0.0002495    0.0015301
   0.0000797    0.0007400
   0.0000000    0.0000000
   0.0000404   -0.0009900
   0.0002407   -0.0018899
   0.0004809   -0.0024699
   0.0008011   -0.0030597
   0.0012013   -0.0036596
   0.0016816   -0.0042994
   0.0022418   -0.0049792
   0.0028821   -0.0056790
   0.0036023   -0.0063988
   0.0044026   -0.0071485
   0.0052829   -0.0079182
   0.0062432   -0.0086978
   0.0072935   -0.0094775
   0.0084138   -0.0102371
   0.0096141   -0.0109966
   0.0108943   -0.0117262
   0.0122446   -0.0124457
   0.0136849   -0.0131452
   0.0151951   -0.0138447
   0.0167854   -0.0145441
   0.0184557   -0.0152335
   0.0201959   -0.0159329
   0.0220262   -0.0166222
   0.0239265   -0.0173016
   0.0259067   -0.0179809
   0.0279570   -0.0186601
   0.0300873   -0.0193194
   0.0322975   -0.0199786
   0.0345778   -0.0206278
   0.0369380   -0.0212669
   0.0393683   -0.0218960
   0.0418785   -0.0225151
   0.0444588   -0.0231142
   0.0471090   -0.0237133
   0.0498292   -0.0242923
   0.0526295   -0.0248613
   0.0554997   -0.0254203
   0.0584399   -0.0259692
   0.0614602   -0.0264981
   0.0645404   -0.0270270
   0.0676906   -0.0275359
   0.0709208   -0.0280347
   0.0742110   -0.0285236
   0.0775712   -0.0289924
   0.0810014   -0.0294511
   0.0844916   -0.0298999
   0.0880618   -0.0303286
   0.0916820   -0.0307473
   0.0953822   -0.0311560
   0.0991423   -0.0315446
   0.1029625   -0.0319233
   0.1068527   -0.0322919
   0.1108029   -0.0326504
   0.1148230   -0.0329890
   0.1189032   -0.0333075
   0.1230433   -0.0336160
   0.1272435   -0.0339145
   0.1315036   -0.0341930
   0.1358238   -0.0344614
   0.1402039   -0.0347199
   0.1446340   -0.0349583
   0.1491342   -0.0351967
   0.1536743   -0.0354150
   0.1582844   -0.0356134
   0.1629445   -0.0358117
   0.1676546   -0.0359900
   0.1724247   -0.0361583
   0.1772448   -0.0363066
   0.1821149   -0.0364448
   0.1870450   -0.0365730
   0.1920151   -0.0366812
   0.1970352   -0.0367894
   0.2021153   -0.0368776
   0.2072354   -0.0369558
   0.2124055   -0.0370239
   0.2176155   -0.0370820
   0.2228756   -0.0371201
   0.2281857   -0.0371582
   0.2335257   -0.0371663
   0.2389158   -0.0371744
   0.2443458   -0.0371624
   0.2498259   -0.0371404
   0.2553359   -0.0371085
   0.2608860   -0.0370665
   0.2664860   -0.0370144
   0.2721160   -0.0369624
   0.2777761   -0.0369004
   0.2834861   -0.0368283
   0.2892261   -0.0367462
   0.2949961   -0.0366542
   0.3007962   -0.0365421
   0.3066362   -0.0364300
   0.3125062   -0.0362979
   0.3184062   -0.0361557
   0.3243262   -0.0360036
   0.3302862   -0.0358415
   0.3362662   -0.0356793
   0.3422762   -0.0354971
   0.3483062   -0.0353050
   0.3543662   -0.0351128
   0.3604562   -0.0349106
   0.3665562   -0.0346984
   0.3726861   -0.0344762
   0.3788361   -0.0342640
   0.3850061   -0.0340417
   0.3911861   -0.0338095
   0.3973861   -0.0335673
   0.4036060   -0.0333250
   0.4098360   -0.0330728
   0.4160860   -0.0328005
   0.4223459   -0.0325283
   0.4286259   -0.0322460
   0.4349059   -0.0319538
   0.4412058   -0.0316615
   0.4475158   -0.0313692
   0.4538357   -0.0310669
   0.4601557   -0.0307547
   0.4664856   -0.0304524
   0.4728256   -0.0301301
   0.4791555   -0.0298078
   0.4854955   -0.0294855
   0.4918454   -0.0291532
   0.4981854   -0.0288209
   0.5045353   -0.0284787
   0.5108752   -0.0281364
   0.5172252   -0.0277941
   0.5235651   -0.0274418
   0.5299050   -0.0270795
   0.5362350   -0.0267272
   0.5425649   -0.0263549
   0.5488848   -0.0259927
   0.5551948   -0.0256204
   0.5614947   -0.0252581
   0.5677846   -0.0248958
   0.5740646   -0.0245236
   0.5803345   -0.0241613
   0.5865944   -0.0237891
   0.5928344   -0.0234168
   0.5990643   -0.0230346
   0.6052742   -0.0226523
   0.6114741   -0.0222701
   0.6176541   -0.0218779
   0.6238140   -0.0214856
   0.6299539   -0.0211034
   0.6360638   -0.0207212
   0.6421637   -0.0203490
   0.6482337   -0.0199668
   0.6542836   -0.0195847
   0.6603035   -0.0192125
   0.6663034   -0.0188203
   0.6722734   -0.0184382
   0.6782133   -0.0180560
   0.6841232   -0.0176739
   0.6900131   -0.0172818
   0.6958630   -0.0168997
   0.7016930   -0.0165176
   0.7074829   -0.0161455
   0.7132428   -0.0157734
   0.7189627   -0.0154013
   0.7246527   -0.0150393
   0.7303026   -0.0146672
   0.7359225   -0.0143152
   0.7414924   -0.0139532
   0.7470324   -0.0136012
   0.7525223   -0.0132392
   0.7579822   -0.0128873
   0.7633921   -0.0125353
   0.7687721   -0.0121834
   0.7740920   -0.0118414
   0.7793819   -0.0114895
   0.7846219   -0.0111376
   0.7898218   -0.0107958
   0.7949617   -0.0104639
   0.8000616   -0.0101321
   0.8051216   -0.0098103
   0.8101215   -0.0094985
   0.8150715   -0.0091867
   0.8199714   -0.0088749
   0.8248213   -0.0085732
   0.8296213   -0.0082814
   0.8343712   -0.0079897
   0.8390612   -0.0076980
   0.8436911   -0.0074163
   0.8482811   -0.0071447
   0.8528010   -0.0068631
   0.8572709   -0.0065914
   0.8616809   -0.0063299
   0.8660308   -0.0060683
   0.8703308   -0.0058067
   0.8745607   -0.0055552
   0.8787407   -0.0053137
   0.8828507   -0.0050722
   0.8869006   -0.0048508
   0.8908906   -0.0046393
   0.8948205   -0.0044279
   0.8986805   -0.0042265
   0.9024805   -0.0040351
   0.9062104   -0.0038338
   0.9098704   -0.0036425
   0.9134704   -0.0034412
   0.9170103   -0.0032599
   0.9204803   -0.0030787
   0.9238703   -0.0028974
   0.9272103   -0.0027362
   0.9304702   -0.0025851
   0.9336602   -0.0024339
   0.9367902   -0.0022928
   0.9398402   -0.0021517
   0.9428202   -0.0020206
   0.9457301   -0.0018796
   0.9485701   -0.0017485
   0.9513401   -0.0016275
   0.9540301   -0.0015066
   0.9566601   -0.0013956
   0.9592101   -0.0012847
   0.9616800   -0.0011838
   0.9640800   -0.0010829
   0.9664100   -0.0009921
   0.9686600   -0.0009013
   0.9708300   -0.0008105
   0.9729300   -0.0007198
   0.9749500   -0.0006390
   0.9768900   -0.0005683
   0.9787600   -0.0004877
   0.9805500   -0.0004270
   0.9822700   -0.0003664
   0.9838999   -0.0003058
   0.9854599   -0.0002552
   0.9869399   -0.0002147
   0.9883399   -0.0001842
   0.9896599   -0.0001437
   0.9909100   -0.0001233
   0.9920700   -0.0000929
   0.9931500   -0.0000725
   0.9941600   -0.0000521
   0.9950900   -0.0000318
   0.9959400   -0.0000215
   0.9967200   -0.0000122
   0.9974200   -0.0000109
   0.9980300   -0.0000007
   0.9985500    0.0000005
   0.9989700   -0.0000004
   0.9993000    0.0000007
   0.9995500   -0.0000002
   0.9997300    0.0000009
   0.9998700   -0.0000000
