HN-1051 Planeur  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0001300
   0.9960100    0.0005600
   0.9911300    0.0013100
   0.9842600    0.0023900
   0.9755300    0.0038400
   0.9648900    0.0055900
   0.9524100    0.0076100
   0.9381500    0.0098700
   0.9221600    0.0123500
   0.9045100    0.0150600
   0.8852600    0.0179600
   0.8644800    0.0210100
   0.8422700    0.0241700
   0.8187100    0.0273900
   0.7938900    0.0306400
   0.7679100    0.0338600
   0.7408800    0.0370400
   0.7128900    0.0401200
   0.6840600    0.0430900
   0.6545100    0.0459100
   0.6243500    0.0485600
   0.5936900    0.0510200
   0.5626700    0.0532500
   0.5314000    0.0552300
   0.5000000    0.0569400
   0.4686100    0.0583600
   0.4373300    0.0594700
   0.4063100    0.0602700
   0.3756600    0.0607300
   0.3454900    0.0608500
   0.3159400    0.0606300
   0.2871100    0.0600500
   0.2591200    0.0591100
   0.2320900    0.0578100
   0.2061100    0.0561600
   0.1812900    0.0541500
   0.1577300    0.0517900
   0.1355200    0.0490900
   0.1147400    0.0460500
   0.0954900    0.0426800
   0.0778400    0.0390000
   0.0618500    0.0350300
   0.0475900    0.0308100
   0.0351100    0.0263400
   0.0244700    0.0217000
   0.0157100    0.0169800
   0.0088600    0.0123000
   0.0039400    0.0076400
   0.0009900    0.0034300
   0.0000000    0.0000000
   0.0009900   -0.0029900
   0.0039400   -0.0061700
   0.0088600   -0.0093600
   0.0157100   -0.0123000
   0.0244700   -0.0150800
   0.0351100   -0.0176000
   0.0475900   -0.0198100
   0.0618500   -0.0217000
   0.0778400   -0.0232800
   0.0954900   -0.0245700
   0.1147400   -0.0255600
   0.1355200   -0.0262700
   0.1577300   -0.0267100
   0.1812900   -0.0269100
   0.2061100   -0.0268600
   0.2320900   -0.0265900
   0.2591200   -0.0261200
   0.2871100   -0.0254600
   0.3159400   -0.0246200
   0.3454900   -0.0236300
   0.3756600   -0.0225000
   0.4063100   -0.0212500
   0.4373300   -0.0199000
   0.4686100   -0.0184700
   0.5000000   -0.0169700
   0.5314000   -0.0154200
   0.5626700   -0.0138400
   0.5936900   -0.0122700
   0.6243500   -0.0107200
   0.6545100   -0.0092000
   0.6840600   -0.0077400
   0.7128900   -0.0063400
   0.7408800   -0.0050100
   0.7679100   -0.0038000
   0.7938900   -0.0026900
   0.8187100   -0.0017100
   0.8422700   -0.0008600
   0.8644800   -0.0001500
   0.8852600    0.0004200
   0.9045100    0.0008400
   0.9221600    0.0011100
   0.9381500    0.0012500
   0.9523600    0.0012510
   0.9648600    0.0011600
   0.9754600    0.0009400
   0.9842600    0.0007000
   0.9911300    0.0004400
   0.9960100    0.0002100
   0.9990100    0.0000600
   1.0000000    0.0000000
