HN-470 F3F  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0001300
   0.9960600    0.0005600
   0.9911400    0.0013100
   0.9842900    0.0024300
   0.9755300    0.0038700
   0.9648900    0.0055600
   0.9524100    0.0074500
   0.9381500    0.0095100
   0.9221600    0.0117300
   0.9045100    0.0141300
   0.8852600    0.0166700
   0.8644800    0.0193400
   0.8422700    0.0221100
   0.8187100    0.0249400
   0.7938900    0.0278000
   0.7679100    0.0306700
   0.7408800    0.0335000
   0.7128900    0.0362800
   0.6840600    0.0389700
   0.6545100    0.0415300
   0.6243500    0.0439600
   0.5936900    0.0462200
   0.5626700    0.0482700
   0.5314000    0.0501100
   0.5000000    0.0517100
   0.4686100    0.0530300
   0.4373300    0.0540800
   0.4063100    0.0548300
   0.3756600    0.0552700
   0.3454900    0.0554000
   0.3159400    0.0551800
   0.2871100    0.0546300
   0.2591200    0.0537400
   0.2320900    0.0525100
   0.2061100    0.0509500
   0.1812900    0.0490400
   0.1577300    0.0468000
   0.1355200    0.0442500
   0.1147400    0.0413900
   0.0954900    0.0382300
   0.0778400    0.0348100
   0.0618500    0.0311400
   0.0475900    0.0272700
   0.0351100    0.0232300
   0.0244700    0.0190500
   0.0157100    0.0148400
   0.0088600    0.0106700
   0.0039400    0.0066700
   0.0009900    0.0031000
   0.0000000    0.0000000
   0.0009900   -0.0026700
   0.0039400   -0.0053700
   0.0088600   -0.0081100
   0.0157100   -0.0107600
   0.0244700   -0.0133000
   0.0351100   -0.0156700
   0.0475900   -0.0178000
   0.0618500   -0.0197200
   0.0778400   -0.0213800
   0.0954900   -0.0227900
   0.1147400   -0.0239600
   0.1355200   -0.0248800
   0.1577300   -0.0255700
   0.1812900   -0.0260200
   0.2061100   -0.0262500
   0.2320900   -0.0262700
   0.2591200   -0.0260900
   0.2871100   -0.0257300
   0.3159400   -0.0252000
   0.3454900   -0.0245100
   0.3756600   -0.0236700
   0.4063100   -0.0227000
   0.4373300   -0.0216200
   0.4686100   -0.0204300
   0.5000000   -0.0191500
   0.5314000   -0.0177800
   0.5626700   -0.0163200
   0.5936900   -0.0147900
   0.6243500   -0.0132000
   0.6545100   -0.0115900
   0.6840600   -0.0100200
   0.7128900   -0.0084900
   0.7408800   -0.0070300
   0.7679100   -0.0056700
   0.7938900   -0.0044100
   0.8187100   -0.0032900
   0.8422700   -0.0022800
   0.8644800   -0.0014200
   0.8852600   -0.0007100
   0.9045100   -0.0001400
   0.9221600    0.0002800
   0.9381500    0.0005500
   0.9524100    0.0006900
   0.9648900    0.0007200
   0.9755300    0.0006600
   0.9842900    0.0005300
   0.9911400    0.0003600
   0.9960600    0.0001800
   0.9990100    0.0000500
   1.0000000    0.0000000
