HL75-541   B.Horeni - J
   1.0000000    0.0000000
   0.9500038    0.0075250
   0.9000083    0.0165500
   0.8000249    0.0498000
   0.7000417    0.0834500
   0.6000542    0.1085000
   0.5000618    0.1235500
   0.4000636    0.1272000
   0.3000597    0.1193500
   0.2500559    0.1117750
   0.2000510    0.1021000
   0.1500447    0.0894250
   0.1000354    0.0707500
   0.0750299    0.0597625
   0.0500235    0.0469750
   0.0250158    0.0315875
   0.0125118    0.0235937
   0.0000000    0.0000000
   0.0124953   -0.0094062
   0.0249939   -0.0122125
   0.0499925   -0.0150250
   0.0749914   -0.0172375
   0.0999909   -0.0182500
   0.1499901   -0.0198750
   0.1999903   -0.0195000
   0.2499906   -0.0188250
   0.2999912   -0.0176500
   0.3999916   -0.0168000
   0.4999923   -0.0154500
   0.5999935   -0.0131000
   0.6999937   -0.0125500
   0.7999949   -0.0102000
   0.8999973   -0.0054500
   0.9499978   -0.0044750
   0.9899995   -0.0009950
   1.0000000    0.0000000
