HS 520 F5D, F3F   Hartmut Siegmann
   1.0000000    0.0000000
   0.9972600    0.0000400
   0.9890700    0.0001900
   0.9755300    0.0005200
   0.9567700    0.0011400
   0.9330100    0.0022400
   0.9045100    0.0039900
   0.8715700    0.0065700
   0.8345700    0.0100800
   0.7938900    0.0145400
   0.7500000    0.0198500
   0.7033700    0.0258300
   0.6545100    0.0323100
   0.6039600    0.0390000
   0.5522600    0.0455700
   0.5000000    0.0516600
   0.4477400    0.0569600
   0.3960400    0.0611300
   0.3454900    0.0639800
   0.2966300    0.0654100
   0.2500000    0.0653200
   0.2061100    0.0637100
   0.1654300    0.0605500
   0.1284300    0.0559500
   0.0954900    0.0500000
   0.0669900    0.0428400
   0.0432300    0.0346900
   0.0256300    0.0264600
   0.0135900    0.0187500
   0.0061100    0.0121600
   0.0026400    0.0078500
   0.0005900    0.0035900
   0.0000000    0.0000000
   0.0006800   -0.0023200
   0.0029800   -0.0045200
   0.0066000   -0.0066200
   0.0123200   -0.0088900
   0.0241600   -0.0119300
   0.0432300   -0.0148700
   0.0669900   -0.0171100
   0.0954900   -0.0189600
   0.1284300   -0.0204300
   0.1654300   -0.0215700
   0.2061100   -0.0223700
   0.2500000   -0.0227600
   0.2966300   -0.0228100
   0.3454900   -0.0225000
   0.3960400   -0.0218300
   0.4477400   -0.0208500
   0.5000000   -0.0196200
   0.5522600   -0.0181800
   0.6039600   -0.0165700
   0.6545100   -0.0148900
   0.7033700   -0.0131700
   0.7500000   -0.0114700
   0.7938900   -0.0097900
   0.8345700   -0.0082000
   0.8715700   -0.0067000
   0.9045100   -0.0053000
   0.9330100   -0.0039800
   0.9567700   -0.0027100
   0.9755300   -0.0015600
   0.9890700   -0.0006800
   0.9972600   -0.0001600
   1.0000000    0.0000000
