TP210-10%  (c)Th Platon grands planeurs polyvalents gratte et voltige
   0.8086750   -0.0060944
   0.8168351   -0.0056108
   0.8249952   -0.0051372
   0.8331453   -0.0046836
   0.8413155   -0.0042400
   0.8494756   -0.0037964
   0.8576257   -0.0033728
   0.8657859   -0.0029692
   0.8739361   -0.0025956
   0.8821062   -0.0022420
   0.8902764   -0.0018884
   0.8984366   -0.0015648
   0.9065768   -0.0012612
   0.9147470   -0.0009976
   0.9229172   -0.0007339
   0.9310674   -0.0005004
   0.9392177   -0.0003068
   0.9473879   -0.0001332
   0.9555482    0.0000204
   0.9636784    0.0001340
   0.9718187    0.0001976
   0.9799591    0.0002012
   0.9879594    0.0001347
   0.9957498   -0.0000119
   1.0000000   -0.0001200
