HN-477S	 Norbert Habbe Leitwerke-Aile volante
   1.0000000    0.0000000
   0.9990100    0.0000400
   0.9960600    0.0002100
   0.9911400    0.0005400
   0.9842900    0.0010700
   0.9755300    0.0018300
   0.9648900    0.0027500
   0.9524100    0.0038100
   0.9381500    0.0049900
   0.9221600    0.0062900
   0.9045100    0.0077400
   0.8852600    0.0093500
   0.8644800    0.0111300
   0.8422700    0.0130700
   0.8187100    0.0151600
   0.7938900    0.0174000
   0.7679100    0.0197600
   0.7408800    0.0222200
   0.7128900    0.0247800
   0.6840600    0.0274000
   0.6545100    0.0300500
   0.6243500    0.0327000
   0.5936900    0.0353200
   0.5626700    0.0378700
   0.5314000    0.0403000
   0.5000000    0.0425900
   0.4686100    0.0447100
   0.4373300    0.0466100
   0.4063100    0.0482900
   0.3756600    0.0496900
   0.3454900    0.0507900
   0.3159400    0.0515500
   0.2871100    0.0519400
   0.2591200    0.0519600
   0.2320900    0.0515700
   0.2061100    0.0507500
   0.1812900    0.0495100
   0.1577300    0.0478300
   0.1355200    0.0457000
   0.1147400    0.0431500
   0.0954900    0.0401800
   0.0778400    0.0368600
   0.0618500    0.0332200
   0.0475900    0.0293000
   0.0351100    0.0251400
   0.0244700    0.0208000
   0.0157100    0.0163700
   0.0088600    0.0119400
   0.0039400    0.0075700
   0.0009900    0.0035100
   0.0000000    0.0000000
   0.0009900   -0.0035100
   0.0039400   -0.0075700
   0.0088600   -0.0119400
   0.0157100   -0.0163700
   0.0244700   -0.0208000
   0.0351100   -0.0251400
   0.0475900   -0.0293000
   0.0618500   -0.0332200
   0.0778400   -0.0368600
   0.0954900   -0.0401800
   0.1147400   -0.0431500
   0.1355200   -0.0457000
   0.1577300   -0.0478300
   0.1812900   -0.0495100
   0.2061100   -0.0507500
   0.2320900   -0.0515700
   0.2591200   -0.0519600
   0.2871100   -0.0519400
   0.3159400   -0.0515500
   0.3454900   -0.0507900
   0.3756600   -0.0496900
   0.4063100   -0.0482900
   0.4373300   -0.0466100
   0.4686100   -0.0447100
   0.5000000   -0.0425900
   0.5314000   -0.0403000
   0.5626700   -0.0378700
   0.5936900   -0.0353200
   0.6243500   -0.0327000
   0.6545100   -0.0300500
   0.6840600   -0.0274000
   0.7128900   -0.0247800
   0.7408800   -0.0222200
   0.7679100   -0.0197600
   0.7938900   -0.0174000
   0.8187100   -0.0151600
   0.8422700   -0.0130700
   0.8644800   -0.0111300
   0.8852600   -0.0093500
   0.9045100   -0.0077400
   0.9221600   -0.0062900
   0.9381500   -0.0049900
   0.9524100   -0.0038100
   0.9648900   -0.0027500
   0.9755300   -0.0018300
   0.9842900   -0.0010700
   0.9911400   -0.0005400
   0.9960600   -0.0002100
   0.9990100   -0.0000400
   1.0000000    0.0000000
