13GPV  Flapped scale sailplane (c)m_scherrer
   1.0000000    0.0004415
   0.9932017    0.0015855
   0.9801329    0.0038132
   0.9641266    0.0065751
   0.9475742    0.0094653
   0.9307550    0.0124278
   0.9137897    0.0154393
   0.8968885    0.0184808
   0.8800263    0.0215733
   0.8631802    0.0247328
   0.8463381    0.0279613
   0.8294591    0.0312588
   0.8125011    0.0346123
   0.7955431    0.0379679
   0.7786381    0.0412904
   0.7617441    0.0445779
   0.7448570    0.0478224
   0.7279879    0.0510199
   0.7111378    0.0541574
   0.6943006    0.0572279
   0.6774494    0.0602343
   0.6605791    0.0631798
   0.6437118    0.0660603
   0.6268704    0.0688678
   0.6100789    0.0715822
   0.5933344    0.0741816
   0.5766048    0.0766590
   0.5598860    0.0790093
   0.5431772    0.0812237
   0.5264873    0.0832950
   0.5098233    0.0852093
   0.4931691    0.0869596
   0.4765028    0.0885449
   0.4598204    0.0899682
   0.4431399    0.0912285
   0.4264853    0.0923158
   0.4098555    0.0932140
   0.3932086    0.0939213
   0.3765165    0.0944486
   0.3598093    0.0948079
   0.3431290    0.0949942
   0.3265046    0.0949984
   0.3099700    0.0947985
   0.2935212    0.0943666
   0.2770873    0.0936897
   0.2606402    0.0927748
   0.2442319    0.0916288
   0.2278784    0.0902388
   0.2115688    0.0885978
   0.1953540    0.0867086
   0.1793670    0.0845523
   0.1636357    0.0820658
   0.1481002    0.0791932
   0.1327404    0.0759154
   0.1176013    0.0722224
   0.1027548    0.0680952
   0.0882871    0.0635098
   0.0742820    0.0584379
   0.0608265    0.0528747
   0.0482358    0.0469568
   0.0370291    0.0408799
   0.0275484    0.0348277
   0.0199680    0.0291401
   0.0142191    0.0240912
   0.0099728    0.0196992
   0.0068479    0.0158684
   0.0045263    0.0125120
   0.0027801    0.0095542
   0.0014801    0.0069011
   0.0005733    0.0044667
   0.0000716    0.0021870
   0.0000000    0.0000000
   0.0004204   -0.0021954
   0.0014228   -0.0043992
   0.0029903   -0.0064984
   0.0051049   -0.0085160
   0.0078075   -0.0105210
   0.0112370   -0.0125876
   0.0156536   -0.0147679
   0.0214700   -0.0170943
   0.0292624   -0.0195751
   0.0395608   -0.0221437
   0.0523643   -0.0246632
   0.0669220   -0.0269290
   0.0825010   -0.0288605
   0.0985603   -0.0304663
   0.1148838   -0.0317504
   0.1314705   -0.0327776
   0.1482413   -0.0336139
   0.1650753   -0.0342843
   0.1819394   -0.0347888
   0.1988666   -0.0351462
   0.2158669   -0.0353847
   0.2329212   -0.0355273
   0.2500037   -0.0355848
   0.2671081   -0.0355624
   0.2842267   -0.0354690
   0.3013403   -0.0353036
   0.3184359   -0.0350642
   0.3355126   -0.0347477
   0.3525704   -0.0343503
   0.3696062   -0.0338678
   0.3866131   -0.0332953
   0.4036060   -0.0326257
   0.4206091   -0.0318522
   0.4376592   -0.0309857
   0.4547783   -0.0300453
   0.4719365   -0.0290509
   0.4891058   -0.0280125
   0.5062740   -0.0269291
   0.5234343   -0.0258017
   0.5405957   -0.0246283
   0.5577710   -0.0234119
   0.5749654   -0.0221565
   0.5921828   -0.0208731
   0.6094233   -0.0195668
   0.6266757   -0.0182474
   0.6439201   -0.0169251
   0.6611486   -0.0156037
   0.6783630   -0.0142913
   0.6955635   -0.0129909
   0.7127419   -0.0117075
   0.7298893   -0.0104501
   0.7470046   -0.0092317
   0.7640880   -0.0080602
   0.7811392   -0.0069487
   0.7981645   -0.0059042
   0.8151826   -0.0049337
   0.8321678   -0.0040452
   0.8491168   -0.0032546
   0.8660828   -0.0025671
   0.8830357   -0.0019775
   0.9000085   -0.0014940
   0.9170673   -0.0010895
   0.9341470   -0.0007171
   0.9510627   -0.0003505
   0.9672364   -0.0000604
   0.9815828   -0.0000160
   0.9933950   -0.0002246
   1.0000000   -0.0004415
