TP202-9% (c)Th Platon voltige par petit temps avec des planeurs de 2m50  3m
   0.8118067   -0.0045808
   0.8198168   -0.0041699
   0.8278270   -0.0037590
   0.8358371   -0.0033681
   0.8438472   -0.0029972
   0.8518673   -0.0026263
   0.8598774   -0.0022755
   0.8678876   -0.0019346
   0.8758977   -0.0016237
   0.8839178   -0.0013328
   0.8919379   -0.0010519
   0.8999481   -0.0007810
   0.9079582   -0.0005601
   0.9159784   -0.0003392
   0.9239985   -0.0001484
   0.9320086    0.0000225
   0.9400288    0.0001634
   0.9480489    0.0002743
   0.9560591    0.0003752
   0.9640592    0.0004261
   0.9720694    0.0004369
   0.9800696    0.0003778
   0.9879797    0.0002487
   0.9957899    0.0000595
   1.0000000   -0.0000600
